Street #	Str Name	Sfx	Unit #	City	State	Zip	Subdivision	TYP	MLS #	Stat	Orig List Pr	List Price	LP/SP	SP:OLP	SP:LP	Closed Date	Contract Date	MT	LMT	Taxes	As/Asc Dues	Yr Blt	# Rms	All Beds	# Full Baths	# Half Baths	ASF	Acreage	Exposure	# Interior Fireplaces	#GSp	Garage Type	Bsmt	Basement Description	GS Dist	HS Dist	FIN	Short Sale/Foreclosed/Court Approved	PIN	Remarks	Agent Remarks	# Parking Spaces	% Common	Air	AAG	Com Ar Amen	Can Owner Rent	Heat/Fuel	Interior Property Features	Is Parking Included in Price?	Appliances	Management Company	Management Contact Name	Management Phone	MAF	Master Association Fee($)	Model	Parking Fee/Lease $	Sold Pr	Spec Assess	Special Service Area	Special Service Area Fee	SF Source	Tax Exemps	Tax Year	Tot # Units	Total SF	Unit Fl No	2nd Bdr Flr	3rd Bdr Flr	4th Bdr Flr	Aprx Total Fin SF	Amen	Asses Incl	Deeded Garage Cost	Deeded Parking Cost	Din Flr	Equipment	Fam Rm Flr	Kit Flr	Liv Rm Flr	Main SF	Mast Bd Bth	Mast Bd Flr	Off Mkt Dt	Baths	Type DE/AT
800	Michigan	AVE	2203	Chicago	Illinois	60611		AT	09203973	ACTV	1999000	1625000	1625000					338	338	20077	1040	2000	5	2	2	0	0		N (North), W (West), City, Lake/Water	1	1	Attached	None	None	299	299			17032310181009	SPACIOUS CONTEMPORARY PARK TOWER CORNER UNIT, OPEN FLOOR PLAN WITH SPECTACULAR CITY AND LAKE VIEWS. GORGEOUS HARDWOOD FLOORS, GAS FIREPLACE, SUNNY OPEN KITCHEN, LIVING ROOM AND DINING ROOM, SPA LIKE LARGE MASTER SUITE WITH ATTACHED CLOSET/DRESSING AREA. FULL SERVICE PARK HYATT AMENITIES INCLUDING POOL, SPA, HEALTH CLUB AND DINING TERRACE. ONE PARKING SPACE INCLUDED*	Parking Space #167 & Monthly parking assessments $100			Central Air		Bike Room/Bike Trails, Door Person, Elevator, Exercise Room, Storage, Health Club, On Site Manager/Engineer, Pool-Indoors, Receiving Room, Restaurant, Service Elevator	Yes	Electric, Baseboard, Zoned	Hardwood Floors, Laundry Hook-Up in Unit	Yes	Oven/Range, Microwave, Dishwasher, Refrigerator, Freezer, Washer, Dryer, Disposal, All Stainless Steel Kitchen Appliances, Wine Cooler/Refrigerator	Suddler Management	Annne Hoffman	(312) 587-3280	No					No	No		Not Reported	Homeowner	2014	117		22	Hardwood					Water, Gas, Parking, Common Insurance, Doorman, TV/Cable, Exercise Facilities, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal			Hardwood			Hardwood	Hardwood		Full	Hardwood		2	Condo, High Rise (7+ Stories)
800	Michigan	AVE	3203	Chicago	Illinois	60611	PARK TOWER	AT	09496748	ACTV	1695000	1695000	1695000					45	45	23637.11	1140	2000	6	2	2	1	2000		N (North), W (West)	1	1	Attached	None	None	299	299			17032310181038	Sophisticated, One of a Kind 2000 sq. ft. Residence at the Iconic Park Tower.  This 2 Bed, 2 Bath plus Den was Custom Designed from Raw Space. The Spacial Details Were Intentionally Designed for Casual Living, Formal Entertaining and Privacy. Formal Entry, Limestone Floors Throughout Living Space, Cooks Kitchen with Freestanding Island and Family Room, Formal Living Room, Dining Room with Gas Fireplace. The Two Private Bedrooms are In Suite with Beautifully Appointed Bathrooms, Custom Closets and Abundant Light. Extraordinary Views From Every Window of the Lake, City & Breathtaking Sunsets.  One Self Park Space Included. Enjoy the Amenities of the Park Hyatt, 24/7 Room Service, Spa Memberships and Discounts. 2015 Parking Taxes $1,411.76.	Nomi Club Memberships $1200 per year, include, use of health club, pool, sauna, hot tub, discounts on spa services, discounts on all food and beverage at NoMi, NoMi Terrace, NoMi Lounge, Discounts on Hotel Rooms, Discounts on Banquets and Discounted Valet Parking Stickers. Assessment includes parking assessment-$120 and cable-$58.			Central Air, Zoned		Door Person, Elevator, Storage, Receiving Room		Forced Air		Yes		Sudler	Anne Hoffman	(312) 587-3280	No					No	No		Estimated	Homeowner, F	2015	117	0	32	Carpet			0		Heat, Water, Gas, Parking, Common Insurance, Security, Doorman, TV/Cable, Exterior Maintenance, Scavenger, Snow Removal, Wi-Fi				Humidifier, TV-Cable, Fire Sprinklers, CO Detectors		Stone	Stone		Full	Carpet		2.1	Condo
800	Michigan	AVE	3301	Chicago	Illinois	60611		AT	09309979	ACTV	2169000	1995000	1995000					1083	228	31259	1282	2000	5	2	2	1	2270		E (East), City, Lake/Water, Park	1	1	Attached	None	None	299	299			17032310181120	Park Tower residence complimented by 5 star Park Hyatt hotel service.  Split 2BD/2.5BA approx 2270 sqft! All rooms are facing east towards the Lake and Lake Shore Park . Custom stone flooring, rain shower bath, and state of the art contemporary kitchen with SS appls, espresso machine, island w/cooktop, slab granite glass front cabinets.  Totally turn key.  Enjoy Park Hyatt amenities, restaurant, pool & much more!	Parking space P067 additional. Parking assessment: $120/month. Parking Taxes (2015): $1,412.			Central Air, Zoned		Bike Room/Bike Trails, Door Person, Elevator, Storage, Health Club, On Site Manager/Engineer, Pool-Indoors, Receiving Room, Restaurant, Service Elevator, Steam Room, Sidewalks, Street Lights, Other	Yes	Electric, Baseboard, Indv Controls, Zoned		No	Oven-Double, Microwave, Dishwasher, Refrigerator, Freezer, Washer, Dryer, Disposal, All Stainless Steel Kitchen Appliances, Wine Cooler/Refrigerator	Sudler	Anne Hoffman	(312) 587-3280	No					No	No		Landlord/Tenant/Seller	Homeowner	2015	117		33	Marble					Gas, Common Insurance, Security, Doorman, TV/Cable, Exterior Maintenance, Scavenger, Snow Removal			Marble			Marble	Marble		Full	Marble		2.1	Condo, High Rise (7+ Stories)
800	Michigan	AVE	2801	Chicago	Illinois	60611		AT	09384591	ACTV	4495000	4395000	4395000					136	136	59064.72	2550	2000	9	3	3	1	4220		S (South), E (East), W (West)	1	2	Attached	None	None	299	299			17032310181024	Experience the city as it was meant to be in the iconic Park Tower. With 3 beds, 3.5 baths & generous 4,200 sqft floor plan covering half of a floor, this is where masterful design meets modern luxury in your own unique, customized property. Your gourmet kitchen, complete with a large island and professional-grade appliances, is just steps away from a large dining room, living room, and master retreat where you'll gaze upon stunning westbound sunsets. Sliding glass doors in the kitchen area open to a large outdoor terrace with electric and gas hookups, from which you'll take in panoramic lake views to the east, a clear line of sight down Magnificent Mile to the south, all while enjoying the utmost level of personal privacy. Feel secure with the convenience of a private garage with 2 spots included and the 5-Star Hyatt Hotel offering room service and catering direct to your door. The deluxe sundeck, indoor pool & health club are enjoyed along with a 24/7 doorman & concierge service.	Please see Additional Information for Floor Plan. Listing agent will accompany all showings. Some notice preferred, showings are flexible. Please contact Chrissy Sullivan to set up showing.			Central Air, Zoned		Bike Room/Bike Trails, Door Person, Elevator, Exercise Room, Storage, On Site Manager/Engineer, Sundeck, Pool-Indoors, Receiving Room, Restaurant, Security Door Locks, Service Elevator, Valet/Cleaner, Sidewalks, Street Lights, Street Paved		Forced Air, Hot Water/Steam, Zoned	Hardwood Floors	Yes	Oven-Double, Dishwasher, High End Refrigerator, Washer, Dryer, Disposal, All Stainless Steel Kitchen Appliances	SUDLER MANAGEMENT	Anne Hoffman	(312) 587-3280	No					No	No		Estimated	None	2015	110		28	Carpet	Hardwood				Water, Gas, Common Insurance, Security, Doorman, TV/Cable, Exterior Maintenance, Scavenger, Snow Removal			Hardwood		Hardwood	Hardwood	Hardwood		Full	Carpet		3.1	Condo, High Rise (7+ Stories)
800	Michigan	AVE	60PHN	Chicago	Illinois	60611	Park Tower	AT	09309661	TEMP	12000000	12000000	12000000					228	228	74576.65	3139	2000	6	2	2	1	4000		N (North), E (East), W (West)		2	Attached	None	None	299	299			17032310181110	Unparalleled Penthouse residence at the Park Hyatt. Complete custom build out with the finest  materials by the renowned Chicago designer Scott Himmel. Every detail has been attended to in the remarkable custom designed Penthouse. 12 foot ceilings, unobstructed views of North, East and West. Balcony is the highest in the building with gas BBQ. Private elevator access. Huge formal dining room with double exposures. Stunning Boffi eat in kitchen with direct access to the balcony is outfitted with the finest equipment from Gaggeneau, Miele, SubZero and more. Family room, oversized formal living room. Magnificent master suite with enormous dressing room, master bath custom finished with steam shower, radiant heated marble floor and  more. Boffi laundry room outfitted with 2 washers & dryer.  Millwork by Highland Park Millwork and Parenti and Raffaelli.  This Crestron smarthome features an array of technical, aesthetic and functional upgrades too numerous to list here.	Parking spaces P80 and P81. Assessments for both included in assessment above. Two hanging light fixtures excluded.			Central Air		Bike Room/Bike Trails, Door Person, Elevator, Exercise Room, Storage, On Site Manager/Engineer, Pool-Indoors, Receiving Room, Restaurant, Service Elevator		Electric, Baseboard, Zoned	Hardwood Floors, Laundry Hook-Up in Unit	Yes	Oven-Double, Microwave, Dishwasher, Refrigerator, Freezer, Washer, Dryer	Sudler	Anne Hoffman	(312) 587-3280	No					No	No		Estimated		2015	117		60						Water, Gas, Common Insurance, Security, Doorman, TV/Cable, Scavenger, Snow Removal									Full		10/18/2016	2.1	Condo, High Rise (7+ Stories)
800	Michigan	AVE	5001	Chicago	Illinois	60611		AT	09338587	CLSD	5900000	4950000	4350000	74%	88%	03/14/2017	02/16/2017	161	161	69,920	2926	2000	8	3	3	0	4200		N (North), S (South), E (East), City, Lake/Water, Park		2	Attached	None	None	299	299	Cash	N/A	17032310181087	Sensational half floor at iconic Park Tower lives like a home in the sky with approximately 4,200 sqft of luxurious living space. This exquisite 3 bedroom home has a gracious open floor plan which includes a theater room, eat-in kitchen, and laundry room.  Two east facing terraces with breath taking east, south and north wrap around views of the lake and city from every window. Rarely does a property like this come on the market featuring: dramatic entry, formal living/dining room, gourmet kitchen, huge family room, large master suite, rich finishes, hardwood Walnut floors, custom millwork and abundant Storage. The perfect place formal entertaining & casual living. Enjoy access to Park Hyatt’s renowned 5* amenities, NoMi restaurant, and much more.  Two parking spaces are included.	Parking spaces P48 & P51 included in price.  Parking assessment of $125 per space is included in listed assessment.  Parking Taxes (2015) $1,411.76 per space.  Satelite TV $54.70 Storage : S074			Central Air, Zoned		Bike Room/Bike Trails, Door Person, Elevator, Storage, Health Club, On Site Manager/Engineer, Pool-Indoors, Receiving Room, Restaurant, Service Elevator, Steam Room, Sidewalks, Street Lights, Other	Yes	Electric, Baseboard, Indv Controls, Zoned		Yes	Oven/Range, Microwave, Dishwasher, High End Refrigerator, Washer, Dryer, Disposal, All Stainless Steel Kitchen Appliances	Sudler	Anne Hoffman	(312) 287-3280x0000	No				4350000	No	No		Estimated	Homeowner	2015	117		50						Air Conditioning, Water, Gas, Parking, Common Insurance, Security, Doorman, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal			Hardwood				Hardwood		Full		02/16/2017	3	Condo, High Rise (7+ Stories)
800	MICHIGAN	AVE	4302	Chicago	Illinois	60611	PARK TOWER	AT	09117177	CLSD	3025000	3025000	2900000	96%	96%	01/17/2017	10/19/2016	279	279	44745.92	2006	2000	6	3	3	1	3025		S (South), E (East), W (West), City, Lake/Water	1	2	Attached	None	None	299	299	Cash	N/A	17032310181069	This 3,025 SF luxury home at the Park Hyatt Residences is the epitome of Chicago luxury w/5 star location & amenities. Open & light floorplan. The living/dining room has large windows facing east & south w/iconic lake & city views. A gas fireplace in living room. Intimate guest powder room with a stunning onyx countertop right off the foyer. Natural maple floors, Hunter Douglas shades & audio speakers thruout the home. A wide private terrace (w/both water & gas) overlooks expansive eastern views of Lake Michigan. A quiet & efficient space w/high-end finishes & a center island w/storage. High-end appliances, such as a Sub Zero refrigerator, freezer & drawers, two Bosch dishwashers & a Thermador Professional 6 burner stove top and oven. The master bedroom is a refuge w/the bedroom, an office, a spa like bath & an enormous walk in closet. The two other en suite bedrooms are spacious & have windows & ample closets. Two parking spaces come with the sale.	$1,700.80 base assessment, $54.70 cable, $125/per parking spot.  spots #12 and #158 and storage room. Health Club $1500/year.  Room service from hotel and Five Star- Nomi. Maid service available.  Discounted rates for Hotel rooms			Central Air		Door Person, Elevator, Exercise Room, Storage, Health Club, On Site Manager/Engineer, Sundeck, Pool-Indoors, Receiving Room, Restaurant, Service Elevator		Gas, Electric, Indv Controls		Yes	Oven/Range, Microwave, Dishwasher, High End Refrigerator, Freezer, Washer, Dryer, Disposal	.	.	(000) 000-0000	No				2900000	No	No		Other	None	2015	117		43	Hardwood	Hardwood				Water, Parking, Common Insurance, Doorman, TV/Cable, Exterior Maintenance, Scavenger, Snow Removal			Hardwood			Hardwood	Hardwood		Full	Hardwood	10/19/2016	3.1	Condo, High Rise (7+ Stories)
800	MICHIGAN	AVE	4703	Chicago	Illinois	60611	PARK TOWER	AT	09219978	CLSD	1795000	1695000	1577500	88%	93%	11/18/2016	09/19/2016	134	134	25654.22	975	2000	5	2	2	1	2000		N (North), W (West), Lake/Water	1	1	Attached	None	None	299	299	Conventional	N/A	17032310181080	The Iconic Park Tower presents an exceptional two bedroom unit with elegant design features and pristine condition. Completely remodeled within the last year including a stunning open kitchen, gorgeous wide plank hardwood floors and tasteful interior design. The views to the north, west and lake are sensational. 1 garage space included in the price.	Garage 88 on 4th floor storage 92 satellite $54, garage asmnt $125, asmnt $975.12			Central Air		Door Person, Exercise Room, Storage, Pool-Indoors		Electric, Forced Air		Yes	Oven/Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer	Sudler	Anne Hoffman	(312) 587-3280	No				1577500	No	No		Builder		2015	117		47						Water, Gas, Common Insurance, Security, Doorman, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal									Full		09/19/2016	2.1	Condo
800	MICHIGAN	AVE	5301	Chicago	Illinois	60611		AT	09264027	CLSD	5000000	5000000	4475000	90%	90%	08/01/2016	06/22/2016	2	2	58936	2777	2000	8	3	2	1	4200		S (South), E (East), W (West), City, Lake/Water, Park	1	2	Attached	None	None	299	299	Conventional	N/A	17032310181094	Stunning views from high floor at Park Tower. Beautiful and impeccable remodeled with finest finishes! Pure perfection. Two bedrooms plus an office. Two premiere parking spaces. Total assessments includes: Assessment unit, cable, and parking.				Central Air, Zoned		Elevator, Exercise Room, Storage, On Site Manager/Engineer, Pool-Indoors, Receiving Room, Restaurant, Service Elevator, Other		Electric, Zoned	Bar-Wet, Hardwood Floors, Laundry Hook-Up in Unit	Yes	Oven-Double, Microwave, Dishwasher, Refrigerator, Refrigerator-Bar, Freezer, Washer, Dryer, Disposal	SUDLER	Anne Hoffman	(312) 758-3280	No				4475000	No	No		Plans	None	2014	117		53	Carpet	Hardwood				Common Insurance, Doorman, Exterior Maintenance, Scavenger, Snow Removal			Hardwood	Humidifier, TV-Cable, Fire Sprinklers	Hardwood	Hardwood	Hardwood		Full	Carpet	06/22/2016	2.1	Condo, High Rise (7+ Stories)
800	Michigan	AVE	3303	Chicago	Illinois	60611		AT	08987738	CLSD	3100000	2995000	2725000	88%	91%	06/22/2016	05/23/2016	309	309	37212.73	1714	2000	7	3	3	0	3000		N (North), E (East), W (West)	1	1	Attached	None	None	299	299	Cash	N/A	17032310181121	Stunning Contemporary Home at Iconic Park Tower. East, North & West Views. Spacious Balcony. Open Floorplan with Abundant Light & the Spatial Design is Perfect for Entertaining! Finishes are Elegant and Current. Cooks Kitchen with SubZ, Viking, 2 SubZ Wine Coolers, Meile Built-In Coffee System, Custom Stone and Wood Floors Throughout, Gas Fireplace, Wet Bar, Spacious Storage. Breath Taking Views, Location and all the Amenities of the Park Hyatt! Special Property, A Must See!	Parking Space #90, assessment $115/mo, taxes, $735.65/yr billed by the Home Owners Association once per year.  Parking assessment included in assessment amount. 24 hour notice appreciated. Call, text, e-mail, 312-961-2639, rlbrooks@koenigrubloff.com.			Central Air, Zoned		Elevator, Storage, Receiving Room, Security Door Locks, Service Elevator		Forced Air, Hot Water/Steam, Zoned	Bar-Wet, Elevator, Hardwood Floors	Yes	Oven/Range, Microwave, Dishwasher, High End Refrigerator, Refrigerator-Bar, Washer, Dryer, Disposal, All Stainless Steel Kitchen Appliances, Wine Cooler/Refrigerator	Sudler	Ann Hoffman	(312) 587-3280	No				2725000	No	No		Builder	None	2014	117		33	Hardwood	Hardwood				Water, Gas, Common Insurance, Security, Doorman, TV/Cable, Scavenger, Snow Removal			Hardwood	Humidifier, TV-Dish, Fire Sprinklers, CO Detectors	Hardwood	Hardwood	Hardwood		Full	Hardwood	05/23/2016	3	Condo, High Rise (7+ Stories)
