TYP	Street #	CP	Str Name	Sfx	Unit #	City	State	Zip	Area	Subdivision	GS Dist	HS Dist	Tot # Units	Type DE/AT	# Stories	Yr Blt	MLS #	Stat	Contingency	Orig List Pr	LP/SP	Sold Pr	List Price	FIN	Short Sale/Foreclosed/Court Approved	SP:LP	SP:OLP	MT	LMT	PIN	Mult PINs	Addl Tax Info	% Common	Taxes	Tax Exemps	Tax Year	As/Asc Dues	MAF	Master Association Fee($)	Spec Assess	Special Service Area	Special Service Area Fee	Unit Fl No	Model	ASF	SF Source	Total SF	Main SF	Aprx Total Fin SF	Exposure	# Rms	Beds	All Beds	Bsmt. Beds	# Full Baths	# Half Baths	Baths	# Interior Fireplaces	#GSp	Garage Type	Bsmt	Basement Description	Remarks	Agent Remarks	# Parking Spaces	Air	Heat/Fuel	AAG	Interior Property Features	Is Parking Included in Price?	Appliances	Amen	Com Ar Amen	Asses Incl	Management Company	Management Contact Name	Management Phone	% Own Occ	Can Owner Rent	Parking Fee/Lease $	2nd Bdr Flr	3rd Bdr Flr	4th Bdr Flr	Deeded Garage Cost	Deeded Parking Cost	Din Flr	Equipment	Fam Rm Flr	Kit Flr	Liv Rm Flr	Mast Bd Bth	Mast Bd Flr	2nd Bdr Sz	3rd Bdr Sz	4th Bdr Sz	Mast Br Sz	Liv Rm Sz	Kit Sz	Fam Rm Sz	Din Sz	Additional Rooms	Bth Amen	Din Rm	Exterior Property Features	Acreage	County	List Date	Contract Date	Off Mkt Dt	Closed Date
AT	1000	N	LAKE SHORE	DR	503	Chicago	Illinois	60611	8008		299	299	183	Condo	24	1953	09471941	A/I	A/I	190000	180000		180000					80	80	17032040631023				2443.21	None	2015	623	No		No	No		5		0	Not Reported	0		0	S (South)	4	1	1	0	1	0	1	0	1	Attached	None	None	Spacious 1 bedroom condo, hardwood floors throughout, stainless steel appliances. Balcony with views of lake and city. Quiet, secure building with 24 hour doorman. Easy access to transportation and entertainment. Literally steps from beautiful Oak St Beach. Valet parking available for only $240. Assessments include everything but electricity. Lake view from the unit balcony.  Incredible city views from the sundeck.	owner must live in the building for 2 years before renting.  Laundry can be installed in the unit.		2 (Window/Wall Unit)	Radiant			No	Oven/Range, Microwave, Dishwasher, Refrigerator, All Stainless Steel Kitchen Appliances		Bike Room/Bike Trails, Door Person, Coin Laundry, Elevator, Storage, On Site Manager/Engineer, Sundeck, Receiving Room	Heat, Water, Gas, Common Insurance, Security, Doorman, TV/Cable, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal, Wi-Fi, Internet Access	DK Condo	Manager	(312) 943-1001		No										Ceramic Tile	Hardwood	None	Carpet				12X11	20X15	10X7		COMBO	No additional rooms		Combined w/ LivRm			Cook	01/06/2017	03/15/2017		
AT	1000	N	LAKE SHORE	DR	2303	Chicago	Illinois	60611	8008		299	299	184	Condo, High Rise (7+ Stories)	23	1954	09403938	RACT		208000	208000		208000					104	104	17032040631174	No			2282	Homeowner	2015	735	No		No	No		23		800	Estimated				S (South)	4	1	1	0	1	0	1	0	1	Attached	None	None	Rarely available, Penthouse-Level, Completely Renovated and Spacious 1 Bedroom, 1 Bath with Southern exposures. Beautiful Wood flooring throughout, Open-Kitchen floor plan with Granite Countertops and Granite Window Sills, Stainless Steel Appliances, great Recessed Lighting, Spa Master Bath with Ceramic Tiles, generous Custom-Organised Closets throughout the unit. Assessments include HEAT, WATER, CABLE, INTERNET! Steps from the coveted Oak Street Beach, World-Renowned Boutique stores on Michigan Avenue and Oak Street. Entrance is on Bellevue, one of the most desired and historic tree-lined streets in the Gold Coast. Quiet and secure building with over $3 Million in Reserves, 24-Hour Doorstaff, On-Site Management, a Must-See Rooftop Sundeck, Valet parking for $240 per month, Guest parking available... One of the very few buildings in Chicago offering Guest Parking! You will not be disappointed!!! Ogden School District	Show with Confidence... $200 Move-In fee and $200 Move-Out fee, no Deposit required. $3.2 Million in Reserves : ) No Rental Cap, however, new unit owners are required to wait for 24 months before renting out their units		2 (Window/Wall Unit)	Radiant		Hardwood Floors, 1st Floor Bedroom	No	Oven/Range, Microwave, Dishwasher, Refrigerator, All Stainless Steel Kitchen Appliances		Door Person, Coin Laundry, Elevator, Storage, On Site Manager/Engineer, Sundeck, Service Elevator	Heat, Water, Common Insurance, Security, Doorman, TV/Cable, Exterior Maintenance, Lawn Care, Internet Access	Draper & Kramer	Manager	(312) 943-1001	72	No										Hardwood	Hardwood	Full	Hardwood				12X12	20X15	10X7		COMBO	No additional rooms	Soaking Tub	Combined w/ LivRm			Cook	12/13/2016			
AT	1000	N	Lake Shore	DR	2009	Chicago	Illinois	60611	8008		299	299	183	Condo, High Rise (7+ Stories)	23	1953	09095943	ACTV		475000	410000		410000					481	481	17032040631154				3934.34		2014	1245	No		No	No		20		1200	Estimated				N (North), S (South), E (East), Lake/Water	5	2	2	0	2	0	2	0	1	Attached	None	None	PRIME TIER RARELY ON MARKET.  THIS EAST FACING UNIT HAS FULL VIEWS OF THE LAKE AND BEACH. TOTALLY RENOVATED 2 BR/2BTH UNIT IN PRIME GOLD COAST LOCATION!  NEW KITCHEN, NEW CARPET, CROWN MOLDING, NEW TILE, NEW WINDOW TREATMENTS, BALCONY, FULL AMENITY BLDG INCL 24HR DRMN, DRY CLEANERS, SUNDECK. VALET PRKG AVAILABLE .  WALK TO PARKS, BEACH, SHOPS, RESTAURANTS AND ALL THAT THE GOLDCOAST HAS TO OFFER.	Unit cannot be rented until 2 years of owner occupancy.		3+ (Window/Wall Unit)	Radiant			No	Oven/Range, Dishwasher, Refrigerator		Door Person, Coin Laundry, Elevator, Sundeck, Receiving Room, Service Elevator, Curbs/Gutters, Sidewalks, Street Lights, Street Paved	Heat, Water, Gas, Common Insurance, Doorman, TV/Cable, Scavenger, Snow Removal	Draper & Kramer	Paulina Stepney	(312) 943-1030		Yes		Hardwood					Hardwood			Ceramic Tile	Hardwood	Full	Hardwood	14X11			15X11	20X16	9X9		10X11	No additional rooms		L-shaped	Balcony		Cook	12/02/2015			
AT	1000	N	Lake Shore	DR	309	Chicago	Illinois	60611	8008		299	299	183	Condo, High Rise (7+ Stories)	23	1953	09520309	ACTV		449000	415000		415000					186	24	17032040631011				4052	Senior	2015	1155	No		No	No		20		1200	Estimated	0		0	N (North), S (South), E (East), Lake/Water	5	2	2	0	2	0	2	0	1	Attached	None	None	1600SF PRIVATE TERRACE FACING OAK STREET BEECH AND MICHIGAN AVENUE!!  THIS LIGHT-FILLED 2 BEDROOM 2 BATH UNIT FEATURES NEW WHITE KITCHEN AND UPDATED BATHS IN THE CENTE OF THE GOLD COAST! PRIME LOCATION WALK TO EVERYTHING THE AREA HAS TO OFFER.FULL AMENITY BLDG INCL 24HR DRMN, DRY CLEANERS, SUNDECK. VALET PRKG AVAILABLE .  WALK TO PARKS, BEACH, SHOPS, RESTAURANTS!	72% Owner Occupied 28% rental. Unit owner must live in the unit for 24 months before renting. No rental cap. Reserves 3.4 million. Open House Saturday 3/18 and Sunday 3/19 from 2pm-4pm.		3+ (Window/Wall Unit)	Radiant			No	Oven/Range, Dishwasher, Refrigerator		Door Person, Coin Laundry, Elevator, Sundeck, Receiving Room, Service Elevator, Curbs/Gutters, Sidewalks, Street Lights, Street Paved	Heat, Water, Gas, Common Insurance, Doorman, TV/Cable, Scavenger, Snow Removal	1000 LAKE SHORE CONDOMINIUMS	MICHELLE	(312) 943-1000		No		Hardwood					Hardwood			Ceramic Tile	Hardwood	Full	Hardwood	14X11			15X11	20X16	9X9		10X11	No additional rooms		L-shaped	Patio		Cook	03/03/2017			
AT	1000	N	Lake Shore		19C	Chicago	Illinois	60611	8008		299	299	138	Condo	55	1964	09485815	ACTV		840000	840000		840000					61	61	17032040641043				11318.53	Homeowner	2015	1692	No		No	No		19		2031	Estimated	0		0		6	3	3	0	2	1	2.1		2	Attached	None	None	3 bedroom 2.5 bath stunning Gold Coast condo. Total gut rehab between 2-4 years ago. Nothing left out. Open kitchen, spectacular white quartz peninsula,custom designer cabinetry, and SS appliances.Sophisticated city townhome features 9"ceilings, new windows,custom shades, hardwood floors and contemporary lighting.New baths with high end glass, slate and tile designs. Jet tub in Master. In-unit washer and dryer in stunning modern hall bath. Dramatic powder room. Custom,large closets.Private balcony, fabulous cityscapes over Michigan Avenue and Oak Street with magical night views.Spotless,move-in condo is perfect for contemporary, city lifestyle.0nly occupied 6 months a year. Owners have moved to CA. Full service 24 hour door man building with brand new modern entry. 2 party rooms,impressive fitness center, library and new laundry room. Amazing Oak Street location at Michigan Avenue with world class shopping and dining. Walk to lake and beach. Leased garage parking	Fabulous unit in a fabulous building  Leased parking available at $225..00 per month		Central Air	Electric		Elevator, Hardwood Floors, Laundry Hook-Up in Unit, Storage	No			Bike Room/Bike Trails, Door Person, Coin Laundry, Elevator, Exercise Room, Storage, On Site Manager/Engineer, Party Room, Service Elevator, Valet/Cleaner	Heat, Air Conditioning, Water, Common Insurance, Security, TV/Cable, Exercise Facilities, Pool, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal, Internet Access	1000 Condomium Association	Marguerite Batau	(312) 944-1057				Hardwood					Hardwood			Hardwood	Hardwood	Full	Hardwood	12X15	12X13		14X20	15X16	10X16		15X16	Balcony	Separate Shower, Double Sink				Cook	01/25/2017			
AT	1000	N	Lake Shore	PLZ	43D	Chicago	Illinois	60610	8008		299	299	138	Condo	52	1964	09485557	ACTV		849000	849000		849000					281	61	17032040641116				11985.18	Homeowner, Senior	2015	1808	No		No	No		43		0	Not Reported	0		0	N (North), W (West)	6	2	2	0	2	1	2.1		1	Attached	None	None	Smashing views from this beautiful "home in the sky"! Living Room, Dining Room, Kitchen and Family Room all are open to one another and enjoy wrap around City and Lake Michigan views. Gorgeous new hardwood flooring throughout. In unit washer and dryer. New sumptuous kitchen with massive island. Master Suite with a new large master bath including double bowl vanity, custom shower, and a walk-in closet. Spacious room sizes, abundant closet space throughout.  Full amenity building with pool, exercise room, party room, sundeck. Parking for two cars and guest parking available. Pets allowed.			Central Air	Hot Water/Steam, Heat Pump			No	Oven/Range, Microwave, Dishwasher, High End Refrigerator, Washer, Dryer, Disposal, All Stainless Steel Kitchen Appliances		Bike Room/Bike Trails, Door Person, Coin Laundry, Elevator, Exercise Room, Storage, On Site Manager/Engineer, Party Room, Sundeck, Pool-Indoors, Receiving Room, Service Elevator	Heat, Air Conditioning, Water, Common Insurance, Doorman, TV/Cable, Exercise Facilities, Pool, Exterior Maintenance, Lawn Care, Scavenger	n/a	n/a	(000) 000-0000				Hardwood					Hardwood		Hardwood	Hardwood	Hardwood	Full	Hardwood	18X12			20X14	18X18	18X10	16X13	16X13	No additional rooms	Whirlpool, Separate Shower, Double Sink	Combined w/ LivRm			Cook	01/25/2017			
AT	1000	N	Lake Shore	PLZ	41C	Chicago	Illinois	60611	8008		299	299	138	Condo, High Rise (7+ Stories)	55	1964	09323709	ACTV		998900	897500		897500					216	216	17032040641109				13158.16	Homeowner, Senior	2014	2081	No		Yes	No		41	DUPLEX - CONDO	2000	Estimated				S (South), W (West), City	6	2	2	0	2	1	2.1		2	Attached	None	None	PRICE REDUCED!!! AMAZING VIEWS IN THIS LUXURIOUS DUPLEX CONDO ON THE MAGNIFICENT MILE!  2 FLOORS OF STYLE AND DESIGN INCLUDES: 2000 SQ FT, 2 BEDROOMS, 2.5 BATHS, REMODELED CUSTOM KITCHEN, 9' FT CEILINGS, HARDWOOD FLOORS, MASTER BED/BATH SUITE WITH GIANT WALK IN CLOSET, LARGE DEN AREA, WET BAR WITH MARBLE TOPS, OFFICE (POSSIBLE 3RD BEDROOM), 2 BALCONIES, IN UNIT LAUNDRY, LARGE LIVING & DINING AREA, UNIQUE SPIRAL STAIRWAY TO 2ND FLOOR IN UNIT - PLEASE NOTE THERE IS ACCESS TO UNIT ON 42ND FLOOR POSSIBLE VIA MAIN ELEVATOR OR STAIRWAY. FULL AMENITY BUILDING WITH 24 HOUR DOORMAN, NEW FITNESS CENTER, INDOOR POOL, LIBRARY, SUNDECK, BAR & PARTY ROOM.  PREMIER GOLD COAST LOCATION! STEPS AWAY FROM OAK STREET BEACH! SELLER TO PAY REMAINING BALANCE OF SPECIAL ASSESSMENT. MOTIVATED SELLERS! CALL TODAY FOR A SHOWING!	BUILDING IS IN THE PROCESS OF RENOVATING THE ENTIRE MAIN ENTRANCE, LOBBY & COMMON AREAS. SPECIAL ASSESSMENTS $584 /30 Months Left.  SELLER HAS OFFERED TO PAY REMAINING BALANCE OF SPECIAL ASSESSMENT.		Central Air	Gas, Forced Air			No			Bike Room/Bike Trails, Door Person, Coin Laundry, Elevator, Exercise Room, Storage, On Site Manager/Engineer, Party Room, Sundeck, Pool-Indoors, Receiving Room, Service Elevator, Valet/Cleaner	Heat, Air Conditioning, Water, Gas, Common Insurance, Doorman, TV/Cable, Exercise Facilities, Pool, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal, Internet Access	1000 Lake Shore Plaza Condo Association	Marguerite Batau	(312) 944-1057	100									TV-Cable				Full		14X11			17X17	20X16	14X10		20X11	Office, Walk In Closet					Cook	08/23/2016			
AT	1000	N	Lake Shore	PLZ	28B	Chicago	Illinois	60610	8008	LAKE SHORE PLAZA	299	299	138	Condo	52	1964	09397745	ACTV		958000	918000		918000					144	116	17032040641069	No		0.7	11601.52	None	2015	1908	No		No	No		28	B TIER	2200	Estimated				S (South), E (East), City, Lake/Water, Park	6	2	2	0	2	1	2.1		2	Attached	None	None	Very Sought after corner "B" Tier in the building with incredible views of Michigan Avenue, Lake Michigan and Oak Street Beach.  Wrap around windows allowing natural light in the spacious Living Room, Family Room and Dining Rooms.  Beautiful Hardwood Floors, Cherry Chef's Kitchen with Breakfast area and lake views.  Master Suite with abundant closets and spa like marble master bath. with whirlpool tub and separate shower.   Second bedroom with built-in cabinets and hardwood floors.Beautiful Marble Second Bath.  Washer and Dryer installed in unit.  Enjoy the spacious balcony and shimmering lights of the Mag Mile. Full amenity building and convenient Oak Street location.  Valet Rental parking available.	Valet parking Available  Over 2M in Reserves   Can rent but must live there for two of the three year period.		Central Air	Hot Water/Steam, Heat Pump		Hardwood Floors, 1st Floor Laundry, Laundry Hook-Up in Unit	No	Oven/Range, Microwave, Dishwasher, High End Refrigerator, Washer, Dryer, Disposal		Bike Room/Bike Trails, Door Person, Coin Laundry, Elevator, Exercise Room, Storage, On Site Manager/Engineer, Party Room, Sundeck, Pool-Indoors, Receiving Room, Service Elevator	Heat, Air Conditioning, Water, Common Insurance, Doorman, TV/Cable, Exercise Facilities, Pool, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal	Community Specialists	Margaret Batau	(312) 944-1055		Yes		Hardwood					Hardwood		Hardwood	Hardwood	Hardwood	Full	Carpet	16X12			20X14	20X16	18X10	14X13	16X10	Terrace, Walk In Closet	Whirlpool, Separate Shower	Separate	Balcony, End Unit		Cook	12/01/2016			
AT	1000	N	Lake Shore	DR	30B	Chicago	Illinois	60610	8008	LAKE SHORE PLAZA	299	299	138	Condo	52	1964	09497054	ACTV		975000	975000		975000					48	48	17032040641075	No			13426.22	None	2015	1925	No		No	No		30	B TIER	2100	Estimated	0		0	S (South), E (East), City, Lake/Water, Park	6	2	2	0	2	0	2		2	Attached	None	None	East facing preferred "B" tier with panoramic sun rise views and magical night-scapes of Lake Michigan, Oak Street Beach & the Mag Mile on Michigan Ave. The open floor plan is perfect for entertaining friends & family in the re-configured living/family/dining & bar area. Wide balcony is adjacent to entertaining space. Rich walnut flooring throughout entire home with custom doors, lighting & built-ins. White kitchen with Sub-Zero fridge & Dacor cooktop & extensive cabinet storage. Large master suite with walk-in closet, marble bath with whirlpool tub & separate shower. Laundry closet with washer/dryer & cabinets. Most home furnishings negotiable & can be included in sale. New modern entry for this luxury building with 24 hour door service, 2 party rooms, impressive fitness center, indoor pool, library and rooftop terrace. Best of Chicago living at Oak Street/Michigan Avenue location with world class shopping & dining. Valet parking for 2 cars & guest parking.	Home is easy to show. Fitness room, hospitality suite & indoor pool on 55th floor. Club room, library & sundeck on 10th floor. Healthy association with reserves in excess of 2 million. Unit windows replaced in 2006. Most furnishings can be included with sale.		Central Air	Hot Water/Steam, Heat Pump		Bar-Dry, Hardwood Floors, 1st Floor Laundry, Laundry Hook-Up in Unit, Storage	No	Oven/Range, Microwave, Dishwasher, High End Refrigerator, Washer, Dryer, Disposal, Cooktop		Bike Room/Bike Trails, Door Person, Coin Laundry, Elevator, Exercise Room, Storage, On Site Manager/Engineer, Party Room, Sundeck, Pool-Indoors, Receiving Room, Service Elevator	Heat, Air Conditioning, Water, Common Insurance, Doorman, TV/Cable, Exercise Facilities, Pool, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal	Community Specialists	Margaret Batau	(312) 944-1055		Yes		Hardwood					Hardwood		Hardwood	Porcelain Tile	Hardwood	Full	Hardwood	15X12			20X14	14X12	18X10	16X13	18X16	Balcony, Walk In Closet, Foyer	Whirlpool, Separate Shower	Combined w/ LivRm, Combined w/ FamRm	Balcony, End Unit		Cook	02/07/2017			
AT	1000	N	LAKE SHORE	PLZ	17A	Chicago	Illinois	60611	8008		299	299	138	Condo, High Rise (7+ Stories)	55	1965	09335764	PEND		1070000	1000000		1000000					150	150	17032040641035				13426.22	None	2015	1925	No		No	No		17		2432	Estimated					7	3	3	0	3	1	3.1		2	Attached	None	None	Excellent location in the Gold Coast at the corner of the Magnificent Michigan Avenue and Oak Street.  Rare spacious floor plan with 3 bedrooms, den and 3  ½ baths. Open kitchen with updated stainless steel appliances, beveled granite island, tile backsplash and cherry cabinets. Amenities for the home include pretty  cherry hardwood floors, custom shades and lighting.  Large master suite with walk in closet, balcony,  and beautiful bath with separate shower, and double vanity.  All baths have elegant finishes.  East balcony off the living room has a gorgeous view of Oak Street Beach, lake and city.  The west balcony off the master has an expansive city view.  Building is full service with 24 hour door person, 2 party rooms, roof deck, fitness center, library, indoor pool and onsite management.   Special assessment has been paid by seller.	1 pet per unit,  dining room fixture excluded		Central Air	Forced Air, Baseboard		Elevator, Laundry Hook-Up in Unit	No	Oven-Double, Microwave, Dishwasher, High End Refrigerator, Washer, Dryer, Disposal		Bike Room/Bike Trails, Door Person, Coin Laundry, Elevator, Exercise Room, Storage, On Site Manager/Engineer, Party Room, Sundeck, Receiving Room, Service Elevator, Valet/Cleaner	Heat, Air Conditioning, Water, Common Insurance, Security, Security System, Doorman, TV/Cable, Exercise Facilities, Pool, Snow Removal, Internet Access	Community Specialists	Marguerite Batau	(312) 944-1057	98	No		Carpet	Carpet				Hardwood	CO Detectors	Hardwood	Hardwood	Hardwood	Full	Carpet	12X12	13X12		18X14	17X16	17X10	13X12	16X12	No additional rooms	Separate Shower, Double Sink	Separate	Balcony		Cook	09/07/2016	02/03/2017	02/03/2017	
