TYP	Street #	CP	Str Name	Sfx	Unit #	City	State	Zip	Area	County	Subdivision	GS Dist	HS Dist	Tot # Units	Type DE/AT	# Stories	Yr Blt	MLS #	Stat	Contingency	Orig List Pr	LP/SP	Sold Pr	List Price	FIN	Short Sale/Foreclosed/Court Approved	SP:LP	SP:OLP	MT	LMT	PIN	Mult PINs	Addl Tax Info	% Common	Taxes	Tax Exemps	Tax Year	As/Asc Dues	MAF	Master Association Fee($)	Spec Assess	Special Service Area	Special Service Area Fee	Unit Fl No	Model	ASF	SF Source	Total SF	Main SF	Aprx Total Fin SF	Exposure	# Rms	Beds	All Beds	Bsmt. Beds	# Full Baths	# Half Baths	Baths	# Interior Fireplaces	#GSp	Garage Type	Bsmt	Basement Description	Remarks	Agent Remarks	# Parking Spaces	Air	Heat/Fuel	AAG	Interior Property Features	Is Parking Included in Price?	Appliances	Amen	Com Ar Amen	Asses Incl	Management Company	Management Contact Name	Management Phone	% Own Occ	Can Owner Rent	Parking Fee/Lease $	2nd Bdr Flr	3rd Bdr Flr	4th Bdr Flr	Deeded Garage Cost	Deeded Parking Cost	Din Flr	Equipment	Fam Rm Flr	Kit Flr	Liv Rm Flr	Mast Bd Bth	Mast Bd Flr	2nd Bdr Sz	3rd Bdr Sz	4th Bdr Sz	Mast Br Sz	Liv Rm Sz	Kit Sz	Fam Rm Sz	Din Sz	Additional Rooms	Bth Amen	Din Rm	Exterior Property Features	List Date	Contract Date	Off Mkt Dt	Closed Date	Acreage
AT	1201	S	Prairie	AVE	4305	Chicago	Illinois	60605	8033	Cook		299	299	298	Condo	53	2008	08270854	CLSD		690000	690000	690000	690000	Conventional	N/A	100%	100%	2	2	17221101381237			.25	10503	None	2011	496	No		No	No		43	CLASSIC	1639	Estimated				S (South), E (East)	6	2	2	0	2	0	2		1	Attached	None	None	SOLD BEFORE PRINT! South Loop Luxury by Related presents The Grant. Offering unmatched style & views. 24hr door staff, indoor pool/spa, gym, sundeck, lounge, catering kitchen, playroom, theatre & dog-run."Classic" units incl: Luxe finishes, floor-to-ceiling windows, pvt balcony & W/D. Completed units available in a variety of luxury finishes. Walk to Grant Park, Michigan Ave, Museum Campus & Lake MI. Dev.Lic#2179842	SOLD BEFORE PRINT   Parking Assessments: $25  Parking Tax: $569		Central Air	Gas, Forced Air		Wood Laminate Floors, Laundry Hook-Up in Unit	Yes	Oven/Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer, Disposal, All Stainless Steel Kitchen Appliances		Door Person, Elevator, Exercise Room, Storage, On Site Manager/Engineer, Party Room, Sundeck, Pool-Outdoors, Sauna	Heat, Air Conditioning, Water, Common Insurance, Doorman, Exercise Facilities, Pool, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal, Internet Access	Related Management	Shirley Feldmann	(312) 566-9252				Carpet					Wood Laminate	Fire Sprinklers		Wood Laminate	Wood Laminate	Full	Carpet	12X11			14X11	22X17	11X10		COMBO	Den, Balcony	Separate Shower, Double Sink, Soaking Tub	Combined w/ LivRm		02/13/2013	02/14/2013	02/14/2013	04/10/2013	
AT	1201	S	Prairie	AVE	4902	Chicago	Illinois	60605	8033	Cook		299	299	298	Condo	53	2008	08270819	CLSD		795000	795000	795000	795000	Cash	N/A	100%	100%	2	2	17221101381270			.38	12809	None	2011	755	No		No	No		49	SIGNATURE	1700	Estimated				N (North)	6	2	2	0	2	0	2		1	Attached	None	None	SOLD BEFORE PRINT! South Loop Luxury by Related presents The Grant. Offering unmatched style & views. 24hr door staff, indoor pool/spa, gym, sundeck, lounge, catering kitchen, playroom, theater & dog-run."Signature"units incl: Snaidero cabs, quartz counters, Sub-Zero/Wolf/Bosch, walnut-lam flrs throughout floor-to-ceiling wndws, pvt balc & W/D. Walk to Grant Pk, Michigan Ave, Museum Campus & Lake MI. Dev.Lic#2179842	SOLD BEFORE PRINT!  Parking Taxes: $568 Parking Assessments: $24.74		Central Air	Gas, Forced Air		Wood Laminate Floors, Laundry Hook-Up in Unit	Yes	Oven/Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer, Disposal, All Stainless Steel Kitchen Appliances		Door Person, Elevator, Exercise Room, Storage, On Site Manager/Engineer, Party Room, Sundeck, Pool-Outdoors, Sauna	Heat, Air Conditioning, Water, Common Insurance, Doorman, Exercise Facilities, Pool, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal, Internet Access	Related Management	Shirley Feldmann	(312) 566-9252				Wood Laminate					Wood Laminate	Fire Sprinklers		Wood Laminate	Wood Laminate	Full	Wood Laminate	15X9			14X12	28X14	12X9		COMBO	Balcony, Den	Separate Shower	Combined w/ LivRm		02/13/2013	02/14/2013	02/14/2013	04/29/2013	
AT	1201	S	Prairie	AVE	3102	Chicago	Illinois	60605	8033	Cook		299	299	298	Condo	53	2008	08270799	CLSD		670000	670000	670000	670000	Cash	N/A	100%	100%	2	2	17221101381162			.35	10391	None	2011	691	No		No	No		31	CLASSIC	1700	Estimated				N (North)	6	2	2	0	2	0	2		1	Attached	None	None	SOLD BEFORE PRINT! South Loop Luxury by Related presents The Grant. Offering unmatched style & views. 24hr door staff, indoor pool/spa, gym, sundeck, lounge, catering kitchen, playroom, theatre & dog-run."Classic" units incl: Luxe finishes, floor-to-ceiling windows, pvt balcony & W/D. Completed units available in a variety of luxury finishes. Walk to Grant Park, Michigan Ave, Museum Campus & Lake MI. Dev.Lic#2179842	SOLD BEFORE PRINT   Parking Assessments: $25  Parking Tax: $569		Central Air	Gas, Forced Air		Wood Laminate Floors, Laundry Hook-Up in Unit	Yes	Oven/Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer, Disposal, All Stainless Steel Kitchen Appliances		Bike Room/Bike Trails, Door Person, Elevator, Exercise Room, Storage, On Site Manager/Engineer, Party Room, Sundeck, Pool-Outdoors, Sauna	Heat, Air Conditioning, Water, Common Insurance, Doorman, Exercise Facilities, Pool, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal, Internet Access	Related Management	Shirley Feldmann	(312) 566-9252				Carpet					Wood Laminate	Fire Sprinklers		Wood Laminate	Wood Laminate	Full	Carpet	9X15			12X14	14X28	9X12		COMBO	Balcony, Den	Whirlpool, Separate Shower, Double Sink, Soaking Tub	Combined w/ LivRm		02/13/2013	02/14/2013	02/14/2013	02/15/2013	
AT	1201	S	Prairie	AVE	902	Chicago	Illinois	60605	8033	Cook	The Grant	299	299	298	Condo	53	2008	08300657	CLSD		654000	654000	654000	654000	Conventional	N/A	100%	100%	2	2	17221101381030			.31	9497	None	2011	613	No		No	No		9	SIGNATURE	1700	Estimated				N (North)	6	2	2	0	2	0	2		1	Attached	None	None	SOLD BEFORE PRINT! South Loop Luxury by Related presents The Grant. Offering unmatched style & views. 24hr door staff, indoor pool/spa, gym, sundeck, lounge, catering kitchen, playroom, theater & dog-run."Signature"units incl: Snaidero cabs, quartz counters, Sub-Zero/Wolf/Bosch, walnut-lam flrs throughout floor-to-ceiling wndws, pvt balc & W/D. Walk to Grant Pk, Michigan Ave, Museum Campus & Lake MI. Dev.Lic#2179842	SOLD BEFORE PRINT! Parking Taxes: $568 Parking Assessments: $24.74		Central Air	Gas, Forced Air		Wood Laminate Floors, Laundry Hook-Up in Unit	Yes	Oven/Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer, Disposal, All Stainless Steel Kitchen Appliances		Door Person, Elevator, Exercise Room, Storage, On Site Manager/Engineer, Party Room, Sundeck, Pool-Outdoors, Sauna	Heat, Air Conditioning, Water, Common Insurance, Doorman, Exercise Facilities, Pool, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal, Internet Access	Related Management	Shirley Feldmann	(312) 566-9252				Wood Laminate					Wood Laminate	Fire Sprinklers		Wood Laminate	Wood Laminate	Full	Wood Laminate	15X9			14X12	28X14	12X9		COMBO	Den, Balcony	Separate Shower	Combined w/ LivRm		03/25/2013	03/26/2013	03/26/2013	06/20/2013	
AT	1201	S	Prairie	AVE	2702	Chicago	Illinois	60605	8033	Cook	The Grant	299	299	298	Condo	53	2008	08313278	CLSD		695000	695000	695000	695000	Conventional	N/A	100%	100%	2	2	17221101381138			.34	10049	None	2011	676	No		No	No		27	CLASSIC	1700	Estimated				N (North)	6	2	2	0	2	0	2		1	Attached	None	None	SOLD BEFORE PRINT! South Loop Luxury by Related presents The Grant. Offering unmatched style & views. 24hr door staff, indoor pool/spa, gym, sundeck, lounge, catering kitchen, playroom, theatre & dog-run."Classic" units incl: Luxe finishes, floor-to-ceiling windows, pvt balcony & W/D. Completed units available in a variety of luxury finishes. Walk to Grant Park, Michigan Ave, Museum Campus & Lake MI. Dev.Lic#2179842	SOLD BEFORE PRINT Parking Assessments: $25 Parking Tax: $569.		Central Air	Gas, Forced Air		Wood Laminate Floors, Laundry Hook-Up in Unit	Yes	Oven/Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer, Disposal, All Stainless Steel Kitchen Appliances		Bike Room/Bike Trails, Door Person, Elevator, Exercise Room, Storage, On Site Manager/Engineer, Party Room, Sundeck, Pool-Outdoors, Sauna	Heat, Air Conditioning, Water, Common Insurance, Doorman, Exercise Facilities, Pool, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal, Internet Access	Related Management	Shirley Feldmann	(312) 566-9252				Carpet					Wood Laminate	Fire Sprinklers		Wood Laminate	Wood Laminate	Full	Carpet	9X15			12X14	14X28	9X12		COMBO	Balcony, Den	Whirlpool, Separate Shower, Double Sink, Soaking Tub	Combined w/ LivRm		04/09/2013	04/10/2013	04/10/2013	06/10/2013	
AT	1201	S	Prairie	AVE	1406	Chicago	Illinois	60605	8033	Cook	The Grant	299	299	298	Condo	53	2008	08353598	CLSD		441000	441000	441000	441000	Conventional	N/A	100%	100%	87	37	17221101381064			.16	6039	None	2011	317	No		No	No		14	CLASSIC	1207	Estimated				S (South), E (East), W (West)	5	2	2	0	2	0	2		1	Attached	None	None	South Loop Luxury by Related presents The Grant. Offering unmatched style & views. 24hr door staff, concierge, indoor pool, gym, sundeck, lounge, catering kitchen, playroom, theater & Dog-City pet amenity."Classic" units incl: Luxe finishes, floor-to-ceiling windows, pvt balcony & W/D. Completed units available in a variety of luxury finishes. Walk to Grant Park, Michigan Ave, Museum Campus & Lake MI. Dev.Lic#2179842	Parking Taxes: $568 Parking Assessments: $24.74. CLASSIC FINISH PACKAGE. PICTURE ARE OF MODEL UNITS. FINISHES MAY VARY. Units are ready for immediate delivery. 1 year developer warranty with all units.		Central Air	Gas, Forced Air		Wood Laminate Floors, Laundry Hook-Up in Unit	Yes	Oven/Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer, Disposal, All Stainless Steel Kitchen Appliances		Bike Room/Bike Trails, Door Person, Elevator, Exercise Room, Storage, On Site Manager/Engineer, Party Room, Sundeck, Pool-Indoors, Receiving Room, Sauna, Service Elevator, Curbs/Gutters, Sidewalks, Street Lights, Street Paved	Heat, Air Conditioning, Water, Common Insurance, Doorman, Exercise Facilities, Pool, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal, Internet Access	Related Midwest	Heather McHenry	(312) 566-9252				Carpet					Wood Laminate	Fire Sprinklers		Wood Laminate	Wood Laminate	Full	Carpet	9X8			11X13	14X21	8X16		COMBO	Balcony	Whirlpool, Double Sink, Soaking Tub	Combined w/ LivRm	Balcony	05/28/2013	07/03/2013	07/03/2013	08/20/2013	
AT	1201	S	Prairie	AVE	904	Chicago	Illinois	60605	8033	Cook	The Grant	299	299	298	Condo	53	2008	08325164	CLSD		478000	518000	518000	518000	Conventional	N/A	100%	108%	83	83	17221101381032			.18	7192	None	2011	353	No		No	No		9	SIGNATURE	1238	Estimated				S (South), E (East)	5	2	2	0	2	0	2		1	Attached	None	None	South Loop Luxury by Related presents The Grant. Offering unmatched style & views. 24hr door staff, concierge, indoor pool, gym, sundeck, lounge, catering kitchen, children's playroom, theater & Dog-City pet amenity."Signature"units incl: Snaidero cabs, quartz counters, Sub-Zero/Wolf/Bosch, walnut-lam flrs throughout floor-to-ceiling wndws, pvt balc & W/D. Walk to Grant Pk, Michigan Ave, Museums & Lake MI. Dev.Lic#21	Parking Taxes: $568 Parking Assessments: $24.74. SIGNATURE FINISH PACKAGE. PICTURES ARE OF MODEL UNITS. FINISHES MAY VARY. Units are ready for immediate delivery. 1 year developer warranty w/all units.		Central Air	Gas, Forced Air		Wood Laminate Floors, Laundry Hook-Up in Unit	Yes	Oven/Range, Microwave, Dishwasher, Refrigerator, High End Refrigerator, Washer, Dryer, Disposal, All Stainless Steel Kitchen Appliances		Bike Room/Bike Trails, Door Person, Elevator, Exercise Room, Storage, On Site Manager/Engineer, Party Room, Sundeck, Pool-Indoors, Receiving Room, Sauna, Service Elevator, Curbs/Gutters, Street Lights, Street Paved	Heat, Air Conditioning, Water, Common Insurance, Doorman, Exercise Facilities, Pool, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal, Internet Access	Related Management	Heather McHenry	(312) 566-9252				Wood Laminate					Wood Laminate	Fire Sprinklers		Wood Laminate	Wood Laminate	Full	Wood Laminate	9X12			11X12	15X23	8X11		COMBO	Balcony	Whirlpool, Double Sink, Soaking Tub	Combined w/ LivRm		04/24/2013	07/15/2013	07/15/2013	09/13/2013	
AT	1201	S	Prairie	AVE	1002	Chicago	Illinois	60605	8033	Cook	The Grant	299	299	298	Condo	53	2008	08329255	CLSD		620000	620000	620000	620000	Cash	N/A	100%	100%	2	2	17221101381036			.31	9042	None	2011	616	No		No	No		10	CLASSIC	1700	Estimated				N (North)	6	2	2	0	2	0	2		1	Attached	None	None	SOLD BEFORE PRINT! South Loop Luxury by Related presents The Grant. Offering unmatched style & views. 24hr door staff, indoor pool/spa, gym, sundeck, lounge, catering kitchen, playroom, theatre & dog-run."Classic" units incl: Luxe finishes, floor-to-ceiling windows, pvt balcony & W/D. Completed units available in a variety of luxury finishes. Walk to Grant Park, Michigan Ave, Museum Campus & Lake MI. Dev.Lic#2179842	SOLD BEFORE PRINT Parking Assessments: $25 Parking Tax: $569.		Central Air	Gas, Forced Air		Wood Laminate Floors, Laundry Hook-Up in Unit	Yes	Oven/Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer, Disposal, All Stainless Steel Kitchen Appliances		Bike Room/Bike Trails, Door Person, Elevator, Exercise Room, Storage, On Site Manager/Engineer, Party Room, Sundeck, Pool-Indoors, Receiving Room, Sauna, Service Elevator, Curbs/Gutters, Sidewalks, Street Lights, Street Paved	Heat, Air Conditioning, Water, Common Insurance, Doorman, Exercise Facilities, Pool, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal, Internet Access	Related Management	Shirley Feldmann	(312) 566-9252				Carpet					Wood Laminate	Fire Sprinklers		Wood Laminate	Wood Laminate	Full	Carpet	9X15			12X14	14X28	9X12		COMBO	Balcony, Den	Whirlpool, Separate Shower, Double Sink, Soaking Tub	Combined w/ LivRm		04/29/2013	04/30/2013	04/30/2013	07/22/2013	
AT	1201	S	Prairie	AVE	2501	Chicago	Illinois	60605	8033	Cook	The Grant	299	299	298	Condo	53	2008	08325183	CLSD		1303000	1310000	1310000	1303000	Conventional	N/A	101%	101%	35	35	17221101381125			.59	19887	None	2011	1161	No		No	No		25	SIGNATURE	3000	Estimated				N (North), S (South), W (West)	7	3	3	0	3	0	3		2	Attached	None	None	South Loop Luxury by Related presents The Grant. Offering unmatched style & views. 24hr door staff, concierge, indoor pool, gym, sundeck, lounge, catering kitchen,children's playroom, theater & Dog-City pet amenity."Signature"units incl:Snaidero cabs, quartz counters, Sub-Zero/Wolf/Bosch, walnut-lam flrs thru-out floor-to-ceiling wndws, pvt balc & W/D.Walk to Grant Pk, Michigan Ave, Museums & Lake MI. Dev.Lic#2179842	Parking Taxes: $568 Parking Assessments: $24.74. SIGNATURE FINISH PACKAGE. PICTURES ARE OF MODEL UNITS. FINISHES MAY VARY. Unit inclds 2 side by side pkg spaces. Units are ready for immediate delivery. 1 year developer warranty w/all units		Central Air	Gas, Forced Air		Wood Laminate Floors, Laundry Hook-Up in Unit	Yes	Oven/Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer, Disposal, All Stainless Steel Kitchen Appliances		Door Person, Elevator, Exercise Room, Storage, On Site Manager/Engineer, Party Room, Sundeck, Pool-Indoors, Receiving Room, Sauna, Service Elevator, Curbs/Gutters, Sidewalks, Street Lights, Street Paved	Heat, Air Conditioning, Water, Common Insurance, Doorman, Exercise Facilities, Pool, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal, Internet Access	Related Management	Shirley Feldmann	(312) 566-9252				Wood Laminate	Wood Laminate					Fire Sprinklers		Wood Laminate	Wood Laminate	Full	Wood Laminate	15X12	14X10		17X12	29X19	12X8		COMBO	Balcony, Great Room, Utility Room-1st Floor	Separate Shower, Double Sink, Soaking Tub	Combined w/ LivRm		04/24/2013	05/28/2013	05/28/2013	09/30/2013	
AT	1201	S	Prairie	AVE	1405	Chicago	Illinois	60605	8033	Cook	The Grant	299	299	298	Condo	53	2008	08325175	CLSD		611000	662000	662000	662000	Conventional	N/A	100%	108%	83	83	17221101381063			.22	9643	None	2011	436	No		No	No		14	SIGNATURE	1639	Estimated				S (South), E (East), W (West)	6	2	2	0	2	0	2		1	Attached	None	None	South Loop Luxury by Related presents The Grant. Offering unmatched style & views. 24hr door staff, indoor pool/spa, gym, sundeck, lounge, catering kitchen, playroom, theater & dog-run."Signature"units incl: Snaidero cabs, quartz counters, Sub-Zero/Wolf/Bosch, walnut-lam flrs throughout floor-to-ceiling wndws, pvt balc & W/D. Walk to Grant Pk, Michigan Ave, Museum Campus & Lake MI. Dev.Lic#2179842	Parking Taxes: $568 Parking Assessments: $24.74. SIGNATURE FINISH PACKAGE. PICTURES ARE OF MODEL UNITS. FINISHES MAY VARY. Units are ready for immediate delivery. 1 year developer warranty w/all units.		Central Air	Gas, Forced Air		Wood Laminate Floors, Laundry Hook-Up in Unit	Yes	Oven/Range, Microwave, Dishwasher, Refrigerator, High End Refrigerator, Washer, Dryer, Disposal, All Stainless Steel Kitchen Appliances		Door Person, Elevator, Exercise Room, Storage, On Site Manager/Engineer, Party Room, Sundeck, Pool-Outdoors, Sauna	Heat, Air Conditioning, Water, Common Insurance, Doorman, Exercise Facilities, Pool, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal	Related Management	Shirley Feldmann	(312) 566-9252				Wood Laminate					Wood Laminate	Fire Sprinklers		Wood Laminate	Wood Laminate	Full	Wood Laminate	12X11			14X11	22X17	11X10		COMBO	Balcony, Den	Separate Shower, Double Sink, Soaking Tub	Combined w/ LivRm		04/24/2013	07/15/2013	07/15/2013	03/21/2014	
