TYP	Street #	CP	Str Name	Sfx	Unit #	City	State	Zip	Area	County	Subdivision	GS Dist	HS Dist	Tot # Units	Type DE/AT	# Stories	Yr Blt	MLS #	Stat	Contingency	Orig List Pr	LP/SP	Sold Pr	List Price	FIN	Short Sale/Foreclosed/Court Approved	SP:LP	SP:OLP	MT	LMT	PIN	Mult PINs	Addl Tax Info	% Common	Taxes	Tax Exemps	Tax Year	As/Asc Dues	MAF	Master Association Fee($)	Spec Assess	Special Service Area	Special Service Area Fee	Unit Fl No	Model	ASF	SF Source	Total SF	Main SF	Aprx Total Fin SF	Exposure	# Rms	Beds	All Beds	Bsmt. Beds	# Full Baths	# Half Baths	Baths	# Interior Fireplaces	#GSp	Garage Type	Bsmt	Basement Description	Remarks	Agent Remarks	# Parking Spaces	Air	Heat/Fuel	AAG	Interior Property Features	Is Parking Included in Price?	Appliances	Amen	Com Ar Amen	Asses Incl	Management Company	Management Contact Name	Management Phone	% Own Occ	Can Owner Rent	Parking Fee/Lease $	2nd Bdr Flr	3rd Bdr Flr	4th Bdr Flr	Deeded Garage Cost	Deeded Parking Cost	Din Flr	Equipment	Fam Rm Flr	Kit Flr	Liv Rm Flr	Mast Bd Bth	Mast Bd Flr	2nd Bdr Sz	3rd Bdr Sz	4th Bdr Sz	Mast Br Sz	Liv Rm Sz	Kit Sz	Fam Rm Sz	Din Sz	Additional Rooms	Bth Amen	Din Rm	Exterior Property Features	List Date	Contract Date	Off Mkt Dt	Closed Date	Acreage
AT	1212	N	LASALLE	BLVD	1606	Chicago	Illinois	60610	8008	Cook		299	299	230	Condo, High Rise (7+ Stories)		1989	07198379	CLSD		349500	360000	360000	349500	FHA	N/A	103%	103%	53	53	17042210521115	Yes			4031.25	Homeowner	2007	668	Yes		No			16		1225					N (North), E (East), W (West), City, Lake/Water	5	2	2	0	2		2	0	1	Attached	None	None	High Floor Combined Rehab Unit w/ European Maple Hardwood Flooring Throughout, 2 Balconies, Unobstructed Views of Old Town, Granite Counters w/ um Sink & Cherry Cabinets in Kitchen, Bfast Bar, MBath w/ Jacuzzi Tub, Granite Slab Walls, Porcelain 2nd Bath, 9 Organized Elfa Closets, New blinds. In-unit W/D. Newly painted. 24 hour doorman. Walk To El, Restaurants, Beach, Parks, Mag Mile, Nightlife. Covered parking $40k.			Central Air	Gas		Hardwood Floors, Laundry Hook-Up in Unit		Oven/Range, Microwave, Dishwasher, Refrigerator, Freezer, Washer, Dryer		Bike Room/Bike Trails, Door Person, Elevator, Exercise Room, On Site Manager/Engineer, Receiving Room, Security Door Locks, Service Elevator, Valet/Cleaner	Heat, Air Conditioning, Water, Common Insurance, Security, Doorman, TV/Cable, Exercise Facilities, Exterior Maintenance, Scavenger, Snow Removal							Hardwood					Hardwood			Hardwood	Hardwood	Y	Hardwood	9X12			12X13	22X19	10X08		COMBO	Foyer		Combined w/ LivRm	Balcony	04/26/2009	06/17/2009	06/17/2009	07/30/2009	
AT	1212	N	LASALLE	ST	2107	Chicago	Illinois	60610	8008	Cook		299	299	230	Condo, High Rise (7+ Stories)		1989	07188825	CLSD		219900	229000	229000	209900	Conventional	N/A	109%	104%	141	141	17042210521064				2740.31	Homeowner	2007	487	No		No			21		750					S (South), City	4	1	1	0	1		1		1	Attached	None		**PRICE REDUCED!! BEST DEAL IN THE BLDG!** AMAZING CITY VIEWS FROM THIS SOUTH-FACING 1BD/1BA CONDO AT LASALLE & DIVISION. THIS 750 SQ. FT. UNIT HAS A PRIVATE BALCONY, MARBLE BATH AND AN UPDATED KITCHEN W/ NEWER APPLIANCES, COUNTERS, CERAMIC FLOOR. ALL IN EXCELLENT CONDITION. BLDG HAS 24HR DOORPERSON, EXERCISE ROOM, ON-SITE MGMT. HUGE, TANDEM DEEDED GARAGE PARKING SPOT $25K. EASY TO SHOW!	RARE SOUTH-FACING UNIT WITH AMAZING CITY VIEWS! ASSESSMENT INCLUDES EVERYTHING, BUT SMALL ELEC. BILL. PARKING SPACE #258.		Central Air	Gas, Forced Air, Indv Controls		Elevator, Storage		Oven/Range, Microwave, Dishwasher, Refrigerator, Disposal		Bike Room/Bike Trails, Door Person, Coin Laundry, Elevator, Exercise Room, Storage, On Site Manager/Engineer, Valet/Cleaner, Curbs/Gutters, Sidewalks, Street Lights, Street Paved	Heat, Air Conditioning, Water, Parking, Common Insurance, Doorman, TV/Cable, Exercise Facilities, Exterior Maintenance, Scavenger, Snow Removal													TV-Cable, TV Antenna, Fire Sprinklers		Ceramic Tile	Carpet	None	Carpet				16X11	18X13	09X08		COMBO			Combined w/ LivRm	Balcony, Storms/Screens	04/15/2009	09/02/2009	09/02/2009	09/30/2009	
AT	1212	N	LASALLE	ST	609	Chicago	Illinois	60610	8008	Cook		299	299	230	Condo		1989	07197188	CLSD		234900	216000	216000	224900	Conventional	N/A	96%	92%	55	53	17042210521212	No			2430.88		2007	437	No		No			6		0	Not Reported				S (South), W (West), City	3	1	1	0	1		1				None	None	FHA AVAIL! SUNNY, SOPHISTICATED CORNER GOLD COAST HOME!  TOTALLY RENOVATED UNIT FEAT NEW KIT W/MAPLE CABS W GLASS FRONTS, GRANITE CNTRS + BFAST BAR, SS APPL, PANTRY + FULL WINDOW. BEAU BATH W/MAPLE/GRAN VANITY, MARBLE FLOOR/TUB SURND. TRUE HDWD FLRS, CROWN MLDG.  AWESOME CLOSET SPACE, SOUTH-FACING BALCONY. WALK EVERYWHERE LOC LAKE, PARK, DOWNTOWN, PUBLIC TRANS, GROCERY.  BLDG HAS DRMN, GYM.  EASY PKG.  BEAUTIFUL!!	FHA AVAIL - CORNER UNIT SHOWS BEAUTIFULLY - LOADS OF LIGHT AND STYLE.  TOP UPGRADES THROUGHOUT.  EASY PARKING OPTIONS IN BLDG.  TENANT CURRENTLY IN UNIT BUT CAN LEAVE BEFORE LEASE ENDS.		Central Air	Electric, Forced Air		Hardwood Floors		Oven/Range, Microwave, Dishwasher, Refrigerator, Disposal		Door Person, Coin Laundry, Elevator, Exercise Room, On Site Manager/Engineer, Receiving Room, Security Door Locks, Service Elevator, Curbs/Gutters, Sidewalks, Street Lights, Street Paved	Heat, Air Conditioning, Water, Common Insurance, Doorman, TV/Cable, Exercise Facilities, Exterior Maintenance, Scavenger, Snow Removal	Sudler		(312) 649-5644	69								Hardwood			Hardwood	Hardwood	None	Carpet				16X11	18X13	10X10		COMBO	Foyer, Gallery		Combined w/ LivRm	Balcony, Storms/Screens, End Unit	04/24/2009	06/15/2009	06/15/2009	07/30/2009	
AT	1212	N	LASALLE	ST	907	Chicago	Illinois	60610	8008	Cook		299	299	230	Condo, High Rise (7+ Stories)		1989	07428285	CLSD		199900	190000	190000	199900	FHA	N/A	95%	95%	46	46	17042210521184				2600	Homeowner	2008	407	No		No			21		750					S (South), City	4	1	1	0	1		1		1		None		Spectacular views in this true 1 bedroom, 1 bath in the Heart of the Gold Coast!  New bamboo flooring in the kitchen/living area, stainless steel range and microwave, brand new updated bathroom with granite vanity.  Private balcony. Full amenity building, assessments include doorman, storage, cable, heat, A/C Parking available!  Building is FHA Approved!			Central Air	Gas, Forced Air, Indv Controls		Elevator, Storage	No	Oven/Range, Microwave, Dishwasher, Refrigerator, Disposal		Bike Room/Bike Trails, Door Person, Coin Laundry, Elevator, Exercise Room, Storage, On Site Manager/Engineer, Valet/Cleaner, Curbs/Gutters, Sidewalks, Street Lights, Street Paved	Heat, Air Conditioning, Water, Parking, Common Insurance, Doorman, TV/Cable, Exercise Facilities, Exterior Maintenance, Scavenger, Snow Removal					Yes							Hardwood	TV-Cable, TV Antenna, Fire Sprinklers		Ceramic Tile	Hardwood	None	Carpet				16X11	18X13	09X08		COMBO			Combined w/ LivRm	Balcony, Storms/Screens	01/29/2010	03/15/2010	03/15/2010	05/04/2010	
AT	1212	N	LASALLE	DR	2201	Chicago	Illinois	60610	8008	Cook		299	299	230	Condo		1987	07221596	CLSD		460000	312000	312000	319900	Cash	N/A	98%	68%	106	106	17042210521060				4535	Homeowner	2008	773	No		No			22		1100					S (South), E (East), Lake/Water	5	2	2	0	2		2		1	Attached	None		GOLD COAST HI-RISE SE CORNER UNIT W/CITY & LAKE VIEWS. CLOSE TO RED LINE, BUSES, DINING, GROCERY, BEACH. E/S/N BALCONY VIEWS. NEW SMI-GLOSS WOOD FLR, LIGHTOLOGY, DIRECT TV IN LVING RM. IN-UNIV W/D. REMODELED KITCHEN & BATHS W/GRANITE C-TOPS, GLOSSY CABINETS, NEW ITALIAN KIT BACKSPLSH & GLASS SHOWER DOORS. BUILDING IS WELL MAINTAINED & PETS FRIENDLY. 1 DEEDED COVERED GRG ADD 30K. CAN BE FURNISHED.	SELLER 4 SHO/QUESTIONS.  FAX OFFERS TO LO		Central Air	Heat Pump				Oven/Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer, Disposal		Bike Room/Bike Trails, Door Person, Coin Laundry, Commissary, Elevator, Exercise Room, On Site Manager/Engineer	Heat, Water, Common Insurance, Security, Security System, TV/Cable, Exercise Facilities, Exterior Maintenance, Scavenger, Snow Removal							Carpet						TV-Cable, Fire Sprinklers		Ceramic Tile	Hardwood	Full	Carpet	12X11			17X11	14X18	10X10		COMBO			Combined w/ LivRm	Balcony	05/20/2009	09/02/2009	09/02/2009	09/17/2009	
AT	1212	N	LaSalle	ST	1909	Chicago	Illinois	60610	8008	Cook		299	299	230	Condo, Mid Rise (4-6 Stories)		1989	07254278	CLSD		269000	238000	238000	259000	Conventional	N/A	92%	88%	67	67	17042210521082				3308.88		2008	471	No		No			19		0	Not Reported				N (North), W (West)	3	1	1	0	1		1		1	Attached	None		Rarely available 09 tier with Spectacular Skyline views from floor to ceiling windows and Balcony. #1909 is completely renovated with Hardwood Floors, 42 inch Cherry Cabinets, Stainless Steel Sink & Appliances, Granite Countertops and Breakfast Bar & In-unit Washer & Dryer. Freshly painted and move-in ready. Great location, close to Grocery, Bus and Red Line. Assessment includes Heat, A/C, Cable, & Fitness Room.	Parking Assessment is an additional $54.68 per month.		Central Air	Electric, Forced Air, Indv Controls		Hardwood Floors, Laundry Hook-Up in Unit		Oven/Range, Microwave, Dishwasher, Refrigerator, Freezer, Washer, Dryer		Door Person, Coin Laundry, Elevator, Exercise Room, Receiving Room, Curbs/Gutters, Sidewalks, Street Lights, Street Paved	Heat, Air Conditioning, Water, Common Insurance, Security, Doorman, TV/Cable, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal				70									TV-Cable, CO Detectors			Hardwood	Full	Hardwood				18X12	18X13	11X10					Combined w/ LivRm	Balcony, Storms/Screens, End Unit	06/24/2009	08/29/2009	08/29/2009	11/24/2009	
AT	1212	N	Lasalle	ST	1008	Chicago	Illinois	60610	8008	Cook		299	299	230	Condo		1988	07330301	CLSD		208000	155000	155000	169900	FHA	N/A	91%	75%	366	366	17042210521173	No			1872.46	None	2008	295	No		No			10		0	Not Reported				N (North)	3	1	1	0	1		1				None		Junior 1 Bedroom, 1 Bath w/great views of the city from the balcony. Home features updated kitchen w/new maple cabinets. Beautiful wood laminate flrs in kitchen, living room & bedroom. New french door to bedroom. Generous closet space w/custom organizers. Full amenity building- 24 Hr doorman,dry cleaners,exercise rm & laundry facilities. Excellent location!	Parking option available - $200/month space #339. Great covered location by elevator.		Central Air	Electric, Forced Air			No	Oven/Range, Microwave, Dishwasher, Refrigerator		Bike Room/Bike Trails, Door Person, Coin Laundry, Elevator, Exercise Room, On Site Manager/Engineer, Receiving Room	Heat, Air Conditioning, Water, Common Insurance, Security, Doorman, TV/Cable, Exercise Facilities, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal	Sudler											Wood Laminate	Fire Sprinklers		Wood Laminate	Wood Laminate	None	Wood Laminate				10X10	18X13	9X8		COMBO	Foyer			Balcony, Door Monitored By TV	09/21/2009	09/21/2010	09/21/2010	10/27/2010	
AT	1212	N	LASALLE	ST	1902	Chicago	Illinois	60610	8008	Cook		299	299	230	Condo, High Rise (7+ Stories)		1988	07330873	CLSD		230000	235000	235000	230000	Conventional	N/A	102%	102%	32	32	17042210521089	Yes			2193	Homeowner	2007	489	No		No			19		765					N (North), E (East)	3	1	1	0	1		1		1		None	None	Amazing views from largest corner 1 bedroom in bldg. Tons of natural light and views from floor to ceiling windows.  Remodeled bathroom and wood floors throughout.  Recently painted, great condition. Balcony. Building has a 24 hour doorman, gym, dry cleaners, laundry floor and more. Walk to beach, Rush St.,  Mag Mile and Redline.  Great shopping and restaurants steps away!!!  Parking is $28K extra. Agent owned.	Great investment opportunity!  Parking Spot is #336 (parcel number 17-04-221-052-1359).  Total tax for parking spot is $343.84; Assessment for parking is $54.68 per month.		Central Air	Electric, Forced Air, Indv Controls		Elevator		Oven/Range, Microwave, Dishwasher, Refrigerator, Freezer		Bike Room/Bike Trails, Door Person, Coin Laundry, Elevator, Exercise Room, On Site Manager/Engineer, Receiving Room, Service Elevator, Valet/Cleaner	Heat, Air Conditioning, Water, Common Insurance, Security, Security System, Doorman, TV/Cable, Exercise Facilities, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal													TV-Cable, CO Detectors, Fan-Whole House		Hardwood	Hardwood	None	Hardwood				16X12	18X13	11X10		COMBO	Balcony, Foyer		Combined w/ LivRm	Balcony, Door Monitored By TV	09/22/2009	10/23/2009	10/23/2009	11/30/2009	
AT	1212	N	LASALLE	ST	2503	Chicago	Illinois	60610	8008	Cook		299	299	230	Condo, High Rise (7+ Stories)		1988	07330876	CLSD		225000	230000	230000	225000	FHA	N/A	102%	102%	33	33	17042210521028				1762	Homeowner	2007	405	No		No			25		700					S (South), City	3	1	1	0	1		1		1	Attached	None		AMAZING CITY VIEWS FROM RENOVOVATED ONE BEDROOM ON HIGH FLOOR.  NEW KITCHEN, MARBLE BATH, HARDWOOD FLOORS AND BALCONY.   GENEROUS ROOM SIZES. FULL AMENITY BUILDING OFFERS 24 HR DOORMAN, LAUNDRY & EXERCISE FACILITIES. STEPS FROM LAKEFRONT, TRANSPORTATION, SHOPPING & NIGHTLIFE. INDOOR DEEDED GARAGE PARKING ADDITIONAL 25K.  AGENT OWNED.	PARKING ASSESSMENT IS $54 PER MONTH. TAXES FOR PARKING SPOT ARE $342 PER YEAR.		Central Air	Oil, Forced Air				Oven/Range, Microwave, Dishwasher, Refrigerator, Freezer		Bike Room/Bike Trails, Door Person, Coin Laundry, Elevator, Exercise Room, On Site Manager/Engineer, Receiving Room, Service Elevator, Valet/Cleaner	Heat, Air Conditioning, Water, Gas, Common Insurance, Doorman, TV/Cable, Exercise Facilities, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal					Yes								TV-Cable, Fire Sprinklers, CO Detectors		Hardwood	Hardwood	None	Carpet				16X10	18X13	09X08		COMBO	Balcony		Combined w/ LivRm	Balcony, Storms/Screens	09/22/2009	10/24/2009	10/24/2009	11/23/2009	
AT	1212	N	Lasalle	ST	501	Chicago	Illinois	60610	8008	Cook		299	299	230	Condo		1989	07374540	CLSD		259900	229000	229000	229900	FHA	N/A	100%	88%	260	83	17042210521230	Yes			$4,368.5	None	2007	694	No		No			5	SPACIOUS	0	Not Reported				S (South), E (East)	5	2	2	0	2		2		1	Attached	None		Huge price reduction! Sunny/clean SE facing 2 bed, 2 bath w/ unobstructed views from floor to ceiling windows and a balcony, big closets! New carpet, paint, etc. Deeded parking included! 24 hour doorman, covered drive, great lobby. One block to red line, Jewel, restaurants, entertainment. Quick close. $8000 FT buyer tax credit! Ask about possible in-unit laundry. Great city home investment in a well run building.	Taxes do not reflect homeowners exemption.  Parking is an additional $44/mo assessment and has additional $275/year tax bill. This unit should rent for around $2K/mo!		Central Air	Forced Air		Elevator		Oven/Range, Dishwasher, Refrigerator		Door Person, Elevator, Receiving Room	Heat, Air Conditioning, Water, Common Insurance, Security, Doorman, TV/Cable, Exercise Facilities, Exterior Maintenance, Scavenger, Snow Removal, Other				70	Yes		Carpet					Carpet	TV-Cable		Ceramic Tile	Carpet	Full	Carpet	13X12			18X11	19X14	10X10		COMBO			Combined w/ LivRm	Balcony, End Unit	11/05/2009	01/26/2010	01/26/2010	03/08/2010	
