TYP	Street #	CP	Str Name	Sfx	Unit #	City	State	Zip	Area	County	Subdivision	GS Dist	HS Dist	Tot # Units	Type DE/AT	# Stories	Yr Blt	MLS #	Stat	Contingency	Orig List Pr	LP/SP	Sold Pr	List Price	FIN	Short Sale/Foreclosed/Court Approved	SP:LP	SP:OLP	MT	LMT	PIN	Mult PINs	Addl Tax Info	% Common	Taxes	Tax Exemps	Tax Year	As/Asc Dues	MAF	Master Association Fee($)	Spec Assess	Special Service Area	Special Service Area Fee	Unit Fl No	Model	ASF	SF Source	Total SF	Main SF	Aprx Total Fin SF	Exposure	# Rms	Beds	All Beds	Bsmt. Beds	# Full Baths	# Half Baths	Baths	# Interior Fireplaces	#GSp	Garage Type	Bsmt	Basement Description	Remarks	Agent Remarks	# Parking Spaces	Air	Heat/Fuel	AAG	Interior Property Features	Is Parking Included in Price?	Appliances	Amen	Com Ar Amen	Asses Incl	Management Company	Management Contact Name	Management Phone	% Own Occ	Can Owner Rent	Parking Fee/Lease $	2nd Bdr Flr	3rd Bdr Flr	4th Bdr Flr	Deeded Garage Cost	Deeded Parking Cost	Din Flr	Equipment	Fam Rm Flr	Kit Flr	Liv Rm Flr	Mast Bd Bth	Mast Bd Flr	2nd Bdr Sz	3rd Bdr Sz	4th Bdr Sz	Mast Br Sz	Liv Rm Sz	Kit Sz	Fam Rm Sz	Din Sz	Additional Rooms	Bth Amen	Din Rm	Exterior Property Features	List Date	Contract Date	Off Mkt Dt	Closed Date	Acreage
AT	1355	N	SANDBURG	TER	905	Chicago	Illinois	60610	8008	Cook		299	299	243	Condo, High Rise (7+ Stories)		1969	07147093	CLSD		179900	167500	167500	179900	Cash	N/A	93%	93%	124	124	17042160641439				1749	None	2007	291	No		No			9		0	Not Reported				W (West)	4	1	1	0	1		1		1	Attached	None		A great way to take advantage of the new $8K buyer credit in an FHA approved building with only 3.5% down! Sandburg Terrace offers lots of amenities and is walking distance to amazing restaurants and nitelife. Totally rehabbed unit including hardwood floors, kitchen countertops and appliances, maple cabinets, and ceramic flooring. Open western views facing courtyard.			1 (Window/Wall Unit)	Gas, Hot Water/Steam		Elevator, Hardwood Floors, Storage		Oven/Range, Microwave, Refrigerator		Door Person, Coin Laundry, Elevator, Storage, Sundeck, Pool-Outdoors, Tennis Court/s, Valet/Cleaner	Heat, Water, Common Insurance, Doorman, TV/Cable, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal					Yes							Hardwood			Ceramic Tile	Hardwood	None	Carpet				11X10	20X18	9X7		COMBO				Storms/Screens	02/27/2009	06/30/2009	06/30/2009	07/31/2009	
AT	1355	N	SANDBURG	TER	506	Chicago	Illinois	60610	8008	Cook	SANDBURG VILLAGE	299	299	243	Condo, High Rise (7+ Stories)		1963	07187628	CLSD		279000	250000	250000	269000	FHA	N/A	93%	90%	81	81	17042160641462	No			2659	None	2007	450	Yes		No			5		800					E (East), City	4	2	2	0	1		1		1		None		2 BEDROOM SPACIOUS RECENT REHAB WITH HARDWOOD FLOORS. NEW KITCHEN WITH STAINLESS STEEL APPLIANCES, GRANITE COUNTERS AND OPEN BAR OPEN TO LIVING/DINING AREA. MARBLE TILES IN BATHROOM. BOTH BEDROOMS FACING EAST WITH VIEWS RIGHT ABOVE TREETOPS. OLYMPIC SIZE POOL AND TENNIS COURTS IN THE FOOTSTEPS OF THE BUILDING.			2 (Window/Wall Unit)	Hot Water/Steam		Hardwood Floors, Storage		Oven/Range, Microwave, Dishwasher, Refrigerator		Bike Room/Bike Trails, Door Person, Coin Laundry, Elevator, Storage, On Site Manager/Engineer, Sundeck, Pool-Outdoors, Receiving Room, Security Door Locks, Tennis Court/s, Valet/Cleaner	Heat, Water, Common Insurance, TV/Cable, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal				79			Carpet								Marble	Hardwood	None	Carpet	9X10			11X19	13X19	8X8		COMBO			Combined w/ LivRm	Storms/Screens	04/13/2009	07/02/2009	07/02/2009	08/28/2009	
AT	1355	N	Sandburg	TER	2904	Chicago	Illinois	60610	8008	Cook	SANDBURG	299	299	243	Condo, High Rise (7+ Stories)		1963	07316008	CLSD		219999	213000	213000	219999	Conventional	N/A	97%	97%	19	19	17042160641431	No			3030.81	None	2007	513	No		No			29		800					E (East)	4	1	1	0	1		1		1	Attached	None	None	The perfect penthouse view in the perfect Gold Coast location with the perfect flr plan! Spacious,sharp one bdrm at Dickinson House w/lrg living rm,sep dining rm,hip retro kitchen,nicely redone bath,lrg master bdrm & ample storage. Beautiful views of the city skyline & the lake. Full amenity FHA approved bldg w/substantial reserves,outdr pool,sundeck & tennis cts. Heat & cbl are incl in assmnt. Wait list for parking.			2 (Window/Wall Unit)	Hot Water/Steam		Storage		Oven/Range, Microwave, Dishwasher, Refrigerator		Bike Room/Bike Trails, Door Person, Coin Laundry, Elevator, Storage, On Site Manager/Engineer, Sundeck, Pool-Outdoors, Receiving Room, Security Door Locks, Tennis Court/s, Valet/Cleaner, Curbs/Gutters, Sidewalks, Street Lights, Street Paved	Heat, Water, Common Insurance, Security, Doorman, TV/Cable, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal		Renee	(312) 915-4870	79								Wood Laminate	TV-Cable		Carpet	Wood Laminate	None	Wood Laminate				11X16	21X14	09X08		09X08			Separate		09/03/2009	09/21/2009	09/21/2009	10/26/2009	
AT	1355	N	Sandburg		2007	Chicago	Illinois	60610	8008	Cook		299	299	243	Condo, Studio		1965	07342062	CLSD		172500	137000	137000	149000	Cash	N/A	92%	79%	129	129	17042160641503	No			1445	None	2007	308	No		No			20		0	Not Reported				W (West)	2	0	0	0	1		1		1		None		Sunny Gold Coast hi floor convertible studio with lovely views. Recently rehabbed kitchen with tumbled limestone backsplash and counters, stainless appliances and maple cabs. Expensive wall unit included with like new murphy bed and extra storage or bookcases. Updated bath with granite vanity. A terrific first home or in town pied de terre. Can be sold with or without wall unit.	RESERVES ARE OVER $1 MILLION. TAXES DO NOT RELECT  HOMEOWNER`S EXEMTION. AGENT RELATED TO SELLER		1 (Window/Wall Unit)	Gas		Storage	No	Oven/Range, Microwave, Dishwasher, Refrigerator		Door Person, Coin Laundry, Elevator, Storage, On Site Manager/Engineer, Sundeck, Pool-Outdoors, Service Elevator	Heat, Water, Common Insurance, Doorman, TV/Cable, Exterior Maintenance, Lawn Care, Scavenger													Ceiling Fan				None						22X19	9X7							10/05/2009	02/10/2010	02/10/2010	03/22/2010	
AT	1355	N	SANDBURG	TER	1409D	Chicago	Illinois	60610	8008	Cook	SANDBURG	299	299	243	Condo, High Rise (7+ Stories)		1963	07406410	CLSD		239000	231500	231500	239000	Conventional	N/A	97%	97%	25	25	17042160641551				2760.19	Homeowner	2008	386	No		No			14		800					N (North), W (West)	4	1	1	0	1		1		1	Attached	None		Sophisticated gut rehab at Dickinson. Corner with 2 sides of light & vus; NE with lake/skyline; SW of city/downtown. Slate entry. Cherry flrs thruout living area. Separate dining area.Open kitchen, granite island, stainless appl, maple cabinets. Monorail lites. Paneled doors. Organized closets. Berber carpet in bedroom. Balcony flooded with west lite. Move right in! (Assess incl $58.58 for general Sandburg Assoc.)	Reserve Fund Allocation of $120.83/month thru 05/11 in addition to regularly monthly assessments.		2 (Window/Wall Unit)	Hot Water/Steam, Baseboard		Hardwood Floors		Oven/Range, Dishwasher, Refrigerator		Bike Room/Bike Trails, Door Person, Coin Laundry, Elevator, Storage, On Site Manager/Engineer, Pool-Outdoors, Receiving Room, Service Elevator, Valet/Cleaner	Heat, Water, Common Insurance, Security, Doorman, TV/Cable, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal	CHICAGOLAND MANAGEMENT		(312) 915-4870									Hardwood	TV-Cable, Intercom		Hardwood	Hardwood	None	Carpet				15X12	14X19	11X07		11X07			Separate	Balcony, End Unit	01/04/2010	01/28/2010	01/28/2010	02/19/2010	
AT	1355	N	Sandburg	TER	2901	Chicago	Illinois	60610	8008	Cook	SANDBURG VILLAGE	299	299	243	Condo, Mid Rise (4-6 Stories)		1967	07449154	CLSD		210000	200000	200000	199000	Conventional	S	101%	95%	149	37	17042160641350	No			3042.95	Homeowner	2008	555	No		No			29		0	Not Reported				S (South), E (East), W (West), City, Lake/Water, Park	5	1	1	0	1		1	0	1	Attached	Full	Other	Penthouse Corner Unit 1 Bedroom+Den/bedroom w/ Wonderful Skyline/Lake/Sunrise&Sunset Views. Recent rehab incl maple cabs, granite counters, SS appl, breakfast bar, HW Floors, limestone tile bath w/ new vanity & fixtures. Lrg mstr bedroom w/ walk-in closet. South facing unit w/ tons of light & storage. Large balcony, rooftop deck, doorman, pool, tennis & more. Grt location close to everything the Gold Coast offers.	CC: Pursuant to Short Sale. contract & commissions subject to lender approval.		3+ (Window/Wall Unit)	Gas, Hot Water/Steam, Indv Controls		Hardwood Floors, Storage	No	Oven/Range, Microwave, Dishwasher, Refrigerator		Door Person, Coin Laundry, Elevator, Exercise Room, Storage, On Site Manager/Engineer, Sundeck, Pool-Outdoors, Receiving Room, Service Elevator, Tennis Court/s, Valet/Cleaner, Curbs/Gutters, Sidewalks, Street Lights, Street Paved	Heat, Water, Common Insurance, Doorman, TV/Cable, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal													TV-Cable, Intercom, CO Detectors		Hardwood	Hardwood	None	Carpet				15X12	17X14	11X8		COMBO	Den		Combined w/ LivRm	Balcony, Storms/Screens, End Unit	02/22/2010	03/30/2010	03/30/2010	09/10/2010	
AT	1355	N	SANDBURG	TER	2505	Chicago	Illinois	60610	8008	Cook	SANDBURG VILLAGE	299	299	243	Condo, High Rise (7+ Stories)		1963	07450489	CLSD		144900	135000	135000	135000	FHA	S	100%	93%	312	57	17042160641454	No			1911.33	Homeowner	2008	320	No		No			25		0	Not Reported				W (West), City	3	1	1	0	1		1	0	1	Attached	None		SHORT SALE 97% APPROVED, CLOSE IN 30-60 DAYS. FANTASTIC WESTERN CITY VIEWS FROM THIS HIGH FLOOR JR. ONE BEDROOM. THIS GOLD COAST CONDO IS W/IN WALKING DISTANCE TO NORTH AVE BEACH, MICH AVE, GREAT RESTAURANTS AND PUB TRANS. OPEN KITCHEN W/CERAMIC TILE, CROWN MOLDING T/OUT, HARDWOOD FLRS IN LIVING RM AND BEDROOM AND PROFESSIONALLY ORGANIZED CLOSETS.	CC: Pursuant to Short Sale. AGENT COMMISSION GUARANTEED.  NO FHA OR VA FINANCING.  PURCHASER MUST BE PRE-APPROVED BY LENDER OF SELLER'S CHOICE. BRING OFFERS NOW, PREVIOUS BUYER BACKED OUT. PARKING AVAILABLE IN BUILDING, SHORT WAIT LIST.		Central Air	Gas		Hardwood Floors	Yes	Oven/Range, Refrigerator		Door Person, Coin Laundry, Elevator, Exercise Room, Storage, On Site Manager/Engineer, Party Room, Sundeck, Pool-Outdoors, Receiving Room, Security Door Locks, Service Elevator, Tennis Court/s, Valet/Cleaner, Curbs/Gutters, Gated Entry, Sidewalks, Street Lights, Street Paved	Heat, Water, Common Insurance, Doorman, TV/Cable, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal												Hardwood			Ceramic Tile	Hardwood	None	Hardwood				11X10	16X12	08X07		COMBO			Combined w/ LivRm	Storms/Screens	02/23/2010	04/20/2010	04/20/2010	06/03/2010	
AT	1355	N	SANDBURG	TER	808	Chicago	Illinois	60610	8008	Cook		299	299	232	Condo, High Rise (7+ Stories)		UNK	07481396	CLSD		189000	176500	176500	189000	FHA	N/A	93%	93%	28	28	17042160641519				1966.47	None	2008	571	Yes		No			8		850					N (North), E (East)	4	1	1	0	1		1		1	Attached	None		Estate sale. Priced to sell. Extra clean and nicely updated. Balcony, newer kitchen and appliances. seperate dining room, walk in closet. Great closet space.  huge bedroom. Move in condition. Low taxes. Cheap parking! 2 pools,free  tennis courts, inexpensive guest parking, storage, sundeck, awesome location, doorman.  FHA APPROVED LOW DOWNPAYMENT OK EASY FINANCING	Full size large 1 bedroom with BALCONY!		2 (Window/Wall Unit)	Hot Water/Steam		Hardwood Floors	No	Oven/Range, Microwave, Dishwasher, Refrigerator		Bike Room/Bike Trails, Door Person, Coin Laundry, Elevator, Storage, On Site Manager/Engineer, Park/Playground, Sundeck, Pool-Outdoors, Receiving Room, Security Door Locks, Service Elevator, Tennis Court/s, Valet/Cleaner	Heat, Water, Common Insurance, Security, Doorman, TV/Cable, Exterior Maintenance, Snow Removal				75	Yes							Carpet	TV-Cable		Ceramic Tile	Carpet	None	Carpet				15X12	19X14	11X7		8X8	Balcony, Gallery		Separate	Balcony, End Unit, Door Monitored By TV	03/25/2010	04/21/2010	04/21/2010	05/13/2010	
AT	1355	N	SANDBURG	TER	2706D	Chicago	Illinois	60610	8008	Cook		299	299	243	Condo, High Rise (7+ Stories)		1963	07484702	CLSD		165000	160000	160000	165000	Cash	N/A	97%	97%	39	39	17042160641483				1636.81	Homeowner	2008	506	No		No			1		0	Not Reported				E (East)	4	1	1	0	1		1	0			None		Breathtaking Lake and Skyline Views from this High Floor 1-Bedroom Condo in Great Gold Coast Location. Light-filled, Spacious Living Room overlooking City and Lake Views. Sunny Separate Dining Room with Beautiful Large Windows overlooking Lake.  Huge Bedroom with Built-in Bookshelves & Tons of Closet Space.  Within walking distance to North Ave Beach, Mich Ave, Restaurants & Trans. Assessment includes Heat & Cable.			None	Gas		Elevator	No	Oven/Range, Refrigerator		Bike Room/Bike Trails, Door Person, Coin Laundry, Elevator, Exercise Room, Storage, On Site Manager/Engineer, Party Room, Sundeck, Pool-Outdoors, Receiving Room, Security Door Locks, Service Elevator, Tennis Court/s, Valet/Cleaner	Heat, Water, Common Insurance, Doorman, TV/Cable, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal												Carpet			Vinyl	Carpet	None	Carpet				16X11	20X14	9X8		9X8			Separate	Storms/Screens	03/29/2010	05/06/2010	05/06/2010	05/26/2010	
AT	1355	N	SANDBURG	TER	907	Chicago	Illinois	60610	8008	Cook		299	299	243	Condo, High Rise (7+ Stories)		1969	07475221	CLSD		173000	159000	159000	169500	Conventional	N/A	94%	92%	43	43	17042160641493				1748.06	None	2008	291	No		No			9	1 BDRM	675					W (West)	3	1	1	0	1		1		1	Attached	None		Move in ready...unit has been updated, Hdwd flrs, Newer Kitchen & Bathroom, Calif closets, Great daylight & Beautiful sunsets. Heat & cable incl in assessmenents. Building has 24hr door service,Roof Deck,Sandburg Village has 2 Pools & Tennis courts for your enjoyment. Prime locations trans & entertainment..walk to the Park, Beach,Health Club, Restaurants,Theaters & Groceries.Bus at the door,CTA Red line 2 blocks	Bldg. FHA approved		1 (Window/Wall Unit)	Forced Air, Indv Controls		Hardwood Floors	Yes	Oven/Range, Refrigerator		Door Person, Coin Laundry, Elevator, Storage, Sundeck, Receiving Room, Tennis Court/s, Valet/Cleaner, Curbs/Gutters, Sidewalks, Street Lights, Street Paved	Heat, Water, Doorman, TV/Cable, Pool, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal					Yes							Hardwood	TV-Cable			Hardwood	None	Hardwood				10X10	16X12	8X7		COMBO					03/19/2010	04/30/2010	04/30/2010	07/16/2010	
