TYP	Street #	CP	Str Name	Sfx	Unit #	City	State	Zip	Area	County	Subdivision	GS Dist	HS Dist	Tot # Units	Type DE/AT	# Stories	Yr Blt	MLS #	Stat	Contingency	Orig List Pr	LP/SP	Sold Pr	List Price	FIN	Short Sale/Foreclosed/Court Approved	SP:LP	SP:OLP	MT	LMT	PIN	Mult PINs	Addl Tax Info	% Common	Taxes	Tax Exemps	Tax Year	As/Asc Dues	MAF	Master Association Fee($)	Spec Assess	Special Service Area	Special Service Area Fee	Unit Fl No	Model	ASF	SF Source	Total SF	Main SF	Aprx Total Fin SF	Exposure	# Rms	Beds	All Beds	Bsmt. Beds	# Full Baths	# Half Baths	Baths	# Interior Fireplaces	#GSp	Garage Type	Bsmt	Basement Description	Remarks	Agent Remarks	# Parking Spaces	Air	Heat/Fuel	AAG	Interior Property Features	Is Parking Included in Price?	Appliances	Amen	Com Ar Amen	Asses Incl	Management Company	Management Contact Name	Management Phone	% Own Occ	Can Owner Rent	Parking Fee/Lease $	2nd Bdr Flr	3rd Bdr Flr	4th Bdr Flr	Deeded Garage Cost	Deeded Parking Cost	Din Flr	Equipment	Fam Rm Flr	Kit Flr	Liv Rm Flr	Mast Bd Bth	Mast Bd Flr	2nd Bdr Sz	3rd Bdr Sz	4th Bdr Sz	Mast Br Sz	Liv Rm Sz	Kit Sz	Fam Rm Sz	Din Sz	Additional Rooms	Bth Amen	Din Rm	Exterior Property Features	List Date	Contract Date	Off Mkt Dt	Closed Date	Acreage
AT	159	E	WALTON	PL	12A	Chicago	Illinois	60611	8008	Cook	PALMOLIVE BUILDING LANDMARK	299	299	102	Condo, High Rise (7+ Stories), Vintage	37	1929	09248854	A/I	A/I	2500000	2350000		2350000					365	294	17032130201047				33073.67	None	2015	2133	No		Unknown	No		12		2832	Builder				N (North), E (East), W (West)	6	3	3	0	3	1	3.1	1	2	Attached	None	None	Exquisitely designed by Soucie Horner, this home is a masterpiece of elegance!  Available fully furnished for $2.45, you can immediately enjoy a Michigan Avenue lifestyle with no waiting for vendors, contractors and back ordered furniture - everything has already been done to perfection!  Smart home technology includes electronic blinds, HVAC, lights and sound from the touch of your phone.  Silk and wool rugs, gorgeous fabric wall covering, extraordinary lighting in a rich, tasteful palette. Perfect for casual or formal entertaining, the large eat-in kitchen flows beautifully into the living space.  Master has private entrance with custom his/her closets and spa bath. The 2nd en-suite BR is set up as a whimsical children's play/sleeping area.The 3rd en-suite bedroom is convertible as a cozy den with pull out sofa. High ceilings, huge windows and hard wood floors through out.  Exceptional full service building with fitness facilities, private entertaining space. 2 valet spaces included.	This home is also available furnished for $2.45m.		Central Air, Zoned	Forced Air, 2+ Sep Heating Systems, Zoned		Hardwood Floors, Laundry Hook-Up in Unit, Storage	Yes	Oven/Range, Microwave, Dishwasher, Refrigerator, High End Refrigerator, Freezer, Washer, Dryer, Disposal, Wine Cooler/Refrigerator		Door Person, Elevator, Exercise Room, Storage, Health Club, On Site Manager/Engineer, Party Room, Receiving Room, Sauna, Security Door Locks, Service Elevator, Steam Room, Valet/Cleaner, Whirlpool, Curbs/Gutters, Sidewalks, Street Lights, Street Paved	Water, Gas, Parking, Common Insurance, Security, Doorman, TV/Cable, Clubhouse, Exercise Facilities, Exterior Maintenance, Scavenger, Snow Removal	Draper and Kramer	Lynne Stevens	(312) 255-0159	0	Yes		Hardwood	Hardwood				Hardwood	TV-Cable, Security System, Fire Sprinklers, CO Detectors		Hardwood	Hardwood	Full	Hardwood	15X13	15X11		17X14	15X14	15X22		15X14	Foyer	Whirlpool, Separate Shower, Double Sink, Soaking Tub	Combined w/ LivRm	Private Entrance, End Unit	06/06/2016	03/13/2017			
AT	159	E	WALTON	PL	5C	Chicago	Illinois	60611	8008	Cook		299	299	99	Condo, High Rise (7+ Stories)	37	1929	09478850	ACTV		2500000	2500000		2500000					69	69	17032130201110				40020.00	None	2015	3226	No		No	No		5		3672	Builder				N (North), W (West), City	7	3	3	0	3	1	3.1	1	2	Attached	None	None	Incredible square footage awaits you as you enter this three bedroom plus family room, three and a half bathroom residence at The Palmolive. Expansive wall of windows looks onto The Drake and reminds one of city living. Fantastic eat-in kitchen plus breakfast nook and butler's pantry is an entertaining delight. Gracious foyer, bedrooms with ensuite bathrooms, and two parking spaces included in this gem of a unit.			Central Air, Zoned, 2 Separate Systems	Forced Air, 2+ Sep Heating Systems, Zoned		Hardwood Floors, Laundry Hook-Up in Unit, Storage	Yes	Oven/Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer, Disposal, Wine Cooler/Refrigerator		Bike Room/Bike Trails, Door Person, Elevator, Exercise Room, Storage, Health Club, On Site Manager/Engineer, Party Room, Receiving Room, Sauna, Security Door Locks, Service Elevator, Steam Room, Whirlpool	Heat, Air Conditioning, Water, Gas, Common Insurance, Security, Doorman, TV/Cable, Clubhouse, Exercise Facilities, Scavenger, Snow Removal	Draper & Kramer	LYNN STEPHENS	(312) 255-0429				Hardwood	Hardwood				Hardwood			Hardwood	Hardwood	Full	Hardwood	14X11	14X11		18X14	16X16	22X13		18X14	Den, Foyer	Whirlpool, Separate Shower, Double Sink	Separate		01/17/2017				
AT	159	E	WALTON	PL	23A	Chicago	Illinois	60611	8008	Cook		299	299	102	Condo, High Rise (7+ Stories), Vintage	37	1929	09478229	ACTV		7000000	7000000		7000000					227	70	17032130201014				27168.39	None	2015	5153	No		No	No		23		5400	Builder	0		0	N (North), S (South), E (East), W (West)	9	4	4	0	3	1	3.1	1	2	Attached	None	None	Absolutely Magnificent 4 bedroom 3.1 bath plus Library & Family Excluisive FULL floor Residence in the Prestigious Palmolive. Exquisitely Designed by Gary Lee unit features refined quality plus jaw dropping Lake Michigan, Skyline & Michigan Ave views. Elevator opens to Private Foyer, limestone rotunda, Gracious Formal rooms, Expansive Windows & Breathtaking views. Stunning upgrades incl Custom built-ins throughout, Rich Hardwood floors, Gas fireplace, Spacious Polyform Island Kitchen with Gorgeous views, Wolf 6 burner, Subzero, Bosch, Miele coffee service, butlers pantry. Decadent Master Suite, Limestone bath, Rain shower, Soaking tub overlooking the Lake. 4th bedroom used as an office, Baths have Exceptional stone tile design & fixtures. Motorized shades, Designer drapery, Handsomje paneled Library, Wet bar, Wine cooler, 2 car garage included. SOLID Full Amenity Bldg with Very High end Services- 24 HR door staff, Spa, Gym, Fab Social room, Storage. Every detail is Perfection.			Central Air, Zoned	Forced Air, 2+ Sep Heating Systems, Zoned		Bar-Wet, Elevator, Hardwood Floors, Heated Floors, Laundry Hook-Up in Unit	Yes	Oven/Range, Microwave, Dishwasher, Refrigerator, High End Refrigerator, Washer, Dryer, Disposal		Door Person, Elevator, Exercise Room, Storage, Health Club, On Site Manager/Engineer, Party Room, Receiving Room, Sauna, Security Door Locks, Service Elevator, Steam Room, Valet/Cleaner, Whirlpool, Curbs/Gutters, Sidewalks, Street Lights, Street Paved	Water, Gas, Parking, Common Insurance, Doorman, Exercise Facilities, Exterior Maintenance, Scavenger, Snow Removal	TBD	TBD	(999) 999-9999				Hardwood	Hardwood	Hardwood			Hardwood	TV-Cable, Security System, Fire Sprinklers, CO Detectors	Hardwood	Hardwood	Hardwood	Full	Hardwood	15X11	12X14	12X19	16X19	22X15	16X17	17X15	16X15	Library, Walk In Closet, Foyer, Gallery, Pantry	Whirlpool, Separate Shower, Double Sink	Separate	Storms/Screens	01/16/2017				
AT	159	E	Walton	PL	30A	Chicago	Illinois	60611	8008	Cook		299	299	99	Condo, High Rise (7+ Stories)	37	1929	09478879	PEND		7000000	7000000		7000000					54	54	17032130201106				71339.00	None	2015	5154	Yes	0	No	No		30		5400	Landlord/Tenant/Seller	0		0	N (North), S (South), E (East), W (West)	9	3	3	0	3	1	3.1	2	2	Attached	None	None	Incredible full floor residence at The Palmolive with expansive views from all directions. Double door entry greets one as they enter off private elevator foyer. Public rooms flank the gracious hallway and bedrooms feature ensuite bathrooms. Chef's kitchen with butler's pantry is an entertaining gem. Beautiful ceiling height throughout, tastefully decorated and private library/ den is a true gentleman's retreat. Two parking spaces included as well as first class service in the one and only Palmolive building.			Central Air, Zoned	Forced Air, 2+ Sep Heating Systems, Zoned			Yes			Door Person, Elevator, Exercise Room, Storage, Health Club, On Site Manager/Engineer, Party Room, Receiving Room, Sauna, Security Door Locks, Service Elevator, Steam Room, Valet/Cleaner, Whirlpool, Curbs/Gutters, Sidewalks, Street Lights, Street Paved	Water, Gas, Common Insurance, Security, Doorman, TV/Cable, Clubhouse, Exercise Facilities, Scavenger, Snow Removal	Draper and Kramer	Lynn Stephens	(312) 255-0429	45									TV-Cable, Security System, Fire Sprinklers, CO Detectors				Full		12X15	12X15		15X17	15X23	17X18	16X18	15X17	Den, Other, Sitting Room		Separate		01/17/2017	03/11/2017	03/11/2017		
AT	159	E	Walton	PL	17AC	Chicago	Illinois	60611	8008	Cook	PALMOLIVE BUILDING LANDMARK	299	299	99	Condo, High Rise (7+ Stories)	37	1929	08889764	ACTV		8900000	7250000		7250000					714	714	17032130201024				23968.58	Homeowner, Senior	2015	5593	No		No	No		17		6300	Plans				N (North), S (South), W (West), City, Lake/Water	11	4	4	0	4	1	4.1	2	2	Attached	None	None	RICHLY DETAILED 6300 SQ FT COMBINED AT CONSTRUCTION HOME AT THE PALMOLIVE FEATURES 13 1/2' CEILINGS & SPECTACULAR LAKE & CITY VIEWS. COVED GALLERY & LV RM CEILINGS, FORMAL DN RM W/LAKE VWS, EXQUISITE WOOD PANELED LIBRARY W/ F.P. CUSTOM UPGRADED KIT W/PREP & DINING ISLANDS OVERLOOKS LAKE & OPEN TO SPACIOUS FAMILY RM. WOOD PANELED MSTR SUITE W/ SIT RM, LUX BA & HUGE WIC. 3 ADDTL ENSUITE BRS & STUDY. PENTHOUSE FEELING!	SEE "ADDITIONAL INFORMATION" FOR FLOOR PLAN. LARGE LAUNDRY RM W/SINK & STORAGE. OVERLY ABUNDANT AMOUNT OF STORAGE, PERFECT FOR BUYERS DOWNSIZING. 2 GAR PKG INCL IN PRICE. ASSESSMENT BREAKDOWN:UNIT:$5049.59 PKG:$272.17 EA. ($544.34 TOTAL)  24 HOUR NOTICE PLEASE.		Central Air, Zoned	Forced Air, 2+ Sep Heating Systems, Zoned		Vaulted/Cathedral Ceilings, Bar-Dry, Hardwood Floors, 1st Floor Laundry, Laundry Hook-Up in Unit, Storage	Yes	Oven-Double, Microwave, Dishwasher, High End Refrigerator, Refrigerator-Bar, Freezer, Washer, Dryer, Disposal, All Stainless Steel Kitchen Appliances, Wine Cooler/Refrigerator		Bike Room/Bike Trails, Door Person, Elevator, Exercise Room, Storage, On Site Manager/Engineer, Party Room, Receiving Room, Security Door Locks, Service Elevator, Steam Room, Whirlpool	Heat, Air Conditioning, Water, Gas, Parking, Common Insurance, Security, Doorman, TV/Cable, Clubhouse, Exercise Facilities, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal	DRAPER & KRAMER	LYNN STEPHENS	(312) 255-0159		Yes		Hardwood	Hardwood	Hardwood			Hardwood		Hardwood	Hardwood	Hardwood	Full	Hardwood	21X15	19X15	12X18	17X16	27X14	16X22	16X15	20X13	Foyer, Gallery, Library, Pantry, Sitting Room, Study, Storage, Walk In Closet	Whirlpool, Separate Shower, Double Sink	Separate		04/13/2015				
RN	159	E	Walton	PL	8F	Chicago	Illinois	60611	8008	Cook	PALMOLIVE BUILDING LANDMARK	299	299	96	Condo, High Rise (7+ Stories)	37	1929	09303381	ACTV										238	238														8		1146	Builder				S (South)	4	1	1	0	1	0	1		1	Attached	None	None	This fully furnished rental was once a model apartment. Your client can bring their clothes and move right in. High ceilings. Large windows, hardwood floors throughout. Top of the line appliances, Poliform cabinets, opulent bath with rain shower and Jacuzzi. 24-hour door person, private health club, concierge. Valet parking for 1 car available for $285./month. Agent owned. No Pets, No Smoking, Building requires minimum 1 year lease.			Central Air	Forced Air		Hardwood Floors, Laundry Hook-Up in Unit	No	Oven/Range, Microwave, Dishwasher, Refrigerator, Freezer, Washer, Dryer, Disposal		Bike Room/Bike Trails, Door Person, Elevator, Exercise Room, Security Door Locks, On Site Manager/Engineer, Party Room, Receiving Room, Service Elevator, Steam Room													Hardwood	TV-Dish, Security System		Hardwood	Hardwood	Full	Hardwood				16X12	14X14	14X08		14X09	No additional rooms	Whirlpool			08/01/2016				
AT	159	E	Walton	PL	35	Chicago	Illinois	60611	8008	Cook		299	299	99	Condo, High Rise (7+ Stories)	37	1929	09227075	CLSD		4200000	4100000	4100000	4200000	Cash	N/A	98%	98%	8	8	17032130201002				15364.43		2015	4034	No		No	No		35		4292	Builder				N (North), S (South), E (East), W (West), City, Lake/Water	8	3	3	0	3	1	3.1		1	Attached	None	None	This full floor unit at the historic Palmolive building has encompassing views in all directions. Originally conceived by the developer as a 3 bedroom, 3.1 bath unit,  this 4292 SQFT home is ready for redevelopment by a homeowner that wants to make it his own. Elevator access is directly into the unit, window boxes allow for plantings, and there is additional storage on the floor. This full amenity building also has a beautiful entertainment space, terrific gym, and 1 valet parking space included in the price.	QUALIFIED SHOWINGS ONLY. SEE "ADDITIONAL INFO" FOR FLOOR PLAN.		Central Air	Forced Air, 2+ Sep Heating Systems			Yes				Heat, Air Conditioning, Water, Gas, Parking, Common Insurance, Security, Doorman, TV/Cable, Exercise Facilities, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal	DRAPER & KRAMER	LYNN STEPHENS	(312) 255-0429														Full		14X14	16X9		16X13	18X16	18X11	16X14	15X14	Foyer, Gallery, Library				05/16/2016	05/23/2016	05/23/2016	09/23/2016	
AT	159	E	Walton	PL	PH	Chicago	Illinois	60611	8008	Cook		299	299	99	Condo, High Rise (7+ Stories)	37	1929	09227087	CLSD		8500000	8000000	8000000	8500000	Cash	N/A	94%	94%	382	8	17032130201001				34489.10		2015	8988	No		No	No		37		7880	Builder				N (North), S (South), E (East), W (West), City, Lake/Water	12	3	3	0	5	1	5.1	1	2	Attached	None	None	Historic space with soaring ceilings in this double floor penthouse unit at the Palmolive Building. Perfectly located in Chicago’s Gold Coast with comprehensive views in every direction. This 7880 square foot unit has three terraces totaling 660 SQFT.  The top floor with 14 foot ceilings is currently configured with a theater room, card room, billiard room, office, one bedroom and service kitchen for the patio area.  The 36th floor has gracious living space, kitchen, and laundry. Bring your architect/designer and make this magnificent space your own. 2 valet parking spaces included in the price.	QUALIFIED SHOWINGS ONLY. SEE "ADDITIONAL INFO" FOR FLOOR PLAN.		Central Air	Forced Air, 2+ Sep Heating Systems		Bar-Wet, Hardwood Floors, Theatre Room, 1st Floor Laundry, 2nd Floor Laundry	Yes	Oven-Double, Oven/Range, Microwave, Dishwasher, Refrigerator, High End Refrigerator, Refrigerator-Bar, Freezer, Washer, Dryer, Disposal, Wine Cooler/Refrigerator			Heat, Air Conditioning, Water, Gas, Parking, Common Insurance, Security, Doorman, TV/Cable, Exercise Facilities, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal	DRAPER & KRAMER	LYNN STEPHENS	(312) 255-0429	85													Full		19X16	14X11		33X14	27X16	15X14	15X11	20X16	Breakfast Room, Great Room, Media Room, Office, Sitting Room, Walk In Closet	Double Sink, No Tub	Separate	Deck	05/16/2016	05/23/2016	05/23/2016	09/14/2016	
AT	159	E	Walton	PL	8C	Chicago	Illinois	60611	8008	Cook		299	299	98	Condo	37	1929	09299430	CLSD		1469000	1410000	1410000	1469000	Cash	N/A	96%	96%	10	10	17032130201074				17936		2015	1565	No		Unknown	No		8		0	Not Reported				City	5	2	2	0	2	1	2.1	1	1	Attached	None	None	Premiere Location in a sophisticated residence in the historic Palmolive building.Functional floorplan & timeless walnut hardwood flooring,high ceilings + lge windows w beautiful wood trim detailing.Stunning foyer with 8' custom entry door,light filled LR with Elegant marble fireplace.Modern kitchen w/top of the line appliances.Luxurious master suite w dual vanities,sep shower,tub.Spacious 2nd bedroom w bathroom.Laundry Room w built ins.Steps to lake & Michigan ave-in a full amenity building w/private health club,24 hr drmn,includes 1-car valet parking.	Additional parking available if required.Two pets allowed.		Central Air, Zoned	Gas		Sauna/Steam Room, Hardwood Floors, 1st Floor Laundry	Yes			Door Person, Exercise Room, Party Room, Steam Room	Heat, Air Conditioning, Water, Parking, Common Insurance, Doorman, TV/Cable, Clubhouse, Exercise Facilities, Internet Access	onsite	Draper & Kramer	(312) 255-0159				Hardwood					Hardwood			Hardwood	Hardwood	Full	Hardwood	15X13			17X16	18X17	11X10		15X11	Foyer	Whirlpool, Double Sink, Full Body Spray Shower	Combined w/ LivRm		07/27/2016	08/05/2016	08/05/2016	09/01/2016	
AT	159	E	Walton	PL	8A	Chicago	Illinois	60611	8008	Cook		299	299	102	Condo	29	1929	09246401	CLSD		1820000	1775000	1775000	1820000	Cash	N/A	98%	98%	1595	36	17032130201072				$7,374.7		2014	1814	No		No	No		8		2482	Assessor				N (North), E (East), W (West)	5	2	2	0	2	1	2.1	1	1	Attached	None	None	ELEGANT HOME IN THE HISTORIC PALMOLIVE RESIDENCES. TALL  CEILINGS, LAKE VIEWS, HIGH DETAIL FINISHES, DESIGNER KITCHEN, FIRE PLACE, HUNDREDS OF THOUSANDS DOLLARS  OF UPGRADES. NOT A GENERIC DEVELOPER UNIT. LAKE VIEWS  FROM LIVING ROOM AND MASTER BEDROOM. GREAT SPLIT FLOOR  PLAN. LOTS OF WALL SPACE FOR ART. PARKING INCLUDED  AND PETS OK NO WEIGHT LIMIT. BEST VALUE IN BUILDING.			Central Air, Zoned	Forced Air, 2+ Sep Heating Systems, Zoned		Hardwood Floors, Laundry Hook-Up in Unit, Storage	Yes	Oven/Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer, Disposal		Door Person, Elevator, Exercise Room, Storage, Health Club, On Site Manager/Engineer, Party Room, Receiving Room, Sauna, Service Elevator, Steam Room, Valet/Cleaner, Whirlpool	Water, Gas, Parking, Common Insurance, Security, Security System, Doorman, TV/Cable, Clubhouse, Exercise Facilities, Snow Removal	n/a	n/a	(000) 000-0000				Hardwood						TV-Cable, Fire Sprinklers, CO Detectors		Hardwood	Hardwood	Full	Hardwood	10X13			17X14	33X19	17X17		COMBO	No additional rooms	Whirlpool, Double Sink	Combined w/ LivRm	End Unit	06/03/2016	07/08/2016	07/08/2016	08/01/2016	
