TYP	Street #	CP	Str Name	Sfx	Unit #	City	State	Zip	Area	County	Subdivision	GS Dist	HS Dist	Tot # Units	Type DE/AT	# Stories	Yr Blt	MLS #	Stat	Contingency	Orig List Pr	LP/SP	Sold Pr	List Price	FIN	Short Sale/Foreclosed/Court Approved	SP:LP	SP:OLP	MT	LMT	PIN	Mult PINs	Addl Tax Info	% Common	Taxes	Tax Exemps	Tax Year	As/Asc Dues	MAF	Master Association Fee($)	Spec Assess	Special Service Area	Special Service Area Fee	Unit Fl No	Model	ASF	SF Source	Total SF	Main SF	Aprx Total Fin SF	Exposure	# Rms	Beds	All Beds	Bsmt. Beds	# Full Baths	# Half Baths	Baths	# Interior Fireplaces	#GSp	Garage Type	Bsmt	Basement Description	Remarks	Agent Remarks	# Parking Spaces	Air	Heat/Fuel	AAG	Interior Property Features	Is Parking Included in Price?	Appliances	Amen	Com Ar Amen	Asses Incl	Management Company	Management Contact Name	Management Phone	% Own Occ	Can Owner Rent	Parking Fee/Lease $	2nd Bdr Flr	3rd Bdr Flr	4th Bdr Flr	Deeded Garage Cost	Deeded Parking Cost	Din Flr	Equipment	Fam Rm Flr	Kit Flr	Liv Rm Flr	Mast Bd Bth	Mast Bd Flr	2nd Bdr Sz	3rd Bdr Sz	4th Bdr Sz	Mast Br Sz	Liv Rm Sz	Kit Sz	Fam Rm Sz	Din Sz	Additional Rooms	Bth Amen	Din Rm	Exterior Property Features	List Date	Contract Date	Off Mkt Dt	Closed Date	Acreage
AT	161	E	Chicago	AVE	36H	Chicago	Illinois	60611	8008	Cook	OLYMPIA CENTRE	299	299	292	Condo, High Rise (7+ Stories)		1985	07188030	CLSD		595000	550000	550000	595000	Conventional	N/A	92%	92%	86	86	17102000681098			246	7294.04	Homeowner	2007	817	No		No			36		1454					N (North)	4	1	1	0	1	1	1.1		1	Attached	None		Sophisticated renovation of this luxuriously designed 1br/1.5 ba home. Deep gray slate covers counters & floor in expansive eat-in kit w/new SS appls & brushed nickel backsplash. Handsome (real) hdwd floors thruout remainder of apt incl MBR Copious closets. Glorious 180 degree vws of lake & city from 2 16' wide picture windows. Olympia Centre is perfectly located in the heart of Streeterville & offers all amenities.	BEAUTIFUL APARTMENT AT A VERY COMPETITVE PRICE!		Central Air, Zoned	Electric, Baseboard, Zoned		Hardwood Floors, Laundry Hook-Up in Unit		Oven-Double, Microwave, Dishwasher, Refrigerator, Washer, Dryer, Disposal		Bike Room/Bike Trails, Door Person, Coin Laundry, Elevator, Exercise Room, Storage, Health Club, On Site Manager/Engineer, Party Room, Sundeck, Pool-Indoors, Receiving Room, Service Elevator, Valet/Cleaner	Air Conditioning, Water, Common Insurance, Security, Doorman, TV/Cable, Exercise Facilities, Pool, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal				97								Hardwood	TV-Cable, Intercom, Fire Sprinklers		Other	Hardwood	Full	Hardwood				15X16	30X17	11X13		COMBO	Gallery, Utility Room-1st Floor	Whirlpool, Separate Shower, Double Sink	Combined w/ LivRm		04/13/2009	07/07/2009	07/07/2009	08/24/2009	
AT	161	E	CHICAGO	AVE	39A	Chicago	Illinois	60611	8008	Cook		299	299	256	Condo, High Rise (7+ Stories)		1985	07192674	CLSD		1149000	900000	900000	999900	Cash	N/A	90%	78%	583	583	17102000681115			.44	14899.22	None	2009	1508	No		No	No		39		2506	Estimated				N (North), E (East), City, Lake/Water	7	3	3	0	3	1	3.1		1	Attached	None		BEAUTIFUL NE CORNER 2506 SF 3BR, 3 1/2 BATH CONDO AT PRESTIGIOUS OLYMPIA CENTRE W/CLEAR VIEWS OF LAKE & NAVY PIER, EAT-IN KITCHEN, MARBLE FLOORS, LARGE ROOMS, GREAT CLOSET SPACE, MASTER SUITE W/HIS & HER MARBLE BATHS, SEPARATE LAUNDRY ROOM, UNLIMITED UNRESERVED PARKING, 2 PETS PERMITTED WITH TOTAL WEIGHT UP TO 30 LBS. WELL PRICED.			Central Air	Electric, Forced Air, Baseboard		Bar-Wet, Laundry Hook-Up in Unit	NO	Oven-Double, Microwave, Dishwasher, Refrigerator, Washer, Dryer, Disposal		Bike Room/Bike Trails, Door Person, Coin Laundry, Elevator, Exercise Room, Storage, Health Club, On Site Manager/Engineer, Party Room, Sundeck, Pool-Indoors, Receiving Room, Sauna, Service Elevator, Valet/Cleaner	Air Conditioning, Water, Common Insurance, Doorman, Exercise Facilities, Pool, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal							Carpet	Marble				Marble	TV-Cable, Fire Sprinklers		Marble	Marble	Full	Carpet	14X11	19X10		20X13	20X15	19X8		14X13	Breakfast Room, Foyer, Gallery	Separate Shower, Bidet	Separate	End Unit	04/20/2009	11/23/2010	11/23/2010	01/06/2011	
AT	161	E	CHICAGO		49A	Chicago	Illinois	60611	8008	Cook	OLYMPIA CENTRE	299	299	292	Condo, High Rise (7+ Stories)		1985	07199448	CLSD		1175000	850000	850000	1175000	Conventional	N/A	72%	72%	43	43	17102000681195				16473.56	None	2007	1566	No		No			49		2506					N (North), S (South), E (East), W (West), City, Lake/Water, Park	7	3	3	0	3		3	0	1		None	None	PREMIER NE CORNER UNIT, AMAZING CITY AND LAKE VIEWS, 3 BED/3 BATH, LOVINGLY MAINTAINED, GRACIOUS ELEGANCE, UPDATED KITCHEN, MASTER SUITE WITH HIS/HERS BATHS, MARBLE & HARDWOOD FLOORS, EXTENSIVE STORAGE, UNLIMITED PARKING OPPORTUNITIES, ALL-AMENITY BUILDING IN GOLD COAST, STEPS TO DINING AND SHOPPING.  BEAUTIFULLY PRICED! RIDER A REQUIRED	25 LB WEIGHT LIMIT FOR DOGS		Central Air	Electric, Baseboard		Hardwood Floors, Laundry Hook-Up in Unit		Oven/Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer, Disposal		Bike Room/Bike Trails, Door Person, Coin Laundry, Elevator, Exercise Room, Storage, Health Club, On Site Manager/Engineer, Party Room, Sundeck, Pool-Indoors, Receiving Room, Sauna, Security Door Locks, Service Elevator, Valet/Cleaner, Whirlpool, Curbs/Gutters, Sidewalks, Street Lights, Street Paved	Air Conditioning, Water, Common Insurance, Security, Doorman, TV/Cable, Exercise Facilities, Pool, Exterior Maintenance, Scavenger, Snow Removal							Carpet	Hardwood				Hardwood	TV-Cable, Intercom, Fire Sprinklers		Hardwood	Hardwood	Full	Carpet	19X11	15X12		19X13	33X15	19X08		09X09	Foyer, Gallery, Utility Room-1st Floor, UTIL		Combined w/ LivRm	Hot Tub, Storms/Screens	04/27/2009	06/08/2009	06/08/2009	07/06/2009	
AT	161	E	Chicago	AVE	38B	Chicago	Illinois	60611	8008	Cook		299	299	292	Condo, High Rise (7+ Stories)		1985	07211001	CLSD		775000	725000	725000	775000	Conventional	N/A	94%	94%	60	60	17102000681108	No			11767.56	Homeowner, Senior	2007	1259	No		No			38		2154					S (South), E (East)	5	2	2	0	2	1	2.1		1	Attached	None		Opportunity knocks at Olympia Center. Create your dream residence in the sky. Desired B tier with spectacular East(lake) and South(skyline) views. 2nd bed currently configured as en-suite den/guest room, entire apartment recently painted & awaiting your finishing touches. Don’t miss this opportunity to live at full service Olympia w/ pool, exercise facility, on-site concierge, mgmt, & more. Priced to SELL!	See additional information for floor plan.		Central Air	Electric, Baseboard		Laundry Hook-Up in Unit		Oven-Double, Oven/Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer, Disposal		Bike Room/Bike Trails, Door Person, Coin Laundry, Elevator, Exercise Room, Health Club, On Site Manager/Engineer, Party Room, Sundeck, Pool-Indoors, Receiving Room, Sauna, Service Elevator, Valet/Cleaner	Air Conditioning, Common Insurance, Doorman, TV/Cable, Exercise Facilities, Pool, Exterior Maintenance, Lawn Care, Scavenger							Hardwood					Hardwood	TV-Cable, Fire Sprinklers		Marble	Hardwood	Full	Other	14X11			19X13	22X15	8X18		10X13	Breakfast Room, Gallery	Whirlpool, Separate Shower, Double Sink	Combined w/ LivRm	End Unit	05/08/2009	07/06/2009	07/06/2009	07/23/2009	
AT	161	E	Chicago	AVE	43F	Chicago	Illinois	60611	8008	Cook	OLYMPIA CENTRE	299	299	292	Condo, High Rise (7+ Stories)		1985	07428559	CLSD		849000	735000	735000	799000	Conventional	N/A	92%	87%	377	113	17102000681152				10655.79	Homeowner	2008	1137	No		No			43		1904					N (North), W (West)	5	2	2	0	2		2		1		None		Preferred "F" tier! Super 2BR split flrpln for privacy & easy guest living. Entry opens onto elegant black granite flr flowing into art foyer, hall & kitchen. Far-reaching NW vws, enhanced by oversized windows, encompass glorious sunsets & extensive vws of city & lake. Beautifully proportioned LR w/sep dining "L". Marble bths. Extensive Mstr bth has dbl vanities, sep shower & jacuzzi. Must see!	REMARKABLE PRICE AND VALUE! OLYMPIA CENTRE OFFERS THE FINEST AMENITIES IN THE BEST LOCATION!		Central Air	Electric, Baseboard		Laundry Hook-Up in Unit	No	Oven/Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer, Disposal		Bike Room/Bike Trails, Door Person, Coin Laundry, Elevator, Exercise Room, Storage, Health Club, On Site Manager/Engineer, Party Room, Sundeck, Pool-Indoors, Receiving Room, Sauna, Service Elevator, Valet/Cleaner, Whirlpool	Air Conditioning, Water, Common Insurance, Security, Doorman, TV/Cable, Exercise Facilities, Pool, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal				97			Carpet					Carpet	TV-Cable, TV Antenna, Intercom, Fire Sprinklers		Marble	Carpet	Full	Carpet	11X14			17X15	20X28	08X10		09X12	Foyer, Gallery, Utility Room-1st Floor	Whirlpool, Separate Shower	L-shaped	Master Antenna, End Unit	01/29/2010	05/21/2010	05/21/2010	07/08/2010	
AT	161	E	Chicago	AVE	40G	Chicago	Illinois	60611	8008	Cook	OLYMPIA CENTRE	299	299	292	Condo, High Rise (7+ Stories)		1985	07234274	CLSD		449900	310000	310000	350000	Conventional	N/A	89%	69%	672	672	17102000381129				5041	None	2009	525	No		No	No		40		0	Not Reported				N (North)	4	1	1	0	1	0	1		1	Attached	None	None	Perfect Pied A' Terre or Principal Residence. Wonderful, pristine condition, 1br, 1ba 875 sqft. Granite entry & kitchen. Brand new carpeting in L.R. & Br. Freshly painted & ready for a move-in! Fabuous 180 degree views up the Magnificent Mile to North Avenue Beach & beyond. All marble bath w/whirlpool. Live in one of the finest bldgs in Chicago w/proximity to dining, shopping & cultural events.			Central Air	Electric, Baseboard, Zoned		Laundry Hook-Up in Unit	NO	Oven/Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer, Disposal		Bike Room/Bike Trails, Door Person, Coin Laundry, Elevator, Exercise Room, Storage, Health Club, On Site Manager/Engineer, Party Room, Sundeck, Pool-Indoors, Receiving Room, Sauna, Service Elevator, Valet/Cleaner, Whirlpool	Air Conditioning, Water, Common Insurance, Doorman, TV/Cable, Exercise Facilities, Pool, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal				97								Carpet	TV-Cable, Intercom, Fire Sprinklers		Marble	Carpet	None	Carpet				15X11	20X15	08X08		COMBO	Foyer		Combined w/ LivRm		06/03/2009	04/05/2011	04/05/2011	05/09/2011	
AT	161	E	CHICAGO	AVE	37B	Chicago	Illinois	60611	8008	Cook		299	299	292	Condo, High Rise (7+ Stories)		1985	07431842	CLSD		895000	700000	700000	895000	Conventional	N/A	78%	78%	433	108	17102000681100				13083.25		2008	1259	No		No			37		2154					S (South), E (East), City, Lake/Water	6	2	2	0	2	1	2.1		1		None	Slab	Largest 2 BR in prime SE corner tier with lake and city views! Top established boutique highrise. Gently lived in with a well configured floor plan and neutral décor throughout. Only $415/square foot, allowing for improvements remaining below new construction comparable prices. Large kitchen with breakfast area & views. MBR has 2 walk in closets. All amenity building with doorman, indoor pool, exercise room and more.	24 HOURS NOTICE. AGENT MUST ACCOMPANY SHOWINGS.		Central Air, Zoned	Electric, Baseboard		Bar-Wet, Laundry Hook-Up in Unit	No	Oven-Double, Microwave, Dishwasher, Refrigerator, Washer, Dryer, Disposal		Bike Room/Bike Trails, Door Person, Coin Laundry, Elevator, Exercise Room, Storage, Health Club, On Site Manager/Engineer, Party Room, Sundeck, Pool-Indoors, Receiving Room, Sauna, Valet/Cleaner, Whirlpool, Curbs/Gutters, Sidewalks, Street Lights, Street Paved	Air Conditioning, Water, Common Insurance, Security, Doorman, TV/Cable, Exercise Facilities, Pool, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal							Carpet					Carpet	TV-Cable		Marble	Carpet	Full	Carpet	16X11			19X15	34X17	18X08		COMBO	Breakfast Room, Gallery, Utility Room-1st Floor	Whirlpool, Separate Shower, Double Sink	Combined w/ LivRm	Master Antenna, End Unit	02/02/2010	05/20/2010	05/20/2010	06/21/2010	
AT	161	E	CHICAGO	AVE	38C	Chicago	Illinois	60611	8008	Cook	OLYMPIA CENTRE	299	299	256	Condo, High Rise (7+ Stories)		1984	07266225	CLSD		860000	670000	670000	700000	Conventional	N/A	96%	78%	467	467	17102000681109	No			10747.10	None	2008	1034	Yes		No			38		1820	Other				S (South), City, Lake/Water	5	2	2	0	2	1	2.1		3	Attached	None		Elegant & sophisticated w/ breathtaking wraparound views of city & lake from huge south 16' picture windows in all rooms! Beautifully appointed, spacious home w/ wood floors, perfect Kitchen & large sep. Dining Area. Split en-suite bedroom flrplan w/ gorgeous Master Suite plus Powder Rm. W/D. Steps from lake & Michgn Ave! Every luxury imaginable! Indoor lap pool, exercise facilities, deck, concierge, 2 doormen! Pkg!	“*PET WEIGHT COMBINED TOTAL MUST NOT EXCEED 30 LBS.* Ask for further details. Unbelievable views! Priced for mkt (Sellers paid $950K). View photos and floor plan at www.RealtorJanetOwen.com.  Commission paid upon closing.		Central Air, Zoned	Electric		Hardwood Floors, Laundry Hook-Up in Unit, Storage	Yes	Oven-Double, Microwave, Dishwasher, Refrigerator, Washer, Dryer, Disposal		Bike Room/Bike Trails, Door Person, Elevator, Exercise Room, Storage, Health Club, On Site Manager/Engineer, Party Room, Sundeck, Pool-Indoors, Receiving Room, Security Door Locks, Service Elevator, Whirlpool	Air Conditioning, Water, Common Insurance, Security, Doorman, TV/Cable, Exercise Facilities, Pool, Exterior Maintenance, Scavenger, Snow Removal	Draper & Kramer			95			Hardwood					Hardwood	Humidifier, TV-Cable, Fire Sprinklers		Hardwood	Hardwood	Y	Carpet	16X11			16X14	18X14	11X8		12X14	Foyer, Gallery, Utility Room-1st Floor	Whirlpool, Separate Shower, Double Sink			07/08/2009	10/17/2010	10/17/2010	12/15/2010	
AT	161	E	chicago	AVE	39H	Chicago	Illinois	60611	8008	Cook		299	299	292	Condo		1985	07305148	CLSD		565000	525000	525000	565000	Conventional	N/A	93%	93%	13	13	17102000681122	No			8791	None	2007	836	Yes		No			39	HI RISE	1450					N (North)	5	1	1	0	1	1	1.1	0			None	None	SPECTACULAR VIEWS OF LAKE, CITY AND BEACHES. 1450 SQ.FT. 1 BR+DEN; EAT-IN KITCHEN.  4 WALK-IN  CLOSETS.  HUGE MASTER SUITE.  GOURMET KITCHEN  SUBZERO REFRIGERATOR; NEW APPLIANCES.  POWDER ROOM OFF A LOVELY FOYER.  FEELS LIKE A SMALL HOME.  HARDWOOD FLOORS EXCEPT FOR NEW CARPET IN MASTER.  PRIMIER BUILDING: HEALTH CLUB, INDOOR POOL, JACCUZZI, PARTY ROOM, EXERCISE CLASSES, NIA. 25# DOG  OK.	can be sold furnished .  call broker for details.	2	Central Air	Electric		Hardwood Floors, Laundry Hook-Up in Unit, Storage		Oven-Double, Oven/Range, Microwave, Dishwasher, Refrigerator, Freezer		Bike Room/Bike Trails, Door Person, Coin Laundry, Elevator, Exercise Room, Storage, Health Club, On Site Manager/Engineer, Party Room, Sundeck, Pool-Indoors, Receiving Room, Sauna, Service Elevator, Valet/Cleaner, Whirlpool, Sidewalks, Street Lights, Street Paved	Air Conditioning, Water, Common Insurance, Doorman, TV/Cable, Exercise Facilities, Pool, Exterior Maintenance, Scavenger, Snow Removal	draper & Kramer				Yes							Hardwood	TV-Cable, Fire Sprinklers, CO Detectors		Hardwood	Hardwood	Full	Carpet				17X16	20X18	12X13		COMBO	Den	Whirlpool, Separate Shower, Double Sink		Master Antenna, Private Entrance	08/21/2009	09/02/2009	09/02/2009	10/06/2009	
AT	161	E	Chicago	AVE	45A	Chicago	Illinois	60611	8008	Cook	OLYMPIA CENTRE	299	299	292	Condo, High Rise (7+ Stories)		1985	07374591	CLSD		1125000	1000000	1000000	1125000	Conventional	N/A	89%	89%	196	196	17102000681163	No			14770	Homeowner, Senior	2008	1532	No		No			45		2506					N (North), E (East), City, Lake/Water	7	3	3	0	3	1	3.1		1	Attached	None	None	3 bedroom, 2.5 baths. Hgh floor with fabulous NE views of city and lake. beautiful wood floors. Original but mint condition. Great price! Top luxury building with indoor swimming pool, exercise facilities, concierge 24hr doorman. Top Gold Coast location.			Central Air	Electric		Hardwood Floors, Laundry Hook-Up in Unit	No	Oven-Double, Microwave, Dishwasher, Refrigerator, Washer, Dryer		Bike Room/Bike Trails, Door Person, Elevator, Exercise Room, Storage, On Site Manager/Engineer, Party Room, Sundeck, Pool-Indoors, Receiving Room, Sauna, Service Elevator, Whirlpool, Valet/Cleaner	Air Conditioning, Water, Common Insurance, Doorman, TV/Cable, Exercise Facilities, Pool, Exterior Maintenance, Scavenger, Snow Removal							Carpet	Carpet				Hardwood			Other	Hardwood	Y	Carpet	11X15	09X15		19X15	19X17	08X19		16X15	Breakfast Room	Separate Shower, Handicap Shower, Double Sink, Bidet	Combined w/ LivRm		11/06/2009	05/20/2010	05/20/2010	07/12/2010	
