TYP	Street #	CP	Str Name	Sfx	Unit #	City	State	Zip	Area	County	Subdivision	GS Dist	HS Dist	Tot # Units	Type DE/AT	# Stories	Yr Blt	MLS #	Stat	Contingency	Orig List Pr	LP/SP	Sold Pr	List Price	FIN	Short Sale/Foreclosed/Court Approved	SP:LP	SP:OLP	MT	LMT	PIN	Mult PINs	Addl Tax Info	% Common	Taxes	Tax Exemps	Tax Year	As/Asc Dues	MAF	Master Association Fee($)	Spec Assess	Special Service Area	Special Service Area Fee	Unit Fl No	Model	ASF	SF Source	Total SF	Main SF	Aprx Total Fin SF	Exposure	# Rms	Beds	All Beds	Bsmt. Beds	# Full Baths	# Half Baths	Baths	# Interior Fireplaces	#GSp	Garage Type	Bsmt	Basement Description	Remarks	Agent Remarks	# Parking Spaces	Air	Heat/Fuel	AAG	Interior Property Features	Is Parking Included in Price?	Appliances	Amen	Com Ar Amen	Asses Incl	Management Company	Management Contact Name	Management Phone	% Own Occ	Can Owner Rent	Parking Fee/Lease $	2nd Bdr Flr	3rd Bdr Flr	4th Bdr Flr	Deeded Garage Cost	Deeded Parking Cost	Din Flr	Equipment	Fam Rm Flr	Kit Flr	Liv Rm Flr	Mast Bd Bth	Mast Bd Flr	2nd Bdr Sz	3rd Bdr Sz	4th Bdr Sz	Mast Br Sz	Liv Rm Sz	Kit Sz	Fam Rm Sz	Din Sz	Additional Rooms	Bth Amen	Din Rm	Exterior Property Features	List Date	Contract Date	Off Mkt Dt	Closed Date	Acreage
AT	1720		MAPLE	AVE	1680	Evanston	Illinois	60201	201	Cook		65	202	203	Condo		2003	07270100	CLSD		325000	296000	296000	307500	Conventional	N/A	96%	91%	160	160	11181170141117	No			6047	None	2008	392	No		No			16		1035					N (North), S (South), W (West)	5	2	2	0	2		2		1		None	None	Enjoy living, bedroom and  balcony  panoramic north, south & west views in this desired ‘80” tier in Optima View.   Foyer entrance, maple cabinets, balcony, &  Corian baths, 24 hour doorman, pool, fitness center, and garage parking. Close to NU, Century Movie Theatre, Metra, EL, restaurants and shops.  Garage Parking space #115 and storage space 32 are included in the list price. Seller offers a $5k credit.	24 HOUR NOTICE REQUIRED. UNIT IS RENTED UNTIL 1/31/2010 FOR $2,300 PER MONTH.		Central Air	Gas		Elevator, Storage		Oven/Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer		Door Person, Elevator, Exercise Room, Pool-Indoors, Curbs/Gutters, Sidewalks, Street Lights, Street Paved	Heat, Water, Common Insurance, Doorman, TV/Cable, Exercise Facilities, Pool, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal	FOSTER PREMIER	JIMMY KAY FAZCOMER	(847) 858-2226				Carpet						TV-Cable		Ceramic Tile		Full	Carpet	10X11			15X12	19X13	07X11		COMBO	Exercise Room		Combined w/ LivRm	Balcony, Storms/Screens	07/13/2009	12/19/2009	12/19/2009	01/29/2010	
AT	1720		Maple	AVE	2680	Evanston	Illinois	60201	201	Cook		65	202	203	Condo, High Rise (7+ Stories)		2003	07140820	CLSD		339900	312000	312000	339900	Conventional	N/A	92%	92%	151	1	11181170141196	No			6613	Homeowner	2007	421	No		No			26		1035						4	2	2	0	2		2		1	Attached	None	None	BEAUTIFUL 2 BDRM, 2 BTH CONDO IN HEART OF EVANSTON. BREATHTAKING 26TH FLOOR VIEWS OF LAKEFRONT, NRTHSHRE, & CHGO SKYLINE. SPACIOUS LIVING IN UPGRADED UNIT - DIAGONAL HDWD FLRS, CUSTOM KITCH DESIGN - CABINETS, GRANITE COUNTERTOPS, BACKSPLASH. W/D IN UNIT, BALCONY.  INDOOR SWIMMING POOL, EXERCISE FACILITIES, HEATED GARAGE PKG SPACE, STORAGE, DOORMAN.			Central Air	Gas, Forced Air		Elevator, Hardwood Floors, Laundry Hook-Up in Unit, Storage		Oven/Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer, Disposal		Door Person, Elevator, Exercise Room, Storage, Pool-Indoors	Heat, Water, Gas, Parking, Common Insurance, Doorman, TV/Cable, Exercise Facilities, Pool, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal							Carpet								Hardwood	Carpet	Full	Carpet	11X10			15X12	19X13	12X7						Balcony, End Unit	02/20/2009	02/20/2009	02/20/2009	03/18/2009	
AT	1720		MAPLE		980	Evanston	Illinois	60201	201	Cook	OPTIMA VIEWS	65	202	203	Condo		2003	07155219	CLSD		310000	298875	298875	310000	FHA	N/A	96%	96%	23	23	11181170141063				4867.81	Homeowner	2007	351	No		No			9		1035					N (North), W (West), City	5	2	2	0	2		2		1	Attached	None		BEAUTIFUL PANORAMIC VIEWS, GREAT DOWNTOWN LOCATION, NEAR TRAINS, SHOPS, THEATRE, NORTHWESTERN UNIVERSITY, FULL-TIME DOORMAN, INDOOR POOL, EXERCISE ROOM, HEATED PARKING AND STORAGE.			Central Air	Gas, Forced Air		Elevator, Laundry Hook-Up in Unit, Storage		Oven/Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer, Disposal		Door Person, Elevator, Exercise Room, Storage, Pool-Indoors, Curbs/Gutters, Sidewalks, Street Lights, Street Paved	Heat, Water, Gas, Parking, Common Insurance, Doorman, TV/Cable, Exercise Facilities, Pool, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal							Carpet						TV-Cable		Ceramic Tile	Carpet	Full	Carpet	11X10			15X12	19X13	12X7		COMBO			Combined w/ LivRm	Balcony, Storms/Screens, End Unit	03/09/2009	03/31/2009	03/31/2009	05/28/2009	
AT	1720		MAPLE	AVE	411	Evanston	Illinois	60201	201	Cook	OPTIMA VIEWS	65	202	203	Condo		2003	07185905	CLSD		349000	286500	286500	299000	Conventional	S	96%	82%	312	312	11181170141023	No			5015.53	Homeowner	2008	360	No		Yes			4		0	Not Reported				N (North), W (West)	4	2	2	0	2		2	1	1	Attached	None	None	Short sale opp for a savvy investor!  Lease at $2375/mo expires 4/15/10. Beautiful & unique condo w/huge, semi-private garden.  One of few units w/FP.  Divine kitchen w/cherry cabs & dramatic black granite & apps.  Gorgeous hw floors, new marble flrs in baths.  Garage (#234) and storage locker (#148) located on same level.  High-amenity bldg w/indoor pool, doorperson, fitness ctr, party room, etc.  Pets welcome!	CC: Pursuant to Short Sale. CC: SUBJECT TO BANK APPROVAL, Subject to Bank Approval, As-Is		Central Air	Gas, Forced Air		Laundry Hook-Up in Unit	No	Oven/Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer		Door Person, Elevator, Exercise Room, Storage, Party Room, Pool-Indoors, Service Elevator	Heat, Air Conditioning, Water, Parking, Common Insurance, Doorman, TV/Cable, Exercise Facilities, Pool, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal	G				Yes		Hardwood								Hardwood	Hardwood	Full	Hardwood	11X10			17X19	22X13	11X08		COMBO		Separate Shower	Combined w/ LivRm	Patio	04/13/2009	02/18/2010	02/18/2010	04/26/2010	
DP	1720		MAPLE	AVE	20	Evanston	Illinois	60201	201	Cook				200				07204316	CLSD		20000	20000	20000	20000	Other	N/A	100%	100%	18	18	00000000000000			0	0		2007	0			No														0									SOLD BEFORE PRINT!		1																																								05/01/2009	05/18/2009	05/18/2009	05/19/2009	
AT	1720		MAPLE	AVE	1920	Evanston	Illinois	60201	201	Cook	OPTIMA VIEWS	65	202	203	Condo, High Rise (7+ Stories)		2003	07226086	CLSD		385000	350000	350000	385000	Conventional	N/A	91%	91%	184	168	11181170141135	No			7402.30		2008	506	No		No			19	2BR. 2BA	1335						4	2	2	0	2		2	1	1	Attached	None		AMAZING NORTHEAST VIEWS, NEWLY-LAID MAPLE FLOORS (WITH BRAND NEW BEDROOM CARPETING), GRANITE COUNTERTOPS, FIREPLACE AND IN-UNIT LAUNDRY. WHO COULD ASK FOR ANYTHING MORE?  GARAGE #219 (4TH FL), STORAGE # 111 (3RD FL). EVANSTON’S HOTTEST LOCATION. A SHORT WALK TO THEATER, RESTAURANTS AND LOOP TRANSPORTATION, POOL & WORKOUT ROOM.	PLEASE NOTE:  POPCORN CEILING HAS BEEN REMOVED.		Central Air	Gas, Forced Air				Oven/Range, Microwave, Dishwasher, Washer, Dryer, Disposal			Heat, Air Conditioning, Water, Gas, Parking, Common Insurance, Security, Doorman, TV/Cable, Exercise Facilities, Pool, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal							Carpet								Ceramic Tile	Hardwood	Y	Carpet	12X16			17X16	22X22	14X13		COMBO			Combined w/ LivRm	Balcony	05/26/2009	11/09/2009	11/09/2009	12/08/2009	
AT	1720		MAPLE	AVE	1110	Evanston	Illinois	60201	201	Cook		65	202	203	Condo, High Rise (7+ Stories)		2003	07383403	CLSD		499500	515000	515000	520000	Cash	N/A	99%	103%	166	28	11181170141072	No			10026.26	None	2008	650	No		No			11	3BR, 2BA	1681						6	3	3	0	2		2		2	Attached	None		OUTSTANDING LIGHT-FILLED 3 BEDROOM, 2 BATH CONDO WITH PANORAMIC VIEWS OF EVANSTON’S DOWNTOWN HAS JUST HAD A MAKEOVER. NEW HARDWOOD FLRS IN LR/DR & NEW CARPET IN ALL BRS.  GARAGE SPACE (P-11). IDEAL FLOOR PLAN. MASTER BATH WITH SHOWER AND TUB. FULL AMENITY BUILDING WITH WORKOUT ROOM, INDOOR POOL, ROOF GARDEN AND DOORPERSON IN  WALK-TO-EVERYTHING LOCATION. PET FRIENDLY. STORAGE UNIT: #180. ASK ABOUT 2ND PARKING SPACE.	2 Parking Spaces Included.  P11 and P130		Central Air	Gas, Forced Air				Oven/Range, Microwave, Dishwasher, Refrigerator, Freezer, Washer, Dryer, Disposal		Door Person, Elevator, Exercise Room, On Site Manager/Engineer, Sundeck, Pool-Indoors, Security Door Locks	Heat, Air Conditioning, Water, Gas, Parking, Common Insurance, Security, Doorman, TV/Cable, Exercise Facilities, Pool, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal	Foster Premier	Jimmie Kay Falconer	(847) 459-1222				Carpet	Carpet							Ceramic Tile	Hardwood	Full	Carpet	13X9	13X9		20X13	28X19	16X9		COMBO			Combined w/ LivRm	Balcony	11/19/2009	12/16/2009	12/16/2009	01/29/2010	
AT	1720		MAPLE	AVE	1220	Evanston	Illinois	60201	201	Cook		65	202	203	Condo, High Rise (7+ Stories)		2003	07641962	CLSD		349900	325000	325000	339000	Conventional	N/A	96%	93%	107	107	11181170141081				6005	Homeowner	2009	512	No		No	No		12		0	Not Reported				N (North), E (East), Lake/Water	5	2	2	0	2	0	2	0	1	Attached	None	None	GREAT 2 BEDROOM 2 BATH FLOOR PLAN WITH CITY /LAKE VIEWS  ON 12TH FLOOR.  FLOOR TO CEILING WINDOWS. BRAND NEW HARDWOOD FLOORS. KITCHEN HAS MAPLE CABINETS.  CORIAN COUNTERS IN BATHROOMS.  MASTER HAS DOUBLE SINK.  IN UNIT FULL SIZE LAUNDRY. INDOOR HEATED GARAGE SPACE # 133. FULL AMENITY BUILDING INCLUDES DOORPERSON, INDOOR POOL, SPA POOL, SUN DECK, PARTY ROOM.  GREAT LOCATION NEAR TRAINS, MOVIES AND SHOPPING.	24 hour notice is possible.  Use Mulit Board for offers.		Central Air	Forced Air		Elevator, Hardwood Floors, Laundry Hook-Up in Unit, Storage	Yes	Oven/Range, Microwave, Dishwasher, Refrigerator		Bike Room/Bike Trails, Door Person, Elevator, Exercise Room, Storage, Health Club, On Site Manager/Engineer, Party Room, Pool-Indoors, Receiving Room, Security Door Locks	Heat, Air Conditioning, Water, Electric, Gas, Parking, Common Insurance, Security, Doorman, Exercise Facilities, Pool, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal							Carpet					Hardwood			Ceramic Tile	Hardwood	Full	Carpet	16X12			17X16	22X22	14X13		COMBO	No additional rooms			Balcony, Patio, Hot Tub	09/24/2010	01/08/2011	01/08/2011	04/01/2011	
AT	1720	N	MAPLE		2170	Evanston	Illinois	60201	201	Cook	OPTIMA VIEWS	65	202	203	Condo		2002	07467089	CLSD		249000	212000	212000	235000	Conventional	N/A	90%	85%	203	203	11181170141156	No			4296	None	2008	282	No		No			21		0	Not Reported				S (South), W (West)	3	1	1	0	1		1		1	Attached	None		SPECTACULAR VIEWS AND SUNSETS FROM THE 21ST FLOOR- IT'S ALL HERE! OPEN LAYOUT AND IMMACULATE CONDITION OF THIS 1 BEDROOM OPTIMA VIEWS GEM. CRISP WHITE KITCHEN, IN-UNIT LAUNDRY, BALCONY & FULL AMENITY BUILDING WITH DOORMAN, PARKING, POOL, EXERCISE FACILITIES AND MORE. HEAT AND WATER INCLUDED IN ASSESSMENT. WONDERFUL DOWNTOWN LOCATION NEAR RESTAURANTS, NIGHTLIFE, SHOPS, TRAIN & EVANSTON FARMER'S MARKET.	24 HR NOTICE REQUIRED - TENANT OCCUPIED-ALL APPOINTMENTS TO BE CONFIRMED BY LISTING AGENT - PLS REMOVE SHOES. NOTE TAXES DO NOT REFLECT HOMEOWNERS EXEMPTION.		Central Air	Gas, Forced Air		Elevator, Laundry Hook-Up in Unit, Storage	Yes	Oven/Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer, Disposal		Door Person, Elevator, Exercise Room, Storage, Sundeck, Pool-Indoors, Curbs/Gutters, Sidewalks, Street Lights, Street Paved	Heat, Water, Gas, Parking, Common Insurance, Doorman, Exercise Facilities, Pool, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal	FOSTER PREMIER	JIMMIE KAY FALCONER	(847) 858-2226										TV-Cable, Intercom		Ceramic Tile	Carpet	None	Carpet				15X12	16X16	10X8					Combined w/ LivRm	Balcony, Storms/Screens, End Unit	03/11/2010	09/29/2010	09/29/2010	01/27/2011	
AT	1720		MAPLE	AVE	510	Evanston	Illinois	60201	201	Cook	OPTIMA VIEWS	65	202	203	Condo, High Rise (7+ Stories)		2003	07486993	CLSD		479000	408500	408500	446500	Cash	N/A	91%	85%	593	237	11181170141024				EXEMPT	Other	2009	606	No		No	No		5		1681	Plans				S (South), E (East)	5	3	3	0	2	0	2		1	Attached	None		SPACIOUS, CHIC 3-BR CONDO IN LUXURY OPTIMA VIEWS BLDG IN HEART OF DOWNTOWN EVANSTON*ENJOY WORLD-CLASS AMENITIES RIGHT OUTSIDE YOUR DOOR*RESTAURANTS~THEATER~METRA TRAINS/CTA~SHOPPING~NORTHWESTERN UNIV~LAKEFRONT~POPULAR "10" FLOOR PLAN~OPEN~BRIGHT CONTEMPORARY DECOR*FLOOR-TO-CEILING WINDOWS*MAPLE KIT W/GRANITE*SPACIOUS MASTER SUITE W/WALK-IN CLOSET*IN-UNIT LAUNDRY*FITNESS CTR*INDOOR POOL, PKG, STORAGE*DOORMAN*MOTIVATED	Desirable "10" floor plan! Prime parking space #58 close to elevator~Storage #10. Pool, fitness-4th flr~Party Rm-1st flr~Sellers will not rent~MOTIVATED~MAKE OFFER. Quick close possible~Buyer's agent must accompany all buyer's @ showings.		Central Air	Gas, Forced Air		Elevator, Laundry Hook-Up in Unit, Storage	Yes	Oven/Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer, Disposal		Bike Room/Bike Trails, Door Person, Elevator, Exercise Room, Storage, Golf Course, On Site Manager/Engineer, Party Room, Sundeck, Pool-Indoors, Receiving Room, Security Door Locks, Service Elevator, Sidewalks, Street Lights, Street Paved	Heat, Air Conditioning, Water, Gas, Parking, Common Insurance, Security, Doorman, Exercise Facilities, Pool, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal	Foster Premier	Jimmie Kay Falconer			Yes		Carpet	Carpet				Carpet	TV-Cable, Security System, Fire Sprinklers, CO Detectors, Ceiling Fan		Ceramic Tile	Carpet	Full	Carpet	13X9	13X9		20X13	28X19	16X9			Balcony	Separate Shower	Combined w/ LivRm	Balcony, End Unit	04/01/2010	11/23/2010	11/23/2010	01/10/2011	
