TYP	Street #	CP	Str Name	Sfx	Unit #	City	State	Zip	Area	County	Subdivision	GS Dist	HS Dist	Tot # Units	Type DE/AT	# Stories	Yr Blt	MLS #	Stat	Contingency	Orig List Pr	LP/SP	Sold Pr	List Price	FIN	Short Sale/Foreclosed/Court Approved	SP:LP	SP:OLP	MT	LMT	PIN	Mult PINs	Addl Tax Info	% Common	Taxes	Tax Exemps	Tax Year	As/Asc Dues	MAF	Master Association Fee($)	Spec Assess	Special Service Area	Special Service Area Fee	Unit Fl No	Model	ASF	SF Source	Total SF	Main SF	Aprx Total Fin SF	Exposure	# Rms	Beds	All Beds	Bsmt. Beds	# Full Baths	# Half Baths	Baths	# Interior Fireplaces	#GSp	Garage Type	Bsmt	Basement Description	Remarks	Agent Remarks	# Parking Spaces	Air	Heat/Fuel	AAG	Interior Property Features	Is Parking Included in Price?	Appliances	Amen	Com Ar Amen	Asses Incl	Management Company	Management Contact Name	Management Phone	% Own Occ	Can Owner Rent	Parking Fee/Lease $	2nd Bdr Flr	3rd Bdr Flr	4th Bdr Flr	Deeded Garage Cost	Deeded Parking Cost	Din Flr	Equipment	Fam Rm Flr	Kit Flr	Liv Rm Flr	Mast Bd Bth	Mast Bd Flr	2nd Bdr Sz	3rd Bdr Sz	4th Bdr Sz	Mast Br Sz	Liv Rm Sz	Kit Sz	Fam Rm Sz	Din Sz	Additional Rooms	Bth Amen	Din Rm	Exterior Property Features	List Date	Contract Date	Off Mkt Dt	Closed Date	Acreage
AT	175	E	DELAWARE	PL	5310	Chicago	Illinois	60611	8008	Cook		299	299	705	Condo		1969	07141914	CLSD		499000	395000	395000	450000	Conventional	N/A	88%	79%	523	523	17032200201184				5202.34	None	2008	851	No		No			53		1337					E (East), Lake/Water	6	2	2	0	2		2	0	1	Attached	None		BREATHTAKING VIEWS OF LAKE MICHIGAN AND LAKE SHORE DRIVE. TWO BEDROOM/TWO BATH WITH NO DIAGONALS IN THE PRESTIGIOUS JOHN HANCOCK. THREE LARGE WALK-IN CLOSETS; SURROUND SOUND; PARQUET FLOORS IN MAIN LIVING AREAS; EAT-IN KITCHEN WITH FRENCH DOORS AND HIGH CEILINGS OVER 9 FEET GRACED BY CROWN MOLDING. SECOND BEDROOM FEATURES BUILT-IN CONTEMPORARY WALNUT BOOKCASES. MAY INSTALL W/D. VERY NEGOTIABLE!	EASY TO SHOW		3+ (Window/Wall Unit)	Electric		Hardwood Floors	No	Oven/Range, Dishwasher, Refrigerator, Disposal		Curbs/Gutters, Sidewalks, Street Lights, Street Paved	Water, Security, Security System, Doorman, TV/Cable, Exercise Facilities, Pool, Scavenger, Snow Removal							Hardwood					Hardwood	TV-Cable		Ceramic Tile	Hardwood	Full	Carpet	18X11			18X11	22X15	12X10		15X10	Foyer		Combined w/ LivRm	End Unit	02/20/2009	07/27/2010	07/27/2010	09/01/2010	
AT	175	E	DELAWARE	PL	4717	Chicago	Illinois	60611	8008	Cook		299	299	703	Condo, High Rise (7+ Stories)		1969	07276573	CLSD		355000	300000	300000	355000	Conventional	N/A	85%	85%	390	88	17032200201048	Yes			3746	Homeowner	2007	758	No		No			47		1128						4	1	1	0	1		1	0	1		None	None	ONE-BEDROOM WITH A SKY TERRACE AND TWO ENORMOUS FOYER CLOSETS, HUGE LINEN AND WARDROBE CLOSETS. THERE ARE ONLY FOUR OF THESE EXTRA LARGE ONES FACING SOUTH AND SELDOM AVAILABLE. HERRINGBONE FLOORS AND TOP QUALITY CARPET. NEW STAINLESS STEEL APPLIANCES. WASHER AND DRYER LOCATED ON THE SAME FLOOR. EASY TO SHOW 24/7.			2 (Window/Wall Unit)	Electric, Radiant				Oven/Range, Microwave, Dishwasher, Refrigerator, Disposal		Bike Room/Bike Trails, Door Person, Commissary, Elevator, Exercise Room, Storage, On Site Manager/Engineer, Pool-Indoors, Receiving Room, Sauna, Service Elevator, Valet/Cleaner	Water, Common Insurance, Doorman, TV/Cable, Exercise Facilities, Pool, Scavenger, Snow Removal				85									TV-Cable, TV Antenna				Y					15X10	27X15	10X05		COMBO	Terrace		Combined w/ LivRm		07/20/2009	10/15/2009	10/15/2009	11/02/2009	
AT	175	E	Delaware	PL	6101	Chicago	Illinois	60611	8008	Cook		299	299	705	Condo		1969	07145700	CLSD		479000	450000	450000	479000	Conventional	N/A	94%	94%	44	44	17032200201335				3680.68		2007	721	No		No			61		1204					W (West), City	5	2	2	0	2		2		1	Attached	None		Meticulous rehab with Brazilian Cherry hardwood floors throughout! Fabulous kitchen with granite countertops & stainless steel appliances. Lovely bathrooms one with whirlpool! Stunning city views in full amenity building. May now put washer/dryer in unit. Must See!			3+ (Window/Wall Unit)	Electric		Hardwood Floors		Oven/Range, Microwave, Dishwasher, Refrigerator, Disposal		Bike Room/Bike Trails, Door Person, Coin Laundry, Commissary, Elevator, Exercise Room, Storage, On Site Manager/Engineer, Party Room, Pool-Indoors, Receiving Room, Restaurant, Sauna, Security Door Locks, Service Elevator, Valet/Cleaner	Water, Common Insurance, Security, Security System, Doorman, TV/Cable, Exercise Facilities, Pool, Scavenger, Snow Removal							Hardwood					Hardwood	TV-Cable			Hardwood	Full	Hardwood	11X17			18X11	15X22	10X10		9X15		Whirlpool	Combined w/ LivRm	End Unit	02/25/2009	04/09/2009	04/09/2009	04/28/2009	
AT	175	E	Delaware	PL	4506	Chicago	Illinois	60611	8008	Cook		299	299	700	High Rise (7+ Stories), Studio		1969	07182566	CLSD		229000	205000	205000	229000	Conventional	N/A	90%	90%	1	1	17032200201005	Yes			2594.94	None	2007	410	No		No			45		667					N (North), City, Lake/Water, Park	1	0	0	0	1		1		1		None		STUDIO FACING NORTH BEAUTIFULLY RENOVATED TWO-YEARS AGO. HARDWOOD FLOORS, OPENED KITCHEN WITH STAINLESS STEEL APPLIANCES, GLASS TILED BACKSPLASH, GRANITE COUNTERTOPS, FROSTED GLASS CLOSET DOOR, MIRRORED WALL AND NEW BATHROOM. ALWAYS EASY TO SHOW AND SELLER IS PRICED FOR QUICK SALE.			2 (Window/Wall Unit)	Electric, Radiant, Radiators				Oven/Range, Microwave, Dishwasher, Refrigerator, Disposal		Bike Room/Bike Trails, Door Person, Commissary, Elevator, Exercise Room, Storage, On Site Manager/Engineer, Pool-Indoors, Receiving Room, Sauna, Service Elevator, Valet/Cleaner	Water, Common Insurance, Doorman, TV/Cable, Exercise Facilities, Pool, Scavenger, Snow Removal				85									TV-Cable, TV Antenna				None,Full						20X12						Combined w/ LivRm		04/08/2009	04/08/2009	04/08/2009	04/22/2009	
AT	175	E	Delaware	PL	6710	Chicago	Illinois	60611	8008	Cook		299	299	700	Condo, High Rise (7+ Stories)		1969	07186745	CLSD		549000	515000	515000	549000	Conventional	N/A	94%	94%	15	15	17032200201423	No			5865	Homeowner	2007	1025	No		No			67	LARGE 2BR	1504					S (South), City, Lake/Water	5	2	2	0	2		2	0	2	Attached	None		FAMED HANCOCK BLDG! 1504 SF 2BR FEATS: TOTALLY RENOVATED KIT W/ WHITE CABS, GRANITE TOPS, SS APPLIANCES, BOTH BATHS UPDATED W/ CHIC CABS, CARRERA MARBLE TOPS, ROBURN CABS, & CUSTOM PAINT THRUOUT. POPULAR SOUTH EXP W/BREATHTAKING CITY SKYLINE AND LAKE VIEW. AMENITY RICH BLDG FEATS: OLYMPIC INDOOR POOL, GROCERY STORE, RESTAURANT, FITNESS CENTER + MUCH MORE. PKG ALWAYS AVAIL. PRIME LOCATION, PRICED RIGHT, MOVE-IN READY	IN-UNIT WASHER/DRYER ALLOWED!		3+ (Window/Wall Unit), Zoned	Electric, Radiant, Indv Controls, Zoned		Hardwood Floors		Oven/Range, Microwave, Dishwasher, Refrigerator		Door Person, Coin Laundry, Elevator, Exercise Room, Storage, Health Club, Pool-Indoors, Service Elevator	Water, Common Insurance, Security, Doorman, TV/Cable, Clubhouse, Exercise Facilities, Pool, Exterior Maintenance, Scavenger, Snow Removal					Yes		Carpet					Hardwood	TV-Cable		Ceramic Tile	Hardwood	Full	Carpet	14X11			22X13	28X15	12X12		COMBO		Double Sink	Combined w/ LivRm		04/13/2009	04/27/2009	04/27/2009	06/15/2009	
AT	175	E	Delaware	PL	4710	Chicago	Illinois	60611	8008	Cook		299	299	703	Condo		1969	07216471	CLSD		490000	445000	445000	490000	Conventional	N/A	91%	91%	69	69	17032200201042				551.637		2007	1106	No		No			47		1526					N (North)	6	2	2	0	2		2		1	Attached	None	None	Breathtaking views of Lake Michigan from every window! Sky terrace/sunroom with operable windows. Lots of built-in bookcases & cabinets in both bedrooms. W/D now may be in stalled in Hancock,but now may be in stalled in opportunity to create your lovely home in the sky! Full Amenity building, Immediate parking.			1 (Window/Wall Unit)	Solar						Bike Room/Bike Trails, Door Person, Coin Laundry, Commissary, Elevator, Exercise Room, Storage, On Site Manager/Engineer, Party Room, Pool-Indoors, Receiving Room, Restaurant, Sauna, Security Door Locks, Service Elevator, Valet/Cleaner, Curbs/Gutters, Sidewalks, Street Lights, Street Paved	Water, Common Insurance, Security System, Doorman, TV/Cable, Exercise Facilities, Pool, Scavenger, Snow Removal							Carpet					Carpet	TV-Cable		Vinyl	Carpet	Full	Carpet	11X15			12X19	15X31	10X11		COMBO	Foyer, Sun/Florida Room				05/14/2009	07/21/2009	07/21/2009	08/03/2009	
AT	175	E	Delaware	PL	7106	Chicago	Illinois	60611	8008	Cook		299	299	700	Condo, High Rise (7+ Stories)		1969	07212281	CLSD		489000	395000	395000	409000	Cash	N/A	97%	81%	435	435	17032200201467	Yes			5307.76	None	2007	867	No		No			71		1374						4	2	2	0	2		2	0	1		None		TWO-BEDROOM FACING EAST WITH UPDATED KITCHEN & BATHS. CARPET THROUGHOUT WITH PLENTY OF CLOSETS. THIS IS THE HIGHEST TWO-BEDROOM IN THE BUILDING FACING EAST. STORAGE, WASHER AND DRYER IS LOCATED ON THE SAME FLOOR. THIS HAS ALWAYS BEEN AN IN-TOWN HOME. THEREFORE, NEVER LIVED IN FULL-TIME. EASY TO SHOW AT ANY TIME.			3+ (Window/Wall Unit)	Electric, Radiant, Radiators			No	Refrigerator, Disposal		Bike Room/Bike Trails, Door Person, Commissary, Elevator, Exercise Room, Storage, On Site Manager/Engineer, Service Elevator, Valet/Cleaner	Water, Common Insurance, Doorman, TV/Cable, Exercise Facilities, Pool, Scavenger, Snow Removal				85									TV-Cable, TV Antenna				Full		14X11			18X12	22X14			11X14			Combined w/ LivRm		05/11/2009	07/19/2010	07/19/2010	08/23/2010	
AT	175	E	DELAWARE	PL	7010	Chicago	Illinois	60611	8008	Cook		299	299	700	Condo, High Rise (7+ Stories)		1969	07431382	CLSD		475000	415000	415000	475000	Cash	N/A	87%	87%	415	78	17032200201459	Yes			6050.73	Homeowner, Senior	2008	1176	No		No			70		1472					S (South), City, Lake/Water, Park	4	2	2	0	2		2		1	Attached	Full		TWO-BEDROOMS FACING SOUTH WITH TWO OPERABLE WINDOWS WITH NO DIAGONALS. LARGE KITCHEN THAT WAS UPGRADED WITH STAINLESS STEEL SUB-ZERO REFRIGERATOR, MEILE DISHWASHER AND COUNTERTOP STOVE. FLAWLESS PARQUET FLOOR AND DELUXE MASTER AREA WITH EXTRA SPACE TO INSTALL YOUR OWN WASHER AND DRYER. THIS IS TRULY A GREAT VALUE WITH EXQUISITE VIEWS.			3+ (Window/Wall Unit)	Electric, Radiant			No	Oven/Range, Microwave, Dishwasher, Refrigerator, Disposal		Bike Room/Bike Trails, Door Person, Commissary, Elevator, Exercise Room, Storage, On Site Manager/Engineer, Receiving Room, Restaurant, Sauna, Service Elevator, Valet/Cleaner	Water, Common Insurance, Security, Doorman, TV/Cable, Exercise Facilities, Pool, Scavenger				90									TV-Cable, TV Antenna				Y		10X21			12X22	15X27	11X11					Combined w/ LivRm		02/01/2010	04/19/2010	04/19/2010	05/24/2010	
AT	175	E	Delaware	PL	5003	Chicago	Illinois	60611	8008	Cook		299	299	703	Condo		1969	07215895	CLSD		489000	420000	420000	489000	Conventional	N/A	86%	86%	44	44	17032200201105				5085.89		2007	1006	No		No			50		1498					N (North)	6	2	2	0	2		2		1	Attached	None		Sold Before Print!!			3+ (Window/Wall Unit)	Electric		Hardwood Floors		Oven/Range, Microwave, Dishwasher, Refrigerator, Disposal		Bike Room/Bike Trails, Door Person, Coin Laundry, Commissary, Elevator, Exercise Room, Storage, On Site Manager/Engineer, Party Room, Pool-Indoors, Receiving Room, Restaurant, Security Door Locks, Service Elevator, Steam Room, Valet/Cleaner	Water, Common Insurance, Security System, Doorman, TV/Cable, Exercise Facilities, Pool, Scavenger, Snow Removal							Hardwood					Hardwood	TV-Cable		Ceramic Tile	Hardwood	Full	Carpet	11X15			12X19	15X31	10X11		COMBO	Foyer, Gallery, Sun/Florida Room		Combined w/ LivRm		05/13/2009	06/25/2009	06/25/2009	07/02/2009	
AT	175	E	DELAWARE	PL	6509	Chicago	Illinois	60611	8008	Cook		299	299	703	Condo, High Rise (7+ Stories)		1969	07238746	CLSD		575000	440000	440000	575000	Conventional	N/A	77%	77%	179	179	17032200201398	Yes			6671.75	None	2007	1133	No		No			65		1526					S (South), City, Lake/Water, Park	3	1	1	0	2		2	0	1	Attached	None		Two-bedroom converted into a beautiful one-bedroom with a sky terrace & two operable windows with screen. flawless Oak Herringbone floors, bar area, Euro-style kitchen with vaulted ceilings, black granite countertops, many built-ins, white fabric blinds that are power controlled, a tasteful foyer w/ glass blocks and a lot more. Washer, dryer and storage on the same floor. The furniture may be sold separately.			3+ (Window/Wall Unit)	Electric, Radiant, Radiators				Oven/Range, Microwave, Dishwasher, Refrigerator, Disposal		Bike Room/Bike Trails, Door Person, Commissary, Elevator, Exercise Room, Storage, On Site Manager/Engineer, Pool-Indoors, Receiving Room, Sauna, Service Elevator, Valet/Cleaner	Water, Common Insurance, Doorman, TV/Cable, Exercise Facilities, Pool, Scavenger, Snow Removal				85									TV-Cable, TV Antenna				Full					27X12	27X26	12X11			Foyer	Separate Shower, Steam Shower, Double Sink	Combined w/ LivRm		06/08/2009	12/03/2009	12/03/2009	02/24/2010	
