TYP	Street #	CP	Str Name	Sfx	Unit #	City	State	Zip	Area	County	Subdivision	GS Dist	HS Dist	Tot # Units	Type DE/AT	# Stories	Yr Blt	MLS #	Stat	Contingency	Orig List Pr	LP/SP	Sold Pr	List Price	FIN	Short Sale/Foreclosed/Court Approved	SP:LP	SP:OLP	MT	LMT	PIN	Mult PINs	Addl Tax Info	% Common	Taxes	Tax Exemps	Tax Year	As/Asc Dues	MAF	Master Association Fee($)	Spec Assess	Special Service Area	Special Service Area Fee	Unit Fl No	Model	ASF	SF Source	Total SF	Main SF	Aprx Total Fin SF	Exposure	# Rms	Beds	All Beds	Bsmt. Beds	# Full Baths	# Half Baths	Baths	# Interior Fireplaces	#GSp	Garage Type	Bsmt	Basement Description	Remarks	Agent Remarks	# Parking Spaces	Air	Heat/Fuel	AAG	Interior Property Features	Is Parking Included in Price?	Appliances	Amen	Com Ar Amen	Asses Incl	Management Company	Management Contact Name	Management Phone	% Own Occ	Can Owner Rent	Parking Fee/Lease $	2nd Bdr Flr	3rd Bdr Flr	4th Bdr Flr	Deeded Garage Cost	Deeded Parking Cost	Din Flr	Equipment	Fam Rm Flr	Kit Flr	Liv Rm Flr	Mast Bd Bth	Mast Bd Flr	2nd Bdr Sz	3rd Bdr Sz	4th Bdr Sz	Mast Br Sz	Liv Rm Sz	Kit Sz	Fam Rm Sz	Din Sz	Additional Rooms	Bth Amen	Din Rm	Exterior Property Features	List Date	Contract Date	Off Mkt Dt	Closed Date	Acreage
AT	222	E	PEARSON	ST	1403	Chicago	Illinois	60611	8008	Cook		299	299	219	Condo		UNK	07193372	CLSD		235000	201000	201000	218000	Conventional	S	92%	86%	29	29	17032270241102	No			3500	None	2007	245	No		No			14		0	Not Reported					3	1	1	0	1		1				None	None	Beautifully redone w/granite countertops & stainless steel appliances including washer/dryer in-unit, Brazilian Cherry hard wood floors, marble bath. Building features 24 hr doorman, sundeck w/fabulous views, party room, fitness center. Steps to Michigan Avenue & Lake! Valet parking available. This is a short sale - make an offer!	CC: Pursuant to Short Sale. THIS IS A SHORT SALE. SELLER WANTS OUT. MAKE AN OFFER. THIS IS A GREAT UNIT!		Central Air	Gas		Hardwood Floors, Laundry Hook-Up in Unit		Washer, Dryer		Curbs/Gutters, Sidewalks, Street Lights, Street Paved	Heat, Air Conditioning, Water, Common Insurance, Security, Doorman, TV/Cable, Exercise Facilities, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal															Hardwood	Hardwood	Y	Hardwood				12X12	17X11	11X09			Foyer, Gallery, Storage				04/20/2009	05/18/2009	05/18/2009	07/17/2009	
AT	222	E	Pearson	ST	2104	Chicago	Illinois	60611	8008	Cook		299	299	219	Condo		1963	07207640	CLSD		369000	300000	300000	299000	Conventional	N/A	100%	81%	134	134	17032270241166				5544	None	2007	592	Yes		Yes			21		0	Not Reported				S (South)	5	2	2	0	1		1		1		None		Location, location! Streeterville's "Pearson on the Park," 2 blocks east of Magnificent Mile; 3 blocks west of Lake Michigan. Comfort! This split 2 bed/1 bath condo features stainless steel appliances, granite countertops & island. Enjoy views overlooking Museum of Contemporary Art, park, Northwestern campus, & lake. Garage parking available for $39k w/additional $187/month parking assessment. Home warranty included.	Agent-owned. Special assessment will be prepaid by owner.		Central Air	Other				Oven/Range, Microwave, Dishwasher, Refrigerator		Door Person, Elevator, Exercise Room, Storage, On Site Manager/Engineer, Party Room, Sundeck, Receiving Room, Service Elevator, Valet/Cleaner	Heat, Water, Gas, Common Insurance, Security, Exercise Facilities, Exterior Maintenance							Carpet					Carpet			Ceramic Tile	Carpet	None	Carpet	12X10			15X12	19X13	11X8		COMBO			Combined w/ LivRm		05/05/2009	09/15/2009	09/15/2009	11/11/2009	
AT	222	E	Pearson	ST	209	Chicago	Illinois	60611	8008	Cook		299	299	219	Condo, High Rise (7+ Stories)		UNK	07435393	CLSD		229900	235000	235000	199900	Conventional	N/A	118%	102%	40	40	17032270241009				5476	None	2008	507	No		No			2		0	Not Reported				N (North), W (West)	4	2	2	0	1		1		1	Attached	None	None	Pearson on the Park within 1blk of Northwestern, Water Tower and the lake. Pet-friendly bldg east of Michigan Avenue. South views sweep the sunrise and Navy Pier to the east, the skyline south and Michigan Ave west. This full amenity bldg offers valet and visitor pkg, gym, roof deck, party rm, 24 hr drman, dry cleaner, on site managment. Buyer Must purchase Pkg $30,000. Model unit shown, cabinetry may change per plan	Open Saturdays and Sundays 1-4 or by appointment		Central Air	Other		Hardwood Floors	No	Oven/Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer		Bike Room/Bike Trails, Door Person, Coin Laundry, Elevator, Exercise Room, Storage, On Site Manager/Engineer, Party Room, Sundeck, Receiving Room, Service Elevator, Valet/Cleaner	Heat, Air Conditioning, Security, Doorman, TV/Cable													CO Detectors				None,Full		14X9			15X11	14X13	10X09					Combined w/ LivRm	Grill-Outdoors, End Unit	02/05/2010	03/16/2010	03/16/2010	06/10/2010	
AT	222	E	Pearson	ST	905	Chicago	Illinois	60611	8008	Cook	Pearson On The Park	299	299	219	Condo	28	1963	08231035	CLSD		184999	175000	175000	184999	Conventional	N/A	95%	95%	23	23	17032270241068				2,610.38		2011	378	No		Unknown	No		9		600	Builder				N (North)	4	1	1	0	1	0	1		1	Attached	None	None	Enjoy condo living in the heart of Streeterville one of Chicago’s premier neighborhoods.  Features include a generous living space, a newly remodeled kitchen and bath with SS appliances, in-unit washer dryer and hardwood flooring. Even better, you are within walking distance to the Lake front, Michigan Ave., tons of restaurants, shopping, entertainment and easy access to public transportation and expressway.	The building has breed restriction for dogs.  $200 move-in/out fee (nonrefundable) $500 damage deposit (refundable). The building is 50% owner occupied.  Ask listing Broker for relo paperwork prior to submitting an offer.		Central Air	Electric		Hardwood Floors, Laundry Hook-Up in Unit	No	Oven/Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer, Disposal, All Stainless Steel Kitchen Appliances		Door Person, Coin Laundry, Exercise Room, On Site Manager/Engineer, Party Room, Sundeck, Valet/Cleaner	Heat, Air Conditioning, Water, Common Insurance, Security, Doorman, TV/Cable, Exterior Maintenance, Scavenger	Wolin-Levin	Diane J. Herbert	(312) 440-1922	50								Hardwood			Ceramic Tile	Hardwood	None	Carpet				12X11	17X11	11X8		COMBO	No additional rooms			Roof Deck	12/06/2012	12/28/2012	12/28/2012	01/31/2013	
AT	222	E	PEARSON		208	Chicago	Illinois	60611	8008	Cook	PEARSON ON THE PARK	299	299	219	Condo		1963	07341801	CLSD		399900	227000	227000	220000	Cash	S	103%	57%	151	151	17032270241008	No			5770	Homeowner	2008	592	Yes		No			2	CORNER	0	Not Reported				S (South), W (West)	4	2	2	0	1		1		1	Attached	None	None	Remodeled 2 bedroom home, cherry floors and cabinets, granite counter tops, ss appliances. Pet friendly building and across from park. NOTE: This home is a Short sale   No balcony on 2nd floor homes	CC: Pursuant to Short Sale. CHERRY CABINETS AND FLOORS/ SS APPLIANCES/ 2nd floor homes do not have balconies  CC: Pursuant to Short Sale.  Commission and terms subject to bank approval.   Attorney handling short sale process.  Please allow time for bank respons		Central Air, Zoned	Hot Water/Steam, Indv Controls, Zoned		Elevator, Hardwood Floors, Laundry Hook-Up in Unit, Storage	No	Oven/Range, Microwave, Dishwasher, Dishwasher-Portable, Refrigerator, Freezer		Bike Room/Bike Trails, Door Person, Coin Laundry, Elevator, Exercise Room, Storage, Health Club, Party Room, Sundeck, Receiving Room, Curbs/Gutters, Sidewalks, Street Lights, Street Paved	Heat, Air Conditioning, Water, Tax, Common Insurance, Security, Doorman, Clubhouse, Exercise Facilities, Exterior Maintenance					Yes								TV-Dish, Security System		Hardwood	Hardwood	None,Full	Carpet	11X7			15X14	22X17	11X07			Utility Room-1st Floor		Combined w/ LivRm	Storms/Screens, End Unit	10/05/2009	03/04/2010	03/04/2010	11/23/2010	
AT	222	E	PEARSON	ST	1201	Chicago	Illinois	60611	8008	Cook	PEARSON ON THE PARK	299	299	219	Condo, High Rise (7+ Stories)	1	UNK	07438833	CLSD		449000	365000	365000	380000	Cash	N/A	96%	81%	765	765	17032270241091	No			5978.44	None	2010	810	No		No	No		12		0	Not Reported				N (North), E (East)	6	3	3	0	2	0	2	0	1	Attached	None	None	LOCATION, LOCATION, LOCATION! COME SEE THIS BEAUTIFULLY UPGRADED CONDO IN THE GOLD COAST! SPLIT FLR PLAN W/ FOYER ENTRY, SPACIOUS BEDROOMS, LOTS OF CLOSET SPACE. FEATURES INCLUDE: END UNIT, BALCONY OFF LIVING ROOM, W/D IN UNIT, CUSTOM WINDOW TREATMENTS, DARK HWDFLRS, UPGRADED BATHS & KITCHEN, PET FRIENDLY BLDG, NO PET WEIGHT LIMIT. GREAT RENTAL OPTION, IN-TOWN OR PERMANENT RESIDENCE. DOORMAN BLDG W/ VALET GUEST PKG.			Central Air	Other		Hardwood Floors, Laundry Hook-Up in Unit	No	Oven/Range, Microwave, Dishwasher, Refrigerator, Freezer, Washer, Dryer		Door Person, Elevator, Exercise Room, Storage, On Site Manager/Engineer, Party Room, Sundeck, Valet/Cleaner	Heat, Air Conditioning, Water, Common Insurance, Security, Doorman, TV/Cable, Exercise Facilities, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal							Carpet	Hardwood				Hardwood	TV-Cable		Hardwood	Hardwood	Y	Carpet	12X14	10X12		17X12	16X13	10X08		COMBO	No additional rooms		Combined w/ LivRm	Balcony, Storms/Screens, Grill-Outdoors, End Unit	02/10/2010	03/15/2012	03/15/2012	04/11/2012	
AT	222	E	PEARSON	ST	2203	Chicago	Illinois	60611	8008	Cook		299	299	127	Condo		1963	07515937	CLSD		200000	175000	175000	175000	Cash	S	100%	88%	47	47	17032270241174				3500	None	2008	425	No		No			22		0	Not Reported					3	1	1	0	1		1		1	Attached	None		HUGE PRICE REDUCTION! SHORT SALE! GREAT DEAL CURRENTLY RENTED FOR $1,700 TIL JUNE 30TH. UPGRADED, TOTALLY RENOVATED IN GREAT BLDG WITH FITNESS CENTER, PARTY ROOM & ROOFTOP DECK. ONE BLOCK FROM NORTHWESTERN WATER TOWER AND THE LAKE.	CC: Pursuant to Short Sale. 		Central Air	Electric			No			Door Person, Exercise Room, Storage, On Site Manager/Engineer, Party Room, Sundeck, Receiving Room	Heat, Air Conditioning, Water, Common Insurance, Security, Doorman, TV/Cable, Exterior Maintenance, Scavenger															Other	Hardwood	Full	Carpet				12X11	17X11	8X11					Combined w/ LivRm		04/30/2010	06/15/2010	06/15/2010	08/31/2010	
AT	222	E	PEARSON		1509	Chicago	Illinois	60611	8008	Cook		299	299	219	Condo		1963	07671058	CLSD		275000	265000	265000	275000	Conventional	N/A	96%	96%	108	50	17032270241117				NEW		2008	557	No		No			15		0	Not Reported				N (North), W (West)	4	2	2	0	1		1		1	Attached	None		Pearson on the Park within 1blk of Northwestern, Water Tower and the lake. Pet-friendly bldg east of Michigan Avenue. South views sweep the sunrise and Navy Pier to the east, the skyline south and Michigan Ave west. This full amenity bldg offers valet and visitor parking, gym, roof deck, party room, 24 hr doorman, dry cleaner, on site managment. Price includes Garage Parking.	Open Sundays 1-3 or by appointment. Photos represent Model.		Central Air	Other		Hardwood Floors, Laundry Hook-Up in Unit	Yes	Oven/Range, Microwave, Dishwasher, Refrigerator			Heat, Air Conditioning, Water, Common Insurance, Security, Doorman, TV/Cable, Exterior Maintenance, Scavenger												Hardwood			Other	Hardwood	None	Carpet	14X09			15X11	14X13	10X09		COMBO			Combined w/ LivRm	Balcony, Storms/Screens	11/04/2010	12/23/2010	12/23/2010	02/08/2011	
AT	222	E	PEARSON	ST	401	Chicago	Illinois	60611	8008	Cook	PEARSON ON THE PARK	299	299	219	Condo, High Rise (7+ Stories)		UNK	07724264	CLSD		399900	380000	380000	399900	Conventional	N/A	95%	95%	26	26	17032270241019				3762.96	None	2009	782	No		No	No		4		1350	Landlord/Tenant/Seller				E (East)	6	3	3	0	2	0	2	0	1	Attached	None	None	3 bedroom, corner home with balcony - within 1blk of Northwestern, Water Tower and the Lake. Pet-friendly bldg east of Michigan Avenue. Ffantastic floorplan, lots of windows , Cherry Cabinets, granite, SS and W/D in unit. This full amenity bldg offers gym, roof deck, party room, 24 hr doorman, dry cleaner, on site managment. Parking included - additional valet fee applies.	Unit is Vacant - easy to show.  Parking included in price, additional valet fee applies.		Central Air	Other		Hardwood Floors, Laundry Hook-Up in Unit	YES	Oven/Range, Microwave, Dishwasher, Refrigerator, Freezer, Washer, Dryer		Door Person, Elevator, Exercise Room, Storage, On Site Manager/Engineer, Party Room, Sundeck, Valet/Cleaner	Heat, Air Conditioning, Water, Common Insurance, Security, Doorman, Exercise Facilities, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal	Wolin -levin				Yes		Carpet	Hardwood				Hardwood	TV-Cable		Hardwood	Hardwood	Full	Carpet	12X14	10X12		17X12	16X13	10X08		COMBO	No additional rooms		Combined w/ LivRm	Balcony, Storms/Screens, Grill-Outdoors, End Unit	02/03/2011	02/28/2011	02/28/2011	06/03/2011	
AT	222	E	PEARSON		201	Chicago	Illinois	60611	8008	Cook	PEARSON ON THE PARK	299	299	219	Condo		1963	07445337	CLSD		389900	340000	340000	369000	Conventional	N/A	92%	87%	143	76	17032270241001	No			7141		2008	661	No		No			19		0	Not Reported				N (North), E (East), Lake/Water	5	3	3	0	2		2		1		None	None	Pearson on the Park within 1blk of Northwestern, Water Tower and the lake. Pet-friendly bldg east of Michigan Avenue. South views sweep the sunrise and Navy Pier to the east, the skyline south and Michigan Ave west. This full amenity bldg offers valet and visitor parking, gym, roof deck, party room, 24 hr doorman, dry cleaner, on site managment.  Parking $30,000. Model unit shown, cabinetry may change per plan.	Open Saturdays and Sundays 1-4 or by appointment		Central Air	Other		Hardwood Floors, Laundry Hook-Up in Unit	No	Oven/Range, Microwave, Dishwasher, Refrigerator			Heat, Air Conditioning, Water, Parking, Common Insurance, Security, Doorman, TV/Cable, Exercise Facilities, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal							Carpet										Y		12X14	10X12		17X12	16X13	10X08					Combined w/ LivRm	Storms/Screens, End Unit	02/17/2010	05/03/2010	05/03/2010	06/16/2010	
