TYP	Street #	CP	Str Name	Sfx	Unit #	City	State	Zip	Area	County	Subdivision	GS Dist	HS Dist	Tot # Units	Type DE/AT	# Stories	Yr Blt	MLS #	Stat	Contingency	Orig List Pr	LP/SP	Sold Pr	List Price	FIN	Short Sale/Foreclosed/Court Approved	SP:LP	SP:OLP	MT	LMT	PIN	Mult PINs	Addl Tax Info	% Common	Taxes	Tax Exemps	Tax Year	As/Asc Dues	MAF	Master Association Fee($)	Spec Assess	Special Service Area	Special Service Area Fee	Unit Fl No	Model	ASF	SF Source	Total SF	Main SF	Aprx Total Fin SF	Exposure	# Rms	Beds	All Beds	Bsmt. Beds	# Full Baths	# Half Baths	Baths	# Interior Fireplaces	#GSp	Garage Type	Bsmt	Basement Description	Remarks	Agent Remarks	# Parking Spaces	Air	Heat/Fuel	AAG	Interior Property Features	Is Parking Included in Price?	Appliances	Amen	Com Ar Amen	Asses Incl	Management Company	Management Contact Name	Management Phone	% Own Occ	Can Owner Rent	Parking Fee/Lease $	2nd Bdr Flr	3rd Bdr Flr	4th Bdr Flr	Deeded Garage Cost	Deeded Parking Cost	Din Flr	Equipment	Fam Rm Flr	Kit Flr	Liv Rm Flr	Mast Bd Bth	Mast Bd Flr	2nd Bdr Sz	3rd Bdr Sz	4th Bdr Sz	Mast Br Sz	Liv Rm Sz	Kit Sz	Fam Rm Sz	Din Sz	Additional Rooms	Bth Amen	Din Rm	Exterior Property Features	List Date	Contract Date	Off Mkt Dt	Closed Date	Acreage	List Office Nm	LO	List Agent	LAG	Co-list Nm	Co-Lister	List Off. Ph.	List Dt Rcvd	List Agent Ph.	Selling Off. Nm	SO	Selling Agent	SAG	Selling Agent Ph.	Coop Comp	SCI
AT	235	W	VAN BUREN	ST	1404	Chicago	Illinois	60607	8032	Cook		299	299	714	Condo, High Rise (7+ Stories)		2009	07276927	CLSD		276900	310361	310361	276900	Conventional	N/A	112%	112%	1	1	17162380010000				NEW		2007	298	Yes		No			14		888					S (South), Park	5	2	2	0	2		2		1	Attached	None	None	SOLD BEFORE PRINT	SALES CENTER LOCATED AT 235 W. VAN BUREN. | MON-FRI 11AM-6PM| SAT-SUN 12PM-5PM|		Central Air	Forced Air		Hardwood Floors, Laundry Hook-Up in Unit		Oven/Range, Microwave, Dishwasher, Refrigerator, Disposal		Bike Room/Bike Trails, Door Person, Elevator, On Site Manager/Engineer, Receiving Room, Security Door Locks	Heat, Air Conditioning, Water, Gas, Common Insurance, Doorman, Exterior Maintenance, Scavenger, Snow Removal							Carpet					Hardwood			Hardwood	Hardwood	Full	Carpet	11X10			11X10	12X12	12X6		COMBO		Double Sink	Combined w/ LivRm	Balcony	06/20/2009	06/20/2009	06/20/2009	06/26/2009		CMK Realty	14772	Scott Hoskins	103173	 		(312) 376-0600	07/20/2009	(312) 376-2035	C T Property Group Inc	18069	Ramesh Chokshi	163487		2.5%-$100	None
AT	235	W	VAN BUREN	ST	1907	Chicago	Illinois	60607	8032	Cook		299	299	714	Condo, High Rise (7+ Stories)		2009	07277340	CLSD		311900	332720	332720	311900	Conventional	N/A	107%	107%	1	1	17162380201115				NEW		2007	358	Yes		No			19		1066					S (South), Park	5	2	2	0	2		2				None	None	SOLD BEFORE PRINT	SALES CENTER OPEN MON- FRI 12-6PM | SAT & SUN 12-5PM		Central Air	Forced Air		Hardwood Floors, Laundry Hook-Up in Unit		Oven/Range, Microwave, Dishwasher, Refrigerator, Disposal		Bike Room/Bike Trails, Door Person, Elevator, On Site Manager/Engineer, Receiving Room, Security Door Locks	Heat, Air Conditioning, Water, Gas, Common Insurance, Doorman, Exterior Maintenance, Scavenger, Snow Removal							Carpet					Hardwood			Hardwood	Hardwood	Full	Carpet	10X10			11X11	14X12	10X8		COMBO		Double Sink	Combined w/ LivRm	Balcony	06/20/2009	06/20/2009	06/20/2009	06/26/2009		CMK Realty	14772	Scott Hoskins	103173	 		(312) 376-0600	07/21/2009	(312) 376-2035	Berkshire Hathaway HomeServices KoenigRubloff	14470	Susan Ritter	155835	(312) 953-9085	2.5%-$100	None
AT	235	W	VAN BUREN	ST	1712	Chicago	Illinois	60607	8032	Cook		299	299	714	Condo, High Rise (7+ Stories)		2009	07277360	CLSD		326900	369050	369050	326900	Conventional	N/A	113%	113%	1	1	17162380010000				NEW		2007	365	Yes		No			17		1089					S (South), W (West), City, Park	5	2	2	0	2		2		1	Attached	None	None	SOLD BEFORE PRINT	SALES CENTER OPEN MON- FRI 12-6PM | SAT & SUN 12-5PM		Central Air	Forced Air		Hardwood Floors, Laundry Hook-Up in Unit		Oven/Range, Microwave, Dishwasher, Refrigerator, Disposal		Bike Room/Bike Trails, Door Person, Elevator, On Site Manager/Engineer, Receiving Room, Security Door Locks	Heat, Air Conditioning, Water, Gas, Common Insurance, Doorman, Exterior Maintenance, Snow Removal							Carpet					Hardwood			Hardwood	Hardwood	Full	Carpet	13X10			12X10	21X12	17X6		COMBO		Double Sink	Combined w/ LivRm	Balcony	06/20/2009	06/20/2009	06/20/2009	06/26/2009		CMK Realty	14772	Scott Hoskins	103173	 		(312) 376-0600	07/21/2009	(312) 376-2035	C T Property Group Inc	18069	Ramesh Chokshi	163487		2.5%-$100	None
AT	235	W	VAN BUREN	ST	1911	Chicago	Illinois	60607	8032	Cook		299	299	714	Condo		2009	07276722	CLSD		273900	326250	326250	273900	Conventional	N/A	119%	119%	1	1	17162380010000				NEW		2007	314	Yes		No			19		936						5	2	2	0	1		1		1	Attached	None	None	SOLD BEFORE PRINT	SALES CENTER LOCATED AT 235 W. VAN BUREN UNIT 1822. | MON-FRI 11AM-6PM| SAT-SUN 12PM-5PM|		Central Air	Forced Air		Hardwood Floors, Laundry Hook-Up in Unit		Oven/Range, Microwave, Dishwasher, Refrigerator, Disposal		Bike Room/Bike Trails, Door Person, Elevator, On Site Manager/Engineer, Receiving Room, Security Door Locks	Heat, Air Conditioning, Water, Gas, Common Insurance, Doorman, Exterior Maintenance, Scavenger, Snow Removal							Carpet					Hardwood			Hardwood	Hardwood	None	Carpet	10X10			15X10	16X12	10X9		COMBO			Combined w/ LivRm	Balcony	06/20/2009	06/20/2009	06/20/2009	06/26/2009		CMK Realty	14772	Scott Hoskins	103173	 		(312) 376-0600	07/20/2009	(312) 376-2035	C T Property Group Inc	18069	Ramesh Chokshi	163487		2.5%-$100	None
AT	235	W	VAN BUREN	ST	1710	Chicago	Illinois	60607	8032	Cook		299	299	714	Condo		2009	07276223	CLSD		221900	249800	249800	221900	Conventional	N/A	113%	113%	1	1	17162380010000				NEW		2007	258	Yes		No			17		0	Not Reported				S (South), Park	4	1	1	0	1		1		1	Attached	None	None	SOLD BEFORE PRINT	SALES CENTER LOCATED AT 235 W. VAN BUREN. | MON-FRI 11AM-6PM| SAT-SUN 12PM-5PM|		Central Air	Forced Air		Hardwood Floors, Laundry Hook-Up in Unit		Oven/Range, Microwave, Dishwasher, Refrigerator, Disposal		Bike Room/Bike Trails, Door Person, Elevator, On Site Manager/Engineer, Receiving Room, Security Door Locks	Heat, Air Conditioning, Water, Gas, Common Insurance, Doorman, Exterior Maintenance, Scavenger, Snow Removal												Hardwood	Fire Sprinklers, CO Detectors		Hardwood	Hardwood	None	Carpet				11X10	14X11	10X9		COMBO			Combined w/ LivRm	Balcony	06/20/2009	06/20/2009	06/20/2009	06/26/2009		CMK Realty	14772	Scott Hoskins	103173	 		(312) 376-0600	07/20/2009	(312) 376-2035	yourealty	3905	Chirag Shah	35113	(312) 933-5798	2.5%-$100	None
AT	235	W	VAN BUREN	ST	1903	Chicago	Illinois	60607	8032	Cook		299	299	714	Condo, High Rise (7+ Stories)		2009	07276865	CLSD		307900	345715	345715	307900	Conventional	N/A	112%	112%	1	1	17162380010000				NEW		2007	342	Yes		No			19		1018					S (South), E (East), City, Park	5	2	2	0	2		2		1	Attached	None	None	SOLD BEFORE PRINT	SALES CENTER LOCATED AT 235 W. VAN BUREN. | MON-FRI 11AM-6PM| SAT-SUN 12PM-5PM|		Central Air	Forced Air		Hardwood Floors, Laundry Hook-Up in Unit		Oven/Range, Microwave, Dishwasher, Refrigerator, Disposal		Bike Room/Bike Trails, Door Person, Elevator, On Site Manager/Engineer, Receiving Room, Security Door Locks	Heat, Air Conditioning, Water, Gas, Common Insurance, Doorman, Exterior Maintenance, Scavenger, Snow Removal							Carpet					Hardwood	Fire Sprinklers, CO Detectors		Hardwood	Hardwood	Full	Carpet	12X10			13X10	14X13	14X6		COMBO		Double Sink	Combined w/ LivRm	Balcony	06/20/2009	06/20/2009	06/20/2009	06/26/2009		CMK Realty	14772	Scott Hoskins	103173	 		(312) 376-0600	07/20/2009	(312) 376-2035	C T Property Group Inc	18069	Ramesh Chokshi	163487		2.5%-$100	None
AT	235	W	VAN BUREN	ST	1512	Chicago	Illinois	60607	8032	Cook		299	299	714	Condo, High Rise (7+ Stories)		2009	07277348	CLSD		322900	357091	357091	322900	Conventional	N/A	111%	111%	1	1	17162380010000				NEW		2007	365	Yes		No			15		1089					S (South), W (West), City, Park	5	2	2	0	2		2		1	Attached	None	None	SOLD BEFORE PRINT	SALES CENTER OPEN MON- FRI 12-6PM | SAT & SUN 12-5PM		Central Air	Forced Air		Hardwood Floors, Laundry Hook-Up in Unit		Oven/Range, Microwave, Dishwasher, Refrigerator, Disposal		Bike Room/Bike Trails, Door Person, Elevator, On Site Manager/Engineer, Receiving Room, Security Door Locks	Heat, Air Conditioning, Water, Gas, Common Insurance, Doorman, Exterior Maintenance, Scavenger, Snow Removal							Carpet					Hardwood			Hardwood	Hardwood	Full	Carpet	13X10			12X10	21X12	17X6		COMBO		Double Sink	Combined w/ LivRm	Balcony	06/20/2009	06/20/2009	06/20/2009	06/26/2009		CMK Realty	14772	Scott Hoskins	103173	 		(312) 376-0600	07/21/2009	(312) 376-2035	C T Property Group Inc	18069	Ramesh Chokshi	163487		2.5%-$100	None
AT	235	W	VAN BUREN	ST	2021	Chicago	Illinois	60607	8032	Cook		299	299	714	Condo, High Rise (7+ Stories)		2009	07276576	CLSD		207900	239230	239230	207900	Conventional	N/A	115%	115%	1	1	17162380010000				NEW		2007	229	Yes		No			20		682					N (North), City	4	1	1	0	1		1		1	Attached	None	None	SOLD BEFORE PRINT	SALES CENTER LOCATED AT 235 W. VAN BUREN. | MON-FRI 11AM-6PM| SAT-SUN 12PM-5PM|		Central Air	Forced Air		Hardwood Floors, Laundry Hook-Up in Unit		Oven/Range, Microwave, Dishwasher, Refrigerator, Disposal		Bike Room/Bike Trails, Door Person, Elevator, On Site Manager/Engineer, Receiving Room, Security Door Locks	Heat, Air Conditioning, Water, Gas, Common Insurance, Doorman, Exterior Maintenance, Scavenger, Snow Removal												Hardwood	Fire Sprinklers, CO Detectors		Hardwood	Hardwood	None	Carpet				11X10	13X12	9X6		COMBO			Combined w/ LivRm	Balcony	06/20/2009	06/20/2009	06/20/2009	06/26/2009		CMK Realty	14772	Scott Hoskins	103173	 		(312) 376-0600	07/20/2009	(312) 376-2035	C T Property Group Inc	18069	Ramesh Chokshi	163487		2.5%-$100	None
AT	235	W	VAN BUREN	ST	2015	Chicago	Illinois	60607	8032	Cook		299	299	714	Condo, High Rise (7+ Stories)		2009	07277667	CLSD		316900	355270	355270	316900	Conventional	N/A	112%	112%	1	1	17162380010000				NEW		2007	346	No		No			20		1031					N (North), W (West), City	5	2	2	0	2		2		1	Attached	None	None	SOLD BEFORE PRINT	SALES CENTER OPEN MON- FRI 12-6PM | SAT & SUN 12-5PM		Central Air	Forced Air		Hardwood Floors, Laundry Hook-Up in Unit		Oven/Range, Microwave, Dishwasher, Refrigerator, Disposal		Bike Room/Bike Trails, Door Person, Elevator, On Site Manager/Engineer, Receiving Room, Security Door Locks	Heat, Air Conditioning, Water, Gas, Common Insurance, Doorman, Exterior Maintenance, Scavenger, Snow Removal							Carpet					Hardwood			Hardwood	Hardwood	Full	Carpet	11X10			11X10	14X11	14X6		COMBO		Double Sink	Combined w/ LivRm	Balcony	06/20/2009	06/20/2009	06/20/2009	06/26/2009		CMK Realty	14772	Scott Hoskins	103173	 		(312) 376-0600	07/21/2009	(312) 376-2035	C T Property Group Inc	18069	Ramesh Chokshi	163487		2.5%-$100	None
AT	235	W	VAN BUREN	ST	1414	Chicago	Illinois	60607	8032	Cook		299	299	714	Condo, High Rise (7+ Stories)		2008	07146795	CLSD		309900	305000	305000	309900	Conventional	N/A	98%	98%	1	1	17162380010000	Yes			NEW		2007	346	Yes		No			14		1031					N (North), W (West), City	5	2	2	0	2		2		1	Attached	None		STUNNING CONTEMPORARY NEW CONSTRUCTION AT EDGE OF CHICAGOS CENTRAL BUSINESS DISTRICT. OVER 100 UNIQUE FLOORPLANS IN THIS 46-STORY RESIDENTIAL TOWER.PREMIUM FINISHES INCLUDE S/S APPLIANCES,EURO-CABINETS,GRANITE TOPS,HRD-FLRS,GROHE & W/D HOOKUPS.10CELINGS WITH FLR-TO-CEILING WINDOWS OFFER PANORAMIC LAKE & CITY VIEWS.FULL AMENITY BLDG W/PARKING STARTING AT $31,9000.UNDER CONSTRUCTION	SALES CENTER LOCATED AT 405 S. WELLS  | SAT. & SUN. 12-5 PM		Central Air	Forced Air		Hardwood Floors		Oven/Range, Microwave, Dishwasher, Refrigerator, Freezer, Disposal		Bike Room/Bike Trails, Door Person, Elevator, On Site Manager/Engineer, Receiving Room, Security Door Locks, Service Elevator	Heat, Air Conditioning, Water, Gas, Common Insurance, Security, Security System, Doorman, Exterior Maintenance, Scavenger, Snow Removal							Carpet					Hardwood	TV-Cable, Fire Sprinklers, CO Detectors		Hardwood	Hardwood	Full	Carpet	11X10			11X10	17X13	16X7		COMBO		Double Sink	Combined w/ LivRm	Balcony	02/27/2009	02/27/2009	02/27/2009	07/08/2009		CMK Realty	14772	Scott Hoskins	103173	 		(312) 376-0600	02/27/2009	(312) 376-2035	Jameson Sotheby's Intl Realty	10646	Neil Sy	117377	(312) 485-1999	2	None
