TYP	Street #	CP	Str Name	Sfx	Unit #	City	State	Zip	Area	Subdivision	GS Dist	HS Dist	Tot # Units	Type DE/AT	# Stories	Yr Blt	MLS #	Stat	Contingency	Orig List Pr	LP/SP	Sold Pr	List Price	FIN	Short Sale/Foreclosed/Court Approved	SP:LP	SP:OLP	MT	LMT	PIN	Mult PINs	Addl Tax Info	% Common	Taxes	Tax Exemps	Tax Year	As/Asc Dues	MAF	Master Association Fee($)	Spec Assess	Special Service Area	Special Service Area Fee	Unit Fl No	Model	ASF	SF Source	Total SF	Main SF	Aprx Total Fin SF	Exposure	# Rms	Beds	All Beds	Bsmt. Beds	# Full Baths	# Half Baths	Baths	# Interior Fireplaces	#GSp	Garage Type	Bsmt	Basement Description	Remarks	Agent Remarks	# Parking Spaces	Air	Heat/Fuel	AAG	Interior Property Features	Is Parking Included in Price?	Appliances	Amen	Com Ar Amen	Asses Incl	Management Company	Management Contact Name	Management Phone	% Own Occ	Can Owner Rent	Parking Fee/Lease $	2nd Bdr Flr	3rd Bdr Flr	4th Bdr Flr	Deeded Garage Cost	Deeded Parking Cost	Din Flr	Equipment	Fam Rm Flr	Kit Flr	Liv Rm Flr	Mast Bd Bth	Mast Bd Flr	2nd Bdr Sz	3rd Bdr Sz	4th Bdr Sz	Mast Br Sz	Liv Rm Sz	Kit Sz	Fam Rm Sz	Din Sz	Additional Rooms	Bth Amen	Din Rm	Exterior Property Features	Acreage	County	List Date	Contract Date	Off Mkt Dt	Closed Date
AT	250	E	PEARSON	ST	1901	Chicago	Illinois	60611	8008		299	299	180	Condo, High Rise (7+ Stories)	38	2003	09510971	PEND		799000	799000		799000					22	22	17032280321082	No			13544.26	None	2015	1025	No		No	No		19		1611	Landlord/Tenant/Seller	0		0	S (South), W (West), City, Lake/Water	5	2	2	0	2	1	2.1		1	Attached	None	None	The Pearson! Rarely available, stunning southwest corner unit split en suite 2 bedroom / 2.5 bath home on high floor with abundant light 1611 square feet. Breathtaking panoramic views of the lake, park, city, Navy Pier & Michigan Ave. Brazilian cherry floors throughout. Fabulous open kitchen with custom cabinets and granite moveable island and gas range. Lovely balcony. Extra closets. Full service building with rooftop deck, gym, 24 hr doorman. Pet friendly. Storage. Parking included. Divine Streerterville location.	Parking space is 18B on 2nd floor. Parking is limited common element and runs with unit. Steps to lake parks and Michigan Ave. Easy to show. Lister must accompany.		Central Air	Electric, Indv Controls, Zoned		Hardwood Floors, Laundry Hook-Up in Unit, Storage	Yes	Oven/Range, Dishwasher, Refrigerator, Freezer, Washer, Dryer, Disposal		Bike Room/Bike Trails, Door Person, Elevator, Exercise Room, Storage, Health Club, On Site Manager/Engineer, Party Room, Sundeck, Receiving Room, Sidewalks, Street Lights	Water, Gas, Parking, Common Insurance, Security, Doorman, TV/Cable, Exercise Facilities, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal	PEARSON CONDO ASSOCIATION	TOM GILLESPE	(312) 943-2472				Hardwood					Hardwood			Hardwood	Hardwood	Full	Hardwood	10X17			14X16	14X11	16X11		24X11	Terrace	Separate Shower, Double Shower	Combined w/ LivRm	Balcony, Deck, Roof Deck, Storms/Screens, End Unit		Cook	02/22/2017	03/15/2017	03/15/2017	
AT	250	E	PEARSON	ST	1001	Chicago	Illinois	60611	8008	PEARSON ON THE PARK	299	299	180	Condo, High Rise (7+ Stories)	35	2002	09404774	ACTV		1200000	1200000		1200000					103	103	17032280321020				14398.02	Homeowner	2015	1126	No		No	No		10		1931	Builder				S (South)	6	2	2	0	2	1	2.1	1	1	Attached	None	None	ELEGANT DESIGNER UPGRADED RESIDENCE AT THE PEARSON WITH LARGE ENTERTAINING AREA! OPEN FLOOR PLAN WITH SOUTH VIEWS OF PARK, LAKE, NAVY PIER AND FIREWORKS! BEAUTIFUL GRANITE, STAINLESS KITCHEN, MARBLE BATHS, HARDWOOD FLOORS, GAS FIREPLACE AND SOUTH TERRACE. FULL AMENITY BUILDING, FITNESS ROOM, SUNDECK, PARTY ROOM, STORAGE, GARAGE SPACE #123 INCLUDED!	Also available furnished - Call listing agent for details		Central Air, Zoned	Electric, Indv Controls, Zoned		Hardwood Floors, Laundry Hook-Up in Unit, Storage	Yes	Oven/Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer, Disposal, All Stainless Steel Kitchen Appliances		Bike Room/Bike Trails, Door Person, Elevator, Exercise Room, Storage, On Site Manager/Engineer, Party Room, Sundeck, Receiving Room, Service Elevator, Valet/Cleaner, Curbs/Gutters, Sidewalks, Street Lights, Street Paved	Air Conditioning, Water, Gas, Parking, Common Insurance, Doorman, TV/Cable, Clubhouse, Exercise Facilities, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal, Wi-Fi, Internet Access	Community	Thomas Gillespie	(312) 943-2472		Yes							Hardwood	TV-Cable, Fire Sprinklers, CO Detectors	Hardwood	Hardwood	Hardwood	Full		14X13			16X13	19X12	11X11	14X13	14X12	Foyer, Walk In Closet, Balcony	Separate Shower	Combined w/ LivRm	Balcony, Storms/Screens, End Unit, Cable Access		Cook	12/14/2016			
RN	250	E	PEARSON	ST	1801	Chicago	Illinois	60611	8008		299	299	180	Condo	18	2004	09306424	PCHG										235	235														18		1611	Estimated				S (South), W (West), City, Lake/Water, Park	5	2	2	0	2	1	2.1		0	None	None	None	GORGEOUS HOME W/LUSH 800 SF PRIVATE ROOF GARDEN! SW CORNER & LARGE WINDOWS FOR LOADS OF NATURAL LIGHT. LR, KITCH & GUEST SUITE W/STUNNING CITY VIEWS & LOOK ONTO THE BEAUTIFULLY LANDSCAPED GARDEN. LR & MASTER FACE SOUTH W/DRAMATIC VIEW OF CITY/LAKE. UPGRADED FINISHES: SANTOS MAHOGANY HDWD, GRANITE, NEW SS APPL. CUSTOM CLOSETS, WINDOW TRTMTS & LIGHTING. PREMIER FULL AMENITY BLDG. STEPS TO LAKE & MICHIGAN AVE. NEW FLOORS IN THE BEDROOMS . ALSO, AVAILABLE FURNISHED FOR $6750.00	Unfurnished for $6250.00. All credit apps must include a credit report run by Landlord’s vendor: Credit App.info. $50/applicant application fee.		Central Air	Electric, Forced Air		Hardwood Floors, Laundry Hook-Up in Unit, Storage	No	Oven/Range, Microwave, Dishwasher, Refrigerator, Freezer, Disposal		Bike Room/Bike Trails, Door Person, Exercise Room, Storage, Health Club, On Site Manager/Engineer, Party Room, Receiving Room, Service Elevator								Carpet					Hardwood	TV-Cable, CO Detectors		Hardwood	Hardwood	Full	Carpet	15X10			15X13	15X14	15X10		11X11	Terrace	Whirlpool, Separate Shower, Double Sink	Combined w/ LivRm	Balcony, Patio, Storms/Screens, End Unit		Cook	08/04/2016			
RN	250	E	Pearson	ST	2802	Chicago	Illinois	60611	8008		299	299	180	Condo, High Rise (7+ Stories)	37	2003	09570209	ACTV										7	7														28		1565	Builder	0		0	N (North), W (West)	5	2	2	0	2	0	2	0	1	Attached	None	None	Very rare stunning 2 bedroom Corner unit with floor-to-ceiling windows showcases spectacular city and lake views. Wood floors, balcony. Kitchen features granite and beautiful wood cabinets, large living/dining area. Master suite features huge walk-in closet, master bath with dual vanity, separate shower. Building amenities include door staff, sundeck, fitness center, and more. 1 parking available.	Need 24 hour notice to show. Parking Space #P-60 offered at $250/month extra. Current view pictures from different unit in the same tier.		Central Air	Electric, Baseboard, Indv Controls		Hardwood Floors, Laundry Hook-Up in Unit	No	Oven/Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer, Disposal, All Stainless Steel Kitchen Appliances		Bike Room/Bike Trails, Door Person, Exercise Room, Party Room, Sundeck, Service Elevator		Community Specialists	Tom Gillespie	(312) 943-2472				Carpet					Hardwood			Hardwood	Hardwood	Full	Carpet	14X9			23X16	16X12	17X11		16X10	Balcony, Foyer	Double Sink, Soaking Tub				Cook	03/20/2017			
RN	250	E	PEARSON	ST	1001	Chicago	Illinois	60611	8008	PEARSON ON THE PARK	299	299	180	Condo, High Rise (7+ Stories)	35	2002	09404783	TEMP										103	103														10		1931	Builder				S (South)	6	2	2	0	2	1	2.1	1	1	Attached	None	None	ELEGANT DESIGNER UPGRADED RESIDENCE AT THE PEARSON WITH LARGE ENTERTAINING AREA! OPEN FLOOR PLAN WITH SOUTH VIEWS OF PARK, LAKE, NAVY PIER AND FIREWORKS! BEAUTIFUL GRANITE, STAINLESS KITCHEN, MARBLE BATHS, HARDWOOD FLOORS, GAS FIREPLACE AND SOUTH TERRACE. FULL AMENITY BUILDING, FITNESS ROOM, SUNDECK, PARTY ROOM, STORAGE, GARAGE SPACE #123 INCLUDED! $6,500 UNFURNISHED.	Available for sale at $1,200,000 unfurnished!		Central Air, Zoned	Electric, Indv Controls, Zoned		Hardwood Floors, Laundry Hook-Up in Unit, Storage	Yes	Oven/Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer, Disposal, All Stainless Steel Kitchen Appliances		Bike Room/Bike Trails, Door Person, Elevator, Exercise Room, Storage, On Site Manager/Engineer, Party Room, Sundeck, Receiving Room, Service Elevator, Valet/Cleaner, Curbs/Gutters, Sidewalks, Street Lights, Street Paved		Community	Thomas Gillespie	(312) 943-2472									Hardwood	TV-Cable, Fire Sprinklers, CO Detectors	Hardwood	Hardwood	Hardwood	Full		14X13			16X13	19X12	11X11	14X13	14X12	Foyer, Walk In Closet, Balcony	Separate Shower	Combined w/ LivRm	Balcony, Storms/Screens, End Unit, Cable Access		Cook	12/14/2016		03/15/2017	
RN	250	E	PEARSON	ST	2605	Chicago	Illinois	60611	8008		299	299	180	Condo	30	2003	09504457	PEND										36	36														26		2017	Estimated	0		0	S (South), City	6	3	3	0	3	0	3		2	Attached	None	None	Absolutely stunning renovation is a must see! Breathtaking views of lake, city & Navy Pier from this SE corner home. Gracious floorplan w/ too many upgrades to list: cherry flooring, newer kitchen w/ top of line SS appls, custom motorized shades, organized closets, custom lighting. Spa like marble master bth w/ custom tile, steam shower w/ aromatherapy, body sprays & whirlpool. 2 huge balconies.  1 garage spot included! 2nd space available for $300/month.	Available April 1st and possibly sooner.  Small dog or cat will be considered.  2 year lease strongly preferred.  All rental apps must include a credit report run by @.		Central Air	Gas, Forced Air		Laundry Hook-Up in Unit	Yes			Bike Room/Bike Trails, Elevator, Exercise Room, Storage, On Site Manager/Engineer, Party Room, Sundeck								Carpet	Carpet				Hardwood			Hardwood	Hardwood	Full	Carpet	12X11	12X11		13X12	18X17	12X9		17X11	Balcony, Foyer			Balcony		Cook	02/15/2017	03/22/2017	03/22/2017	
AT	250	E	Pearson	ST	1303	Chicago	Illinois	60611	8008		299	299	180	Condo	36	2003	09481271	CLSD		1000000	985000	985000	1000000	Cash	N/A	99%	99%	1	1	17032280321043				13950.72		2015	1009	No		No	No		13		1695	Estimated	0		0	E (East), Lake/Water	5	2	2	0	2	0	2				None	None	Sold Before Print!	Sold Before Print	1	Central Air	Electric, Baseboard, Indv Controls			No	Oven/Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer, Disposal		Door Person, Elevator, Exercise Room, Storage, Service Elevator	Water, Gas, Common Insurance, Security, Doorman, Lawn Care, Scavenger, Snow Removal	Community Specialists	Tom	(312) 943-2472	84			Carpet								Hardwood	Hardwood	Full	Carpet	12X10			16X13	22X16	17X11		COMBO	No additional rooms	Separate Shower, Double Sink	Combined w/ LivRm			Cook	01/19/2017	01/19/2017	01/19/2017	03/16/2017
AT	250	E	Pearson	ST	901	Chicago	Illinois	60611	8008		299	299	180	Condo, High Rise (7+ Stories)	35	2002	09346065	CLSD		1100000	1025000	1025000	1100000	Conventional	N/A	93%	93%	121	65	17032280321013				14450.02	Homeowner	2015	1076	No		No	No		9		1931	Plans				N (North), S (South), City, Lake/Water, Park	6	2	2	0	2	1	2.1	0	1	Attached	None	None	This stunning residence, located in The Pearson, one of Chicago’s premiere buildings, offers spectacular views of the lake, city, Navy Pier, & Lake Shore Park. Upon entering this beautiful home, you are immediately struck by the fine attention given to details. This sun-filled home has been recently gutted & remodeled! Rarely available floor plan w/large open living spaces. A gourmet kitchen w/custom cabinetry, quartz counter tops, filtered instant hot/cold water, & high-end stainless appliances(Sub-zero, Wolf, Dacor), A generous master suite w/an amazing spa bathroom featuring heated floors, steam shower, water closet, & Bluetooth sound system. Other features include a large south facing terrace, solid hardwood flooring throughout, crown moldings, solid core doors, all new hardware, Grohe & Kohler fixtures, tremendous closet (customized and fitted) & storage space, in-unit washer/dryer. Ideally located near the lake, park, shopping, dining, theater and museums. Parking additional.	Parking space P70 is an additional $50,000. Storage locker #G-31. Assessments include the parking, in addition to Comcast X1 platform with 1 HD box with digital starter channel lineup, internet, and wifi. Reserves:$800,000		Central Air	Electric, Baseboard, Indv Controls, Zoned		Hardwood Floors, Heated Floors, Laundry Hook-Up in Unit	Yes	Oven/Range, Microwave, Dishwasher, Refrigerator, High End Refrigerator, Washer, Dryer, Disposal, All Stainless Steel Kitchen Appliances		Bike Room/Bike Trails, Door Person, Elevator, Exercise Room, Storage, Health Club, On Site Manager/Engineer, Party Room, Sundeck, Receiving Room, Service Elevator, Valet/Cleaner, Curbs/Gutters, Sidewalks, Street Lights, Street Paved	Air Conditioning, Water, Gas, Parking, Common Insurance, Doorman, TV/Cable, Clubhouse, Exercise Facilities, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal, Wi-Fi, Internet Access	Community Specialists	Tom Gillespie	(312) 943-2474	83			Hardwood			50000		Hardwood	TV-Cable, Fire Sprinklers, Ceiling Fan	Hardwood	Hardwood	Hardwood	Full	Hardwood	14X13			16X13	12X19	11X11	14X13	12X14	Foyer, Walk In Closet, Balcony	Separate Shower, Steam Shower, Double Sink	Separate	Balcony, Storms/Screens, End Unit, Door Monitored By TV		Cook	09/19/2016	11/22/2016	11/22/2016	01/18/2017
AT	250	E	Pearson	ST	1006	Chicago	Illinois	60611	8008		299	299	180	Condo, High Rise (7+ Stories)	36	2003	09342300	CLSD		695000	625000	625000	650000	Cash	N/A	96%	90%	237	16	17032280321025				11902.91	Homeowner, Senior	2015	927	No		No	No		10		1691	Plans				N (North), E (East)	5	2	2	0	2	1	2.1	0	1	Attached	None	None	Corner split 2 bedroom unit at The Pearson! 2 bed/ 2.5 bath. Hardwood flooring in living areas and floor to ceiling windows throughout. Huge living and dining room with 15x5 balcony. Powder room off foyer. Open kitchen with granite countertops, tile backsplash, stainless steel appliances and new refrigerator & dishwasher. Large master suite with brand new carpet and huge walk in closet. Master bath features double vanity, separate shower and whirlpool tub. Second bed with en-suite bath. Entire unit freshly painted! 1 assigned parking space included with unit. Storage unit on ground floor. Premier building amenities: fitness center, penthouse level party room & sundeck, on-site manager. Fantastic Gold Coast location- so close to Michigan Avenue/Lake Michigan/Northwestern Memorial Hospital.	Parking is a limited common element- no PIN, taxes, or extra assessment. Parking space #65 on level 3.5 of garage. Storage locker  #G42 on ground floor. $500 move-in fee. $800,000 in reserves. 3 pets per unit. 83% owner occupancy, no rental cap.		Central Air	Electric, Baseboard		Hardwood Floors, Storage	Yes	Oven/Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer, Disposal, All Stainless Steel Kitchen Appliances		Bike Room/Bike Trails, Door Person, Elevator, Exercise Room, Storage, On Site Manager/Engineer, Party Room, Sundeck, Service Elevator	Water, Gas, Parking, Common Insurance, Security, Doorman, TV/Cable, Exercise Facilities, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal, Wi-Fi, Internet Access	Community Sepcialists	Tom Gillespie	(312) 943-2472		Yes		Carpet					Hardwood			Hardwood	Hardwood	Full	Carpet	11X13			15X13	17X16	11X09		18X11	Balcony, Foyer	Whirlpool, Separate Shower, Double Sink	Combined w/ LivRm	Balcony		Cook	09/14/2016	09/29/2016	09/29/2016	11/14/2016
AT	250	E	PEARSON	ST	1404	Chicago	Illinois	60611	8008		299	299	180	Condo, High Rise (7+ Stories)	35	2003	09275403	CLSD		475000	500000	500000	475000	Conventional	N/A	105%	105%	6	6	17032280321051			.34	7817	Homeowner, Senior	2015	650	No		No	No		14		1144	Estimated				N (North), E (East), Lake/Water	4	1	1	0	1	1	1.1	0	1	Attached	None	None	Welcome to luxury just 1/2 block from Lake & across from a park. Stunning approx. 1150 sq. ft., newer condo has magnificent floor-to-ceiling views, large balcony, gourmet kitchen with chef's sink and new appliances, in-unit washer/dryer, high ceilings & ideal floor plan.     Freshly painted neutral color. Hardwood floors, open floor plan, nice dining space, 1.5 marble baths (double vanity in master w/sep shower & tub).  Plus, building features roof sundeck, club room, doorman & big gym. Incl large storage. Heated parking addtl $50k. Across from park, softball, playground, running track, etc. Don't miss it.  Strong reserves. Healthy building.  Walk to everything.  The best of downtown. Perfect "in-town" - no maintenance. Great balcony. . Htd parking addtl $50k.  Lake Shore Park (tennis courts, children's playground, baseball diamond) is out front and pet friendly. Assessment includes DirectTV package w/HBO. Storage 18. Garage 49. Floor plan under Addl Info. Move-in ready. Impeccable.	Immaculate unit. Height restrictions on building next door. Comes with sep. storage area.  Additional storage available may be able to rent. Move-in condition. Association has $500 move-in/move-out fee.		Central Air	Electric, Baseboard		Hardwood Floors, Storage	No	Oven/Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer, Disposal		Door Person, Elevator, Exercise Room, Storage, Health Club, Party Room, Sundeck, Curbs/Gutters, Sidewalks, Street Lights, Street Paved	Water, Gas, Common Insurance, Doorman, TV/Cable, Clubhouse, Exercise Facilities, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal	Community Specialists	Tom Gillespie	(312) 943-2472		Yes					50000		Hardwood	TV-Cable		Hardwood	Hardwood	Full	Hardwood				15X14	18X13	14X10		11X14	Balcony	Separate Shower	Combined w/ LivRm	Balcony		Cook	07/02/2016	07/07/2016	07/07/2016	09/06/2016
