TYP	Street #	CP	Str Name	Sfx	Unit #	City	State	Zip	Area	County	Subdivision	GS Dist	HS Dist	Tot # Units	Type DE/AT	# Stories	Yr Blt	MLS #	Stat	Contingency	Orig List Pr	LP/SP	Sold Pr	List Price	FIN	Short Sale/Foreclosed/Court Approved	SP:LP	SP:OLP	MT	LMT	PIN	Mult PINs	Addl Tax Info	% Common	Taxes	Tax Exemps	Tax Year	As/Asc Dues	MAF	Master Association Fee($)	Spec Assess	Special Service Area	Special Service Area Fee	Unit Fl No	Model	ASF	SF Source	Total SF	Main SF	Aprx Total Fin SF	Exposure	# Rms	Beds	All Beds	Bsmt. Beds	# Full Baths	# Half Baths	Baths	# Interior Fireplaces	#GSp	Garage Type	Bsmt	Basement Description	Remarks	Agent Remarks	# Parking Spaces	Air	Heat/Fuel	AAG	Interior Property Features	Is Parking Included in Price?	Appliances	Amen	Com Ar Amen	Asses Incl	Management Company	Management Contact Name	Management Phone	% Own Occ	Can Owner Rent	Parking Fee/Lease $	2nd Bdr Flr	3rd Bdr Flr	4th Bdr Flr	Deeded Garage Cost	Deeded Parking Cost	Din Flr	Equipment	Fam Rm Flr	Kit Flr	Liv Rm Flr	Mast Bd Bth	Mast Bd Flr	2nd Bdr Sz	3rd Bdr Sz	4th Bdr Sz	Mast Br Sz	Liv Rm Sz	Kit Sz	Fam Rm Sz	Din Sz	Additional Rooms	Bth Amen	Din Rm	Exterior Property Features	List Date	Contract Date	Off Mkt Dt	Closed Date	Acreage	List Office Nm	LO	List Agent	LAG	Co-list Nm	Co-Lister	List Off. Ph.	List Dt Rcvd	List Agent Ph.	Selling Off. Nm	SO	Selling Agent	SAG	Selling Agent Ph.	Coop Comp	SCI
AT	3430	N	LAKE SHORE	DR	9K	Chicago	Illinois	60657	8006	Cook		299	299	218	Condo, High Rise (7+ Stories)		1959	07169188	CLSD		199000	192000	192000	199000	Conventional	N/A	96%	96%	30	30	14213070471094				2410	Homeowner	2007	520	No		No			9		800					Lake/Water	4	1	1	0	1		1		1	Attached	None		BEAUTIFUL HOME AT A BEAUTIFUL PRICE! GREAT VIEWS OF BELMONT HARBOR FROM THIS LARGE 1 BR W/ BALCONY. NEW KITCHEN WITH GRANITE COUNTERS, NEW BATH, HARDWOOD FLOORS, SEPARATE DINING AREA, GREAT CLOSET SPACE, ASSESSMENTS INCLUDE HEAT AND AIR CONDITIONING. TOP NOTCH BUILDING, NO WAIT FOR PARKING.	THIS HOME IS A TERRIFIC VALUE, YOU WILL NOT BE DISAPPOINTED.		Central Air	Gas				Oven/Range, Microwave, Dishwasher, Refrigerator			Heat, Air Conditioning, Water, Gas, Common Insurance, Security, Doorman, TV/Cable, Exercise Facilities, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal												Hardwood			Hardwood	Hardwood	Y	Hardwood				14X13	23X13	09X08		10X08			L-shaped	Balcony	03/24/2009	04/22/2009	04/22/2009	06/19/2009		Berkshire Hathaway HomeServices KoenigRubloff	10900	Gordon Munden	112060	 		(312) 642-1400	03/24/2009	(773) 551-0408	Berkshire Hathaway HomeServices KoenigRubloff	14035	Suzy Thomas	112572	(773) 945-0120	2.5%-$150	None
AT	3430	N	LAKE SHORE	DR	11K	Chicago	Illinois	60657	8006	Cook		299	299	218	Condo, High Rise (7+ Stories)		1955	07239252	CLSD		219000	210000	210000	219000	Cash	N/A	96%	96%	5	5	14213070471122	No			1285.76	Homeowner	2007	557	No		No			11		800					E (East), Lake/Water	4	1	1	0	1		1	0	2	Attached	None	None	STUNNING LARGE EAST-FACING RENOVATED HOME WITH VIEWS OF BELMONT HARBOR & THE LAKE FROM 11x7 PRIVATE BALCONY. PERFECT, MOVE-IN CONDITION WITH NEW KITCHEN, NEWER BATH, SEP DINING AREA, HDWD FLOORING THRU OUT. BUILT-IN CABINETS & STG CLOSETS. SERVICE ELEV. TO KITCHEN. VALET PARK FOR $140/MO. ASSESS INCL. HEAT, AIR, GAS, CABLE, 24 HR DOORMAN, EXERCISE RM. NEWER WINDOWS/HVAC. WALK SCORE 95/100 WALKERS' PARADISE.	Nice large 1BR w/ views of Lake and Belmont Harbor. EZ to show. prefer one day but same day is possible. brand new kitchen. hardwood floors throughout.		Central Air	Gas, Zoned				Oven/Range, Microwave, Dishwasher, Refrigerator		Door Person, Coin Laundry, Elevator, Exercise Room, Storage, On Site Manager/Engineer, Service Elevator	Heat, Air Conditioning, Water, Gas, Common Insurance, Security, Doorman, TV/Cable, Exercise Facilities, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal	Lieberman				Yes							Hardwood	TV-Cable		Ceramic Tile	Hardwood	None	Hardwood				13X12	22X14	09X08		10X09	Balcony		L-shaped	Balcony	06/08/2009	06/12/2009	06/12/2009	08/11/2009		Keller Williams Lincoln Park	15285	Jim Gramata	119723	 		(773) 472-9000	06/08/2009	(773) 270-2474	Keller Williams Lincoln Park	15285	Jean-Marie Minton	121727	(312) 623-1595	2.5%-195	None
AT	3430	N	LAKE SHORE	DR	15J	Chicago	Illinois	60657	8006	Cook		299	299	218	Condo, Mid Rise (4-6 Stories)		1955	07292964	CLSD		230000	205000	205000	230000	Conventional	N/A	89%	89%	21	21	14213070471162	No			2552		2007	582	No		No			15		800					E (East), Lake/Water	4	1	1	0	1		1		1	Attached	None		SPACIOUS 1 BEDROOM WITH LARGE PRIVATE BALCONY OVERLOOKING THE LAKE AND BELMONT HARBOR. UPDATED KITCHEN HAS SEPARATE DINING ROOM AND LARGE LIVING ROOM. BUILDING HAS NEWER WINDOWS, ELEVATORS, HEATING AND COOLING UNITS AND ROOF. GREAT LAKE VIEW LOCATION JUST STEPS FROM THE LAKE, TENNIS, GOLF, SHOPPING, RESTAURANTS AND ENTERTAINMENTS. EXERCISE ROOM, BIKE ROOM, COIN LAUNDRY IN BUILDING. VALET PARKING AVAILABLE.			Central Air	Gas				Oven/Range, Microwave, Dishwasher, Refrigerator		Door Person, Coin Laundry, Elevator	Heat, Air Conditioning, Gas, Common Insurance, Security, Doorman, TV/Cable, Exercise Facilities, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal																	None					14X13	25X13	9X8		10X8			L-shaped	Balcony	08/07/2009	08/27/2009	08/27/2009	11/09/2009		Berkshire Hathaway HomeServices KoenigRubloff	10988	Sharon Sullivan	119108	 		(312) 944-8900	08/07/2009	(312) 893-8191	Jim Cachey Realty Estate, LLC	15492	J Cachey	107682	(773) 472-2400	2.5%-$150	None
AT	3430	N	LAKE SHORE	DR	7K	Chicago	Illinois	60657	8006	Cook		299	299	218	Condo		1957	07310500	CLSD		179000	161000	161000	169900	Conventional	N/A	95%	90%	104	104	14213070471066				2376.05	Homeowner	2007	540	No		No			7		850					E (East)	4	1	1	0	1		1				None		GREAT LAKE VIEWS FROM THIS SPACIOUS COMPLETELY REMODELED UNIT WITH PRIVATE BIG BALCONY.A LOT OF CLOSETS.  BUILDING HAS NEWER ROOF, WINDOWS, ELEVATORS, FULL TIME DOORMAN.VALET PARKING AVAILABLE. STEPS FROM THE LAKE AND CLOSE TO EVERYTHING.	BONUS TO SELLING AGENT $1000	1	Central Air	Gas, Zoned						Bike Room/Bike Trails, Door Person, Coin Laundry, Elevator, Exercise Room, Storage, On Site Manager/Engineer, Service Elevator, Valet/Cleaner	Heat, Air Conditioning, Water, Gas, Common Insurance, Security, Doorman, TV/Cable, Exercise Facilities, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal					Yes							Wood Laminate			Wood Laminate	Wood Laminate	None	Wood Laminate				13X12	22X14	09X08		10X7					08/27/2009	12/08/2009	12/08/2009	01/04/2010		Chicago Realty Partners, Ltd	10841	Alexandre Lavrentiev	176648	 		(312) 575-0100	08/27/2009	(847) 962-9990	Zip Realty, Inc.	1768	Frank McLaughlin	922281	(847) 732-3445	2.5%-250+ $1000 BONUS	Bonus
AT	3430	N	Lake Shore	DR	16H	Chicago	Illinois	60657	8006	Cook		299	299	218	Condo, High Rise (7+ Stories)		UNK	07385392	CLSD		259000	239000	239000	259000	Cash	N/A	92%	92%	281	65	14213070471175				2264.43	Homeowner, Senior	2007	973	Yes		No			16		0	Not Reported				E (East)	5	2	2	0	2		2		1		None		Fabulous lake views from every room. Kitchen is opened to take advantage of the views! Two bedroom, two bath in lovely location.  Seller will pay the first six months of assessment fees. Easy to show.	FABULOUS LAKE VIEWS FROM ALL ROOMS. UPDATED KITCHEN HAS BEEN OPENED TO TAKE ADVANTAGE OF THE VIEW. 2BD/2BA IN LOVELY CONDITION.		Central Air	Forced Air, Hot Water/Steam				Oven/Range, Dishwasher, Refrigerator, Disposal		Door Person, Coin Laundry, Elevator, Other	Heat, Air Conditioning, Water, Common Insurance, Doorman, TV/Cable, Exterior Maintenance, Lawn Care, Scavenger							Carpet					Wood Laminate			Wood Laminate	Wood Laminate	Full	Carpet	14X11			16X12	14X22	08X09		08X10			L-shaped		11/23/2009	01/26/2010	01/26/2010	02/18/2010		Baird & Warner	11000	Gloria Narrod	108742	 		(312) 640-7010	11/23/2009	(312) 981-2330	Berkshire Hathaway HomeServices KoenigRubloff	84215	Gary Zickel	138461	(773) 550-7644	3% - $200	None
AT	3430	N	Lake Shore	DR	14P	Chicago	Illinois	60657	8006	Cook		299	299	219	Condo, High Rise (7+ Stories)		1955	07387436	CLSD		215000	202000	202000	215000	Conventional	N/A	94%	94%	101	101	14213070471153	No			3743.19	None	2008	835	No		No			14		0	Not Reported				E (East), W (West)	5	2	2	0	2		2		2	Attached	Full		This is not a short sale! It's only a short sale price- Spectacular views of Lake & Belmont Harbor from this 2BR, 2Ba unit w/master suite! All ready to be finished w/your choice for flooring, counters, etc. Great floor plan & tons of closet space in this 2BR at a 1BR price. Great updated full amenity bldg w/24 door staff & heated gar prkg on site-no wait! Shops, restaurants & lakefront are just steps from your door.	This is a spectacular buy for the buyer who isn't afraid to finish out the unit (Needs counters & flooring & baths need updating) And it's in a great updated & stable building in an awesome location.		Central Air	Forced Air		Storage	Yes	Oven/Range, Microwave, Dishwasher, Refrigerator		Bike Room/Bike Trails, Door Person, Coin Laundry, Elevator, Exercise Room, Storage, Receiving Room	Common Insurance, Doorman, Exterior Maintenance													TV-Dish				Full		14X11			16X12	21X16	9X8		10X8				Storms/Screens	11/27/2009	03/07/2010	03/07/2010	04/12/2010		Baird & Warner	10273	Michael Hall	111699	 		(773) 549-1855	11/27/2009	(773) 710-3990	@properties	16379	Lisa Resek-Peck	103183	(312) 254-0331	2.5%-$200	None
AT	3430	N	LAKE SHORE	DR	3J	Chicago	Illinois	60657	8006	Cook		299	299	200	Condo		1957	07444190	CLSD		159900	143000	143000	149900	Conventional	N/A	95%	89%	191	191	14213070471009				675	Senior	2008	553	No		No			3		800					E (East), Lake/Water	4	1	1	0	1		1		1		None		ONE BEDROOM CONDO WITH VIEW OF BELMONT HARBOR. SPACIOUS LIVING ROOM AND DINING AREA. NEWER FINISHES IN BATHROOM. EXCELLENT LAKEVIEW LOCATION, CLOSE TO EVERYTHING YOU WOULD EVER WANT! STEPS TO LAKE, RESTAURANTS, NIGHTLIFE, SHOPS AND BUS STOPS RIGHT IN FRONT OF BUILDING! WELL MANAGED BUILDING WITH NEWER WINDOWS AND OFFERS FULL AMENITIES, 24 HOUR DOORMAN AND EXERCISE ROOM! HEATED GARAGE PARKING $140 P/MO.	EASY TO SHOW. AGENT MUST ACCOMPANY.		Central Air	Hot Water/Steam		Elevator	No	Oven/Range, Refrigerator		Door Person, Coin Laundry, Elevator, Exercise Room, Storage, On Site Manager/Engineer, Service Elevator	Heat, Air Conditioning, Water, Doorman, TV/Cable, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal												Ceramic Tile	TV-Cable		Ceramic Tile	Carpet	None	Carpet				12X12	21X13	9X8		8X8			Separate		02/16/2010	08/25/2010	08/25/2010	08/26/2010		@properties	16379	Ellen Miller	102465	 		(312) 254-0200	02/16/2010	(773) 316-7990	@properties	16379	Ellen Miller	102465	(773) 316-7990	2.5%-$250	None
AT	3430	N	LAKE SHORE	DR	8N	Chicago	Illinois	60657	8006	Cook		299	299	218	Condo		1955	07484108	CLSD		180000	176500	176500	179500	Conventional	N/A	98%	98%	29	29	14213070471083	No			2174.86	None	2008	505	No		No			8		800					W (West), City	4	1	1	0	1		1	0	2	Attached	None	None	ARE YOU READY FOR LIFE ON THE LAKEFRONT? EAST LAKEVIEW ONE BEDROOM UNIT W/ BALCONY AVAIL. FOR A SHORT TIME ONLY. ACCESS TO BELMONT HARBOR, WRIGLEY FIELD, DIVERSEY DRIVING RANGE & CHICAGO'S BEACHES. LARGE ROOMS, GREAT FLOORPLAN W/ HARDWOOD THROUGHOUT, ORGANIZED CLOSETS, CUSTOM WINDOW TREATMENTS, & AN UNOBSTRUCTED WESTERN EXPOSURE.  SIMPLIFY YOUR LIFE W/ ALMOST ALL OF YOUR UTILITIES INCLUDED IN YOUR  MONTLY ASSESSMENT.	TAXES DO NOT REFLECT HOMEOWNERS EXEMPTION. PLEASE CLICK ON VHT LINK FOR FLOORPLAN.  ASSESSMENT INCLUDES ALL UTILITIES EXCEPT ELECTRIC. CAN BE SOLD AS-IS! SELLER IS MOTIVATED.		Central Air	Gas		Hardwood Floors, Storage	No	Oven/Range, Microwave, Dishwasher, Refrigerator		Bike Room/Bike Trails, Door Person, Coin Laundry, Elevator, Exercise Room, Storage, On Site Manager/Engineer, Receiving Room	Heat, Air Conditioning, Water, Gas, Common Insurance, Doorman, TV/Cable, Exercise Facilities, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal												Hardwood			Hardwood	Hardwood	None	Hardwood				15X12	21X13	9X8		9X8	Balcony, Storage		L-shaped	Balcony	03/29/2010	04/26/2010	04/26/2010	06/18/2010		@properties	84025	Stephen Hnatow, ABR,GRI	174126	Kristine Kramer	127555	(773) 432-0200	03/29/2010	(773) 305-0463	Prudential Rubloff	14273	Jill Press	129791	(312) 980-5116	2.5% - $250	None
AT	3430	N	LAKE SHORE	DR	14K	Chicago	Illinois	60657	8006	Cook		299	299	218	Condo, High Rise (7+ Stories)		1955	07568658	CLSD		155000	148050	148050	155000	Cash	S	96%	96%	332	14	14213070471149	No			2,208.04	Homeowner	2008	581	No		No			14		850					E (East)	4	1	1	0	1		1	0	2	Attached	None	None	ENJOY THE VIEWS OF BELMONT HARBOR FROM YOUR 11X7 BALCONY. THIS EAST-FACING 1 BDRM IS IN MOVE-IN CONDITION. IT HAS A NICE KITCHEN, LARGE BATH, SEPARATE DINING AREA + LOADS OF CLOSETS.  ASSESS INCL: HEAT, AIR, GAS, CABLE. FULL TIME DOORMAN & EXERCISE ROOM. NEW WINDOWS/HVAC + CLOSE TO EVERYTHING . INDOOR PARKING AVAILABLE IMMEDIATELY!!! SHORT SALE PENDING. UNIT SOLD AS IS.	CC: Pursuant to Short Sale. !!! SHORT SALE PENDING!!!		Central Air	Gas, Zoned			No	Oven/Range, Dishwasher, Refrigerator		Bike Room/Bike Trails, Door Person, Coin Laundry, Elevator, Exercise Room, Storage, Service Elevator, Other	Heat, Water, Gas, Common Insurance, Security, Doorman, TV/Cable, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal, Other												Carpet	TV-Cable		Ceramic Tile	Carpet	None	Carpet				13X12	22X14	09X08		10X07	Balcony		L-shaped	Balcony	06/30/2010	07/13/2010	07/13/2010	09/15/2010		Rexx Real Estate Inc.	16446	Adrian Mitocaru	148005	 		(773) 875-3707	06/30/2010	(773) 875-3707	RE/MAX Edge	17033	Mark Zipperer	106107	(773) 435-1601	2.5% - 200	Short Sale
AT	3430	N	Lake Shore	DR	6P	Chicago	Illinois	60657	8006	Cook		299	299	219	Condo, High Rise (7+ Stories)	19	1974	08310425	CLSD		215000	172500	172500	215000	Cash	N/A	80%	80%	42	42	14213070471056				1252.47	Senior	2011	880	No		No	No		6		1250	Other				E (East), W (West), City, Lake/Water, Park	5	2	2	0	2	0	2		2	Attached	Full	Other	Spectacular views of Lake & Belmont Harbor from this 2BR, 2Bath unit w/master suite! Great floor plan with separate dining area & tons of closet space. All this in an updated full amenity bldg w/24HR doorman, on-site management office, fitness rm & 2-car garage prkg available on site with no wait.  Tennis, golf, shopping, restaurants & the lakefront are all just steps from your door. Bus stops right in front of bldg.	This building has made extensive renovations in recent years and has very high reserves.  Unit is tenant occupied and I need 48 hour notice.		Central Air, Zoned	Gas, Forced Air, Indv Controls, Zoned		Storage	No			Bike Room/Bike Trails, Door Person, Coin Laundry, Elevator, Exercise Room, Storage, On Site Manager/Engineer, Receiving Room, Service Elevator, Curbs/Gutters, Sidewalks, Street Lights	Heat, Air Conditioning, Gas, Parking, Common Insurance, Doorman, TV/Cable, Exercise Facilities, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal	Lieberman	Eadka Tidwell	(773) 348-2777														Full		14X11			15X13	21X15	10X9		10X9	Foyer				04/06/2013	05/17/2013	05/17/2013	07/08/2013		Baird & Warner	10273	Michael Hall	111699	 		(773) 549-1855	04/07/2013	(773) 710-3990	Berkshire Hathaway HomeServices KoenigRubloff	10317	Lora Perlman	100569	(312) 268-2792	2.5%-$275 (on Net SP)	None
