TYP	Street #	CP	Str Name	Sfx	Unit #	City	State	Zip	Area	County	Subdivision	GS Dist	HS Dist	Tot # Units	Type DE/AT	# Stories	Yr Blt	MLS #	Stat	Contingency	Orig List Pr	LP/SP	Sold Pr	List Price	FIN	Short Sale/Foreclosed/Court Approved	SP:LP	SP:OLP	MT	LMT	PIN	Mult PINs	Addl Tax Info	% Common	Taxes	Tax Exemps	Tax Year	As/Asc Dues	MAF	Master Association Fee($)	Spec Assess	Special Service Area	Special Service Area Fee	Unit Fl No	Model	ASF	SF Source	Total SF	Main SF	Aprx Total Fin SF	Exposure	# Rms	Beds	All Beds	Bsmt. Beds	# Full Baths	# Half Baths	Baths	# Interior Fireplaces	#GSp	Garage Type	Bsmt	Basement Description	Remarks	Agent Remarks	# Parking Spaces	Air	Heat/Fuel	AAG	Interior Property Features	Is Parking Included in Price?	Appliances	Amen	Com Ar Amen	Asses Incl	Management Company	Management Contact Name	Management Phone	% Own Occ	Can Owner Rent	Parking Fee/Lease $	2nd Bdr Flr	3rd Bdr Flr	4th Bdr Flr	Deeded Garage Cost	Deeded Parking Cost	Din Flr	Equipment	Fam Rm Flr	Kit Flr	Liv Rm Flr	Mast Bd Bth	Mast Bd Flr	2nd Bdr Sz	3rd Bdr Sz	4th Bdr Sz	Mast Br Sz	Liv Rm Sz	Kit Sz	Fam Rm Sz	Din Sz	Additional Rooms	Bth Amen	Din Rm	Exterior Property Features	List Date	Contract Date	Off Mkt Dt	Closed Date	Acreage
AT	400	E	RANDOLPH	ST	3422	Chicago	Illinois	60601	8032	Cook		299	299	955	Condo, Studio		1963	07128800	CLSD		199900	186000	186000	189900	FHA	N/A	98%	93%	77	77	17104000121818				894.13	Homeowner, Senior	2007	365	No		No			34		525					W (West)	3	1	1	0	1		1		1	Attached	None		Gorgeous renovated jr 1bed in New East Side. Fabulous kitchen w/ new stainless steel appl, 1-1/4" granite, glass tile backsplash, chocolate brown cabinets, disposal, & icemaker. Will build br wall. Beautiful marble bath, glass shower, granite counter and chocolate brown vanity. Real hdwd floor thruout and built-in bookcases w/ granite top along west windows. Pool, health club & more in bldg! Special asmt pd! FHA Apvd	Special Assessment Paid in Full for building updates.   Seller will build wall to separate bedroom area at no cost. FHA Approved. $10k price reduction on most highly renovated unit in bldg. 30 Min free parking in bldg for showings.		Central Air	Gas, Forced Air, Indv Controls		Hardwood Floors, Storage		Oven/Range, Microwave, Dishwasher, Refrigerator, Disposal		Bike Room/Bike Trails, Door Person, Coin Laundry, Commissary, Elevator, Exercise Room, Storage, Health Club, On Site Manager/Engineer, Sundeck, Pool-Indoors, Receiving Room, Restaurant, Sauna, Security Door Locks, Service Elevator, Steam Room, Valet/Cleaner, Whirlpool	Heat, Air Conditioning, Water, Gas, Common Insurance, Security, Doorman, TV/Cable, Clubhouse, Exercise Facilities, Pool, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal													TV-Cable, TV Antenna		Hardwood	Hardwood	None	Hardwood				15X8	17X10	10X07					Combined w/ LivRm		02/06/2009	04/23/2009	04/23/2009	05/27/2009	
AT	400	E	Randolph	ST	1429	Chicago	Illinois	60601	8032	Cook		299	299	944	Condo, High Rise (7+ Stories)		1963	07428260	CLSD		339750	335000	335000	339750	Conventional	N/A	99%	99%	6	6	17104000121225	No			4940	Homeowner	2008	842	No		No			14		1250					N (North), E (East), Park	5	2	2	0	2		2		2	Attached	None		Corner 1,250 sq.ft. 2br, 2ba w/balcony. Enjoy views of Navy Pier and Grant Park. Unit boasts beautiful Brazilian cherry hardwood flooring, open kitchen with white on white cabinetry and appliances, and separate dining area. The perfect home in the sky. Steps from Millenium Park, Navy Pier, North Michigan Ave., downtown. Come visit the new East Side.			Central Air	Hot Water/Steam		Storage	Yes	Oven/Range, Dishwasher, Refrigerator		Door Person, Coin Laundry, Elevator, Health Club, On Site Manager/Engineer, Sundeck, Pool-Indoors, Restaurant	Heat, Air Conditioning, Water, Common Insurance, Security, Doorman, TV/Cable, Clubhouse, Exercise Facilities, Pool, Exterior Maintenance				80			Carpet					Hardwood			Ceramic Tile	Hardwood	Full	Carpet	14X10			17X12	18X16	10X9		11X8			Combined w/ LivRm	Balcony, End Unit, Door Monitored By TV	01/29/2010	02/03/2010	02/03/2010	03/29/2010	
AT	400	E	RANDOLPH	ST	2318	Chicago	Illinois	60601	8032	Cook		299	299	940	Condo		1963	07146815	CLSD		299900	275000	275000	299900	Cash	N/A	92%	92%	67	67	17104000121484	No			864	Homeowner, Senior	2007	570	Yes		Yes			23	CONDO	825					N (North), City	4	1	1	0	1		1	0		Attached	None	None	RARELY AVAILABLE "18" TIER. LARGE BALCONY WITH NORTH VIEW OVER LOOKING PARK, DOME SWIMMING POOL AND SUNDECK. BEAUTIFUL OPEN KITCHEN WITH LIGHT WOOD CABINETS, GRANITE COUNTERS. HARDWOOD FLOORS AND MARBLE BATH.  FULL AMENITY BUILDING W/INDOOR POOL, HEALTH/RECREATION CENTER, SUNDECK,24 HOUR SECURITY,RESTAURANT & MUCH MORE. STEPS TO LAKEFRONT,GRANT/ MILLENNIUM PARKS & THE LOOP.COME SEE THE HOT "NEW EASTSIDE" NEIGHBORHOOD		2	Central Air	Gas, Forced Air, Indv Controls		Hardwood Floors, Storage		Oven/Range, Dishwasher, Refrigerator, Disposal		Bike Room/Bike Trails, Door Person, Coin Laundry, Commissary, Elevator, Exercise Room, Storage, Health Club, On Site Manager/Engineer, Party Room, Sundeck, Pool-Indoors, Receiving Room, Restaurant, Sauna, Security Door Locks, Service Elevator, Steam Room, Valet/Cleaner, Whirlpool	Heat, Air Conditioning, Water, Gas, Common Insurance, Security, Security System, Doorman, TV/Cable, Exercise Facilities, Pool, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal				80								Hardwood			Hardwood	Hardwood	None,Shared	Carpet				12X18	12X20	08X10		08X10			L-shaped	Balcony	02/27/2009	05/04/2009	05/04/2009	07/01/2009	
AT	400	E	RANDOLPH	ST	1520	Chicago	Illinois	60601	8032	Cook		299	299	944	Condo, High Rise (7+ Stories)		1968	07281687	CLSD		350000	332000	332000	350000	VA	N/A	95%	95%	4	4	17104000121246				2956	Homeowner, Senior	2007	853	Yes		No			15		1250					N (North), W (West), City, Park	5	2	2	0	2		2		2	Attached	None		CORNER 2 BR 2BA W/ FANTASTIC MILLENNIUM PARK & NEWEAST SIDE PARK VIEWS. 1250 SQFT, SEPERATE KITCHEN WITH PASS THROUGH. LARGE BALCONY. REMODELED HEALTH CLUB DUE TO OPEN IN THE FALL. ASSMT INCL: HEAT+AC+GAS+POOL+ HEALTH CLUB+ SECURITY +DR MAN+ SHUTTLE BUS TO LOOP AND MICH AVE & MORE! STEPS FROM MILLENNIUM AND GRANT PARKS, HARBOR, LAKE FRONT			Central Air	Gas		Storage				Bike Room/Bike Trails, Door Person, Coin Laundry, Commissary, Elevator, Exercise Room, Storage, Health Club, On Site Manager/Engineer, Party Room, Sundeck, Pool-Indoors, Receiving Room, Restaurant, Sauna, Service Elevator, Steam Room, Valet/Cleaner, Whirlpool	Heat, Air Conditioning, Water, Gas, Common Insurance, Security, Doorman, TV/Cable, Exercise Facilities, Pool, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal																	Full		14X10			18X12	18X16	11X9		11X9				Balcony, Master Antenna, End Unit, Door Monitored By TV	07/25/2009	07/28/2009	07/28/2009	09/10/2009	
AT	400	E	RANDOLPH	ST	1710	Chicago	Illinois	60601	8032	Cook		299	299	944	Condo, High Rise (7+ Stories)		1963	07176327	CLSD		369000	325000	325000	345000	Conventional	N/A	94%	88%	66	66	17104000121296	No		100	2983	Homeowner, Senior	2007	853	Yes		Yes			14		1250					N (North), E (East), City, Lake/Water	5	2	2	0	2		2			Attached	None		CORNER 2 BR/ 2BA WITH BEAUTIFUL LAKE VIEW. CHEF'S KITCHEN WITH SUBZERO FRIG, 42INCH  WOOD CABINETS. LARGE BALCONY. ASSMT INCL: HEAT,A/C, GAS COOKING, POOL,HEALTH CLUB, 24 HOUR SECURITY, DOORMAN, SHUTTLE BUS TO LOOP AND MICH AVE & MORE! VIEW FIREWORKS THIS SUMMER. STEPS FROM MILLENNIUM/GRANT PARKS, MONROE/DUSABLE HARBORS, LAKE FRONT AND NORTH MICHIGAN AVE SHOPPING.		2	Central Air	Gas		Hardwood Floors, Storage				Bike Room/Bike Trails, Door Person, Coin Laundry, Commissary, Elevator, Exercise Room, Storage, Health Club, On Site Manager/Engineer, Party Room, Sundeck, Pool-Indoors, Receiving Room, Restaurant, Sauna, Service Elevator, Steam Room, Valet/Cleaner, Whirlpool	Heat, Air Conditioning, Water, Gas, Common Insurance, Security, Doorman, TV/Cable, Exercise Facilities, Pool, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal				85													Full		14X10			18X12	18X16	11X9		11X9				Balcony, Master Antenna, End Unit, Door Monitored By TV	04/01/2009	06/05/2009	06/05/2009	07/15/2009	
AT	400	E	RANDOLPH	ST	2525	Chicago	Illinois	60601	8032	Cook		299	299	940	Condo		1963	07188881	CLSD		239000	232500	232500	239000	Cash	N/A	97%	97%	59	59	17104000121551	No		100	3165	None	2007	562	Yes		Yes			25	CONDO	860					E (East)	4	1	1	0	1		1	0	2	Attached	None	None	EAST FACING ONE BEDROOM WITH LARGE 18' BALCONY. LARGER MASTER BEDROOM. UNIT HAS EXCELLENT CLOSET SPACE. FULL AMENITY BUILDING W/INDOOR POOL, NEW STATE-OF-THE-ART HEALTH/RECREATION CENTER (AUG. 2009), SUNDECK,24 HOUR SECURITY,RESTAURANT & MUCH MORE. STEPS TO LAKEFRONT,GRANT/ MILLENNIUM PARKS & THE LOOP. COME SEE THE HOT "NEW EASTSIDE" NEIGHBORHOOD.			Central Air	Gas, Forced Air, Indv Controls		Storage		Oven/Range, Microwave, Refrigerator, Disposal		Bike Room/Bike Trails, Door Person, Coin Laundry, Commissary, Elevator, Exercise Room, Storage, Health Club, On Site Manager/Engineer, Park/Playground, Party Room, Sundeck, Pool-Indoors, Receiving Room, Restaurant, Sauna, Security Door Locks, Service Elevator, Steam Room, Valet/Cleaner, Whirlpool	Heat, Air Conditioning, Water, Gas, Common Insurance, Security, Security System, Doorman, TV/Cable, Clubhouse, Exercise Facilities, Pool, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal, Other				80								Carpet				Carpet	None,Full	Carpet				18X11	22X12	10X08		12X8			L-shaped	Balcony	04/15/2009	06/12/2009	06/12/2009	06/30/2009	
AT	400	E	Randolph	ST	3721	Chicago	Illinois	60601	8032	Cook		299	299	944	Condo, Studio		1963	07187621	CLSD		169000	167000	167000	169000	Conventional	N/A	99%	99%	4	4	17104000121907	No			2124	None	2007	385	No		No			37		650					E (East)	2	0	0	0	1		1		1	Attached	None		East facing with a slice of lake view guaranteed. This convertible studio has original kitchen and bath but is clean and fresh. FHA approved building with indoor pool, private bus and fitness center undergoing total renovation. Rental parking available. An enclave with lake, park and Michigan Avenue proximity.	30 minute free parking.		Central Air	Forced Air				Oven/Range, Refrigerator		Bike Room/Bike Trails, Door Person, Coin Laundry, Commissary, Elevator, Exercise Room, Storage, On Site Manager/Engineer, Party Room, Sundeck, Pool-Indoors, Receiving Room, Restaurant, Sauna, Service Elevator, Steam Room, Valet/Cleaner	Heat, Air Conditioning, Water, Gas, Common Insurance, Doorman, TV/Cable, Exercise Facilities, Pool, Scavenger																	None						11X18	08X09							04/14/2009	04/17/2009	04/17/2009	05/18/2009	
AT	400	E	RANDOLPH	ST	2909	Chicago	Illinois	60601	8032	Cook		299	299	942	Condo, High Rise (7+ Stories)		1963	07219340	CLSD		569000	540000	540000	569000	Cash	N/A	95%	95%	103	103	17104000121655	No			1364.36	Homeowner, Other, Senior	2007	876	Yes		No			29	N	1250					S (South), City, Lake/Water, Park	5	2	2	0	2		2	0		Attached	None	None	STUNNING SOUTH EAST CORNER TWO BEDROOM. LARGE BALCONY FACING SOUTH OVER MONROE HARBOR, GRANT/MILLENNIUM PARKS AND CITY SKYLINE. CHEF'S KITCHEN WITH VIKING RANGE AND SUBZERO FRIG. CORNER GAS FIREPLACE. BATHS ARE BEAUTIFULLY DECORATED WITH HIGH-END FIXTURES AND MARBLE. REAL HARDWOOD FLOORS THROUGHOUT. BUILDING HAS FIVE-YEAR CAPITAL RESERVE PLAN. NEW STATE-OF-THE ART HEALTH/RECREATION CENTER SEPT. 2009.	Building is FHA and VA approved CHI-238VA	2	Central Air	Gas		Hardwood Floors, Storage		Oven/Range, Microwave, Dishwasher, Refrigerator, Disposal		Bike Room/Bike Trails, Door Person, Coin Laundry, Elevator, Exercise Room, Storage, Health Club, On Site Manager/Engineer, Party Room, Sundeck, Pool-Indoors, Receiving Room, Restaurant, Sauna, Security Door Locks, Service Elevator, Steam Room, Valet/Cleaner, Whirlpool, Curbs/Gutters, Sidewalks, Street Lights, Street Paved	Heat, Air Conditioning, Water, Gas, Common Insurance, Security, Doorman, TV/Cable, Exercise Facilities, Pool, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal				82	Yes		Hardwood					Hardwood			Ceramic Tile	Hardwood	Full	Hardwood	14X10			18X12	18X16	11X9		9X11			Combined w/ LivRm	Balcony, End Unit	05/18/2009	08/28/2009	08/28/2009	10/30/2009	
AT	400	E	RANDOLPH	ST	2502	Chicago	Illinois	60601	8032	Cook		299	299	940	Condo, Studio		1963	07203924	CLSD		199000	187000	187000	199000	Conventional	N/A	94%	94%	643	88	17104000121528	No			2049	None	2007	396	Yes		No			25	CONDO	650					N (North)	4	1	1	0	1		1	0		Attached	None	None	Excellent Junior One Bedroom. New white kitchen with all white appliances and granite counters. All new bath with pedestal sink and designer fixtures. Wood laminate flooring in living area. Full amenity building with indoor pool, health club, restaurant, grocery store, and much more. Steps to Millennium / Grant Parks, Michigan Ave., State Street and the Lakefront. Come see the hot New Eastside neighborhood.	Building is FHA and VA approved CHI-238VA	2	Central Air	Gas, Forced Air, Hot Water/Steam, Indv Controls				Oven/Range, Dishwasher, Refrigerator, Disposal		Bike Room/Bike Trails, Door Person, Coin Laundry, Commissary, Elevator, Exercise Room, Storage, Health Club, On Site Manager/Engineer, Park/Playground, Party Room, Sundeck, Pool-Indoors, Receiving Room, Restaurant, Sauna, Security Door Locks, Service Elevator, Steam Room, Valet/Cleaner, Whirlpool	Heat, Air Conditioning, Water, Gas, Common Insurance, Security, Security System, Doorman, TV/Cable, Clubhouse, Exercise Facilities, Pool, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal				80	Yes												None	Hardwood				8X10	11X18	08X09		COMBO			Combined w/ LivRm		05/01/2009	07/27/2009	07/27/2009	08/20/2009	
AT	400	E	RANDOLPH	ST	3416	Chicago	Illinois	60601	8032	Cook		299	299	944	Condo		UNK	07214278	CLSD		167500	167500	167500	167500	Conventional	N/A	100%	100%	9	9	17104000121812				1103		2007	405	No		No			34		703						4	1	1	0	1		1		1		None		Large convertible studio offering an open floor plan with beautiful north facing views of the park and domed swimming pool. Upgraded kitchen w/granite counters,stainless steel appliances and 42" cabinets. Full amenity building with 24 hour doorman, indoor swimming, salon, grocery store, restaraunt and much more. Walking distance to Michigan Ave, the lake and museums. Special assessments paid.			Central Air	Gas						Bike Room/Bike Trails, Door Person, Exercise Room, Health Club	Heat, Air Conditioning, Water, Common Insurance, Security, Doorman, TV/Cable, Exercise Facilities, Pool, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal, Other																	None					10X14	11X18	08X09		COMBO			Combined w/ LivRm		05/12/2009	05/20/2009	05/20/2009	06/22/2009	
