TYP	Street #	CP	Str Name	Sfx	Unit #	City	State	Zip	Area	County	Subdivision	GS Dist	HS Dist	Tot # Units	Type DE/AT	# Stories	Yr Blt	MLS #	Stat	Contingency	Orig List Pr	LP/SP	Sold Pr	List Price	FIN	Short Sale/Foreclosed/Court Approved	SP:LP	SP:OLP	MT	LMT	PIN	Mult PINs	Addl Tax Info	% Common	Taxes	Tax Exemps	Tax Year	As/Asc Dues	MAF	Master Association Fee($)	Spec Assess	Special Service Area	Special Service Area Fee	Unit Fl No	Model	ASF	SF Source	Total SF	Main SF	Aprx Total Fin SF	Exposure	# Rms	Beds	All Beds	Bsmt. Beds	# Full Baths	# Half Baths	Baths	# Interior Fireplaces	#GSp	Garage Type	Bsmt	Basement Description	Remarks	Agent Remarks	# Parking Spaces	Air	Heat/Fuel	AAG	Interior Property Features	Is Parking Included in Price?	Appliances	Amen	Com Ar Amen	Asses Incl	Management Company	Management Contact Name	Management Phone	% Own Occ	Can Owner Rent	Parking Fee/Lease $	2nd Bdr Flr	3rd Bdr Flr	4th Bdr Flr	Deeded Garage Cost	Deeded Parking Cost	Din Flr	Equipment	Fam Rm Flr	Kit Flr	Liv Rm Flr	Mast Bd Bth	Mast Bd Flr	2nd Bdr Sz	3rd Bdr Sz	4th Bdr Sz	Mast Br Sz	Liv Rm Sz	Kit Sz	Fam Rm Sz	Din Sz	Additional Rooms	Bth Amen	Din Rm	Exterior Property Features	List Date	Contract Date	Off Mkt Dt	Closed Date	Acreage
AT	401	N	Wabash	AVE	43E	Chicago	Illinois	60611	8008	Cook	TRUMP TOWER CHICAGO	299	299	758	Condo, High Rise (7+ Stories)		2008	07141279	CLSD		545000	475000	475000	499999	Cash	N/A	95%	87%	134	134	17101350381099	No			NEW		2007	604	No		No			43		938					N (North), E (East), City	3	1	1	0	1	1	1.1	0	1	Attached	None	None	Best priced unit in Trump Tower! West and north facing 1BR/1.1BTH unit features a skyline view from 10ft floor-to-ceiling windows. Luxury finishes include Brazilian cherry flrs, chef's kitchen with Snaidero cabinets, Wolf & Miele apps, granite counters and full backsplash.  Master bth offers floor-to-ceiling natural stone and recessed Jacuzzi tub. Five star amenities include health club, spa and more. Parking $65K.			Central Air	Electric, Zoned		Hardwood Floors, Laundry Hook-Up in Unit, Storage		Oven/Range, Microwave, Dishwasher, Refrigerator, Freezer, Washer, Dryer, Disposal		Door Person, Elevator, Exercise Room, Storage, Health Club, On Site Manager/Engineer, Party Room, Pool-Indoors, Receiving Room, Restaurant, Sauna, Security Door Locks, Service Elevator, Valet/Cleaner, Curbs/Gutters, Sidewalks, Street Lights	Air Conditioning, Water, Common Insurance, Security, Doorman, TV/Cable, Exercise Facilities, Pool, Exterior Maintenance, Scavenger, Snow Removal													Fire Sprinklers, CO Detectors		Hardwood	Hardwood	Full	Hardwood				15X13	15X17	10X09				Whirlpool	Combined w/ LivRm		02/20/2009	07/03/2009	07/03/2009	07/27/2009	
AT	401	N	Wabash	AVE	55A	Chicago	Illinois	60611	8008	Cook	TRUMP TOWER CHICAGO	299	299	486	Condo, High Rise (7+ Stories)		2008	07168774	CLSD		2750000	2300000	2300000	2475000	Conventional	N/A	93%	84%	307	307	17304000110000	No			NEW		2007	1775	No		No			55		3080					N (North), E (East), W (West)	7	3	3	0	3	1	3.1	3	1		None	None	Prime NE tier with some W & S views- See the pier and fireworks and full Chicago skyline and Millennium Park! Fireplaces in Living Room, Den & Master, hard wood Floors throughout, 10Ft Floor To Ceiling Windows, Ultra Luxury Master Bath with Jacuzzi + sep. shower. Closets all outfitted. Room service + spa avail. from 5 Star Hotel. Parking avail. Ready to move right in!  We have other units at Trump not in the MLS!	This is the prime NE tier with spectacular views of the pier, architectural skyline, Millennium Park! Easy access to show!		Central Air	Electric, Zoned		Hardwood Floors, Storage	Yes			Bike Room/Bike Trails, Door Person, Elevator, Exercise Room, Storage, Health Club, On Site Manager/Engineer, Park/Playground, Party Room, Sundeck, Pool-Indoors, Receiving Room, Restaurant, Sauna, Service Elevator, Steam Room, Valet/Cleaner, Whirlpool	Water, Gas, Common Insurance, Doorman, TV/Cable, Exercise Facilities, Pool, Exterior Maintenance							Hardwood	Hardwood				Hardwood	TV-Cable, Fire Sprinklers, CO Detectors	Hardwood	Hardwood	Hardwood	Full	Hardwood	14X16	18X12		16X18	37X20	15X15	13X15	COMBO		Whirlpool, Separate Shower, Double Sink		Hot Tub, End Unit	03/24/2009	01/24/2010	01/24/2010	04/06/2010	
AT	401	N	WABASH	AVE	49A	Chicago	Illinois	60611	8008	Cook		299	299	758	High Rise (7+ Stories)		2008	07148858	CLSD		3150000	2800000	2800000	3150000	Cash	N/A	89%	89%	22	22	17101350351021				NEW	None	2007	2485	Yes		No			49		3948					N (North), S (South), E (East), City, Lake/Water	8	3	3	0	4	1	4.1	2	2	Attached	None		THE PINNACLE OF ONLY 9 HOMES AT 3,948 S.F. AT TRUMP INTERNATIONAL TOWER! 3 FIREPLACES!! 11FT. CEILINGS WITH STUPENDOUS VIEWS N,E,W FROM CURVED GLASS WALLS! WHITE-GLOVE SERVICES, ROOM SERVICE, WORLD CLASS SPA, SERVICE DE-LUXE AND ULTRA PAMPERING YOUR EVERY WHIM! HIGHLY RESTRICTED ACCESS-TENANT'S RIGHTS.$17,000/MO RENT TERMINATES 11/30/09.ADD 65K PER PRKG. VIEWING ONLY ON TUES.BETWEEN 1-3PM TO BE ADHERED TO.	SHOWINGS ONLY ON TUESDAYS BETWEEN 1-3PM. NO EXCEPTIONS PLS. SALE SUBJECT TO LEASE 17K/MO.		Central Air	Electric, Zoned				Oven/Range, Dishwasher, Refrigerator, Freezer, Washer, Dryer, Disposal		Bike Room/Bike Trails, Door Person, Elevator, Storage, Health Club, On Site Manager/Engineer, Pool-Indoors, Receiving Room, Restaurant, Sauna, Service Elevator, Steam Room, Valet/Cleaner	Air Conditioning, Water, Gas, Common Insurance, Security, Doorman, TV/Cable, Exercise Facilities, Pool, Exterior Maintenance, Scavenger, Snow Removal							Hardwood	Hardwood				Hardwood		Hardwood	Hardwood	Hardwood	Y	Hardwood	15X16	21X12		19X16	36X26	17X17	18X16	COMBO	Media Room	Whirlpool, Separate Shower	Combined w/ LivRm		03/02/2009	03/23/2009	03/23/2009	04/02/2009	
AT	401	N	Wabash	AVE	58C	Chicago	Illinois	60611	8008	Cook	TRUMP TOWER CHICAGO	299	299	486	Condo, High Rise (7+ Stories)		2008	07161085	CLSD		565000	565000	565000	510000	Cash	N/A	111%	100%	53	42	17340001100000				NEW	None	2007	593	No		No			58		934					N (North), W (West), City	3	1	1	0	1	1	1.1		1	Attached	None	None	Best Priced 1 Bed, 1.5 Bath At Trump.CLEARS IBM BUILDING BESIDES!  Dramatic Lake & City Vistas From 10' Floor-To-Ceiling Glass. Exquisite Finishes Include Snaidero, Miele, Wolf & Sub Zero Stainless Steel. Luxury Marble Bath Includes Whirlpool & Separate Shower. Hardwood Floors Throughout. Spa Included. Luxury Living With 5 Star Amenities! 1 Parking extra Light kitchen and marble bath UNBELIEVABLE VALUE	NCNC READY FOR CLOSING. Tricia Fox sells Trump! up to 40% below developer prices. Easy to show 312-446-7373		Central Air	Electric, Zoned				Oven/Range, Microwave, Dishwasher, Refrigerator, Freezer, Washer, Dryer, Disposal		Bike Room/Bike Trails, Door Person, Elevator, Exercise Room, Storage, Health Club, Park/Playground, Pool-Indoors, Receiving Room, Restaurant, Sauna, Curbs/Gutters, Gated Entry, Sidewalks, Street Lights	Water, Common Insurance, Doorman, TV/Cable, Exercise Facilities, Pool, Exterior Maintenance, Scavenger, Snow Removal												Hardwood	TV-Cable, Fire Sprinklers, CO Detectors		Hardwood	Hardwood	Full	Hardwood				14X18	14X18	9X14		COMBO	Gallery	Whirlpool, Separate Shower	Combined w/ LivRm		03/16/2009	04/26/2009	04/26/2009	05/19/2009	
AT	401	N	WABASH	AVE	30B	Chicago	Illinois	60611	8008	Cook	TRUMP TOWER CHICAGO	299	299	486	Condo, Studio		2008	07163963	CLSD		539450	498278	498278	539450	Cash	N/A	92%	92%	156	156	17101350320000	No			NEW	None	2007	461	Yes		No			30		580					N (North), E (East), W (West), Lake/Water	2	0	0	0	1		1				None		LUXURY TRUMP STUDIO BEAUTIFULLY FURNISHED AND READY TO MOVE IN. FURNITURE INCLUDED IN PURCHASE PRICE. STUNNING VIEW OF LAKE & CITY. DAZZLING CITY LIGHTS BY NIGHT. 10' CEILING, HARDWOOD FLOORS, SNAIDERO KITCHEN, SS APPLIANCES, WASHER/DRYER. ENJOY THE 5 STAR AMENITIES OF TRUMP HOTEL. ROOM SERVICE, MAID SERVICE. WORLD CLASS HEALTH & TRUMP SPA. FURNISHED DOWN TO THE SILVERWARE. READY TO MOVE IN. GREAT PACKAGE PRICE.			Central Air, Zoned	Electric, Zoned		Hardwood Floors		Oven/Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer, Compactor-Trash		Bike Room/Bike Trails, Door Person, Elevator, Exercise Room, Storage, Health Club, Park/Playground, Pool-Indoors, Receiving Room, Restaurant, Sauna	Air Conditioning, Water, Common Insurance, Doorman, TV/Cable, Exercise Facilities, Pool, Exterior Maintenance													TV-Cable, Fire Sprinklers		Hardwood	Hardwood	None,Full						17X17	10X5				Whirlpool			03/17/2009	08/19/2009	08/19/2009	08/21/2009	
AT	401	N	WABASH	AVE	57G	Chicago	Illinois	60610	8008	Cook		299	299	486	Condo, High Rise (7+ Stories)		2008	07187357	CLSD		899000	839500	839500	899000	Conventional	N/A	93%	93%	11	11	17304000110000	No			NEW	None	2007	901	Yes		No			57		1419					E (East)	4	1	1	0	1	1	1.1	1	1		None	None	LOW LOW PRICE FOR LARGEST EAST FACING 1 BED WITH UNOBSTRUCTED WATER VIEW FOREVER! SOUGHT AFTER 1419 SQ FT OF LUXURY SPACE OFFERS WRAP AROUND VIEWS OF THE LAKE, RIVER AND THE BEAN! ALL THE EXQUISITE FINISHES YOU HAVE COME TO EXPECT AT TRUMP TOWER INCLUDING HARDWOOD FLR, ALL STONE BTHS, ITALIAN CHERRY KIT CABS, 10' CEILINGS AND FLOOR TO CEILING GLASS. WORLD CLASS HEALTH CLUB & GYM W/72' POOL. 1 PARKING INCLUDED!	LOWEST PRICE IN BLDG FOR THIS PREFERRED EAST LARGE 1 BED. CALL FOR APPOINTMENT. THIS WON'T LAST AT THIS PRICE! "A" FINISH PACKAGE. CHERRY CABS, WALNUT FLOORS.		Central Air, Zoned	Electric		Laundry Hook-Up in Unit, Storage		Oven/Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer, Disposal		Bike Room/Bike Trails, Door Person, Elevator, Exercise Room, Storage, Health Club, On Site Manager/Engineer, Park/Playground, Pool-Indoors, Receiving Room, Restaurant, Sauna, Steam Room, Valet/Cleaner	Water, Gas, Doorman, TV/Cable, Exercise Facilities, Pool, Exterior Maintenance, Scavenger, Snow Removal				85								Hardwood	TV-Cable, Fire Sprinklers, CO Detectors		Hardwood	Hardwood	Full	Hardwood				18X16	24X20	14X8		COMBO		Whirlpool, Separate Shower, Double Sink	Combined w/ LivRm	End Unit	04/13/2009	04/23/2009	04/23/2009	06/17/2009	
AT	401	N	WABASH	AVE	61F	Chicago	Illinois	60611	8008	Cook		299	299	758	Condo, High Rise (7+ Stories)		2008	07187039	CLSD		1295000	1150000	1150000	1150000	Cash	N/A	100%	89%	173	173	17304000110000				NEW	None	2007	1254	No		No			61		1837					S (South), E (East)	5	2	2	0	2	1	2.1	1	1		None		FABULOUS PRICE FOR A FABULOUS 2BR/2.5 BATH HOME IN TRUMP TOWER. GREAT RESALE WITH STUNNING PANORAMIC SOUTH EAST VIEWS OF CHICAGO'S FINEST ARCHITECTURE AS WELL AS THE LAKEFRONT & RIVER. FLOOR TO CEILING WINDOWS SHOWCASE THE VIEWS. SNAIDERO CABS, MIELE, WOLF & SUB-ZERO APPLS, GRANITE COUNTERTOPS. SPA AND HEALTHCLUB-ALL THE FINEST, INDOOR POOL PLUS 5 STAR AMENITIES & MUCH MORE. PET FRIENDLY.  DEEDED PARKING FOR ADDTL.	SUBJECT TO DEVELOPER CLOSING - CALL GAIL FOR INFO		Central Air	Electric, Zoned		Hardwood Floors, Laundry Hook-Up in Unit, Storage		Oven/Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer, Disposal		Door Person, Elevator, Exercise Room, Storage, Health Club, On Site Manager/Engineer, Pool-Indoors, Restaurant, Sauna, Service Elevator, Valet/Cleaner, Curbs/Gutters, Sidewalks, Street Lights	Heat, Air Conditioning, Water, Gas, Common Insurance, Security, Doorman, TV/Cable, Exercise Facilities, Pool, Exterior Maintenance, Scavenger, Snow Removal							Hardwood					Hardwood			Hardwood	Hardwood	Full	Hardwood	13X12			17X13	28X16	13X10		COMBO		Separate Shower, Double Sink			04/13/2009	10/02/2009	10/02/2009	10/26/2009	
AT	401	N	Wabash	AVE	47G	Chicago	Illinois	60611	8008	Cook	TRUMP TOWER CHICAGO	299	299	758	Condo, High Rise (7+ Stories)		2008	07186844	CLSD		1650000	1449000	1449000	1500000	Cash	N/A	97%	88%	3	3	17304000110000				NEW	None	2007	1501	No		No			47		2754					E (East), City, Lake/Water	5	2	2	0	3		3	0	1		None	None	Best price in tier! Trump home features gracious 2700sf. Start by entering an open hall to showcase your museum quality art. Enter a lifestyle of the rich and famous. The gracious living room boasts a frpl, wrap-around lake, city skyline & river views seen out your 10ft floor to ceiling windows. Master offers frpl, bath w/jacuzzi, split sinks. 11ft clngs. Concierge, door staff, indoor 23000sf spa+lap pool. pk$55 each	$544/SF YOU CANNOT GET A BETTER BUY AT TRUMP. CLOSING IN 20 DAYS! Tricia Fox sells Trump! Many private listings, some up to 40% under Developer Prices. Call for details. 312-446-7373		Central Air	Electric, Zoned		Hardwood Floors, Laundry Hook-Up in Unit, Storage		Oven/Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer, Disposal		Storage, Health Club, On Site Manager/Engineer, Pool-Indoors, Receiving Room, Restaurant, Sauna, Service Elevator, Valet/Cleaner, Curbs/Gutters, Sidewalks, Street Lights	Air Conditioning, Water, Common Insurance, Security, Doorman, TV/Cable, Exercise Facilities, Exterior Maintenance, Scavenger, Snow Removal							Carpet						TV-Cable, Fire Sprinklers, CO Detectors		Hardwood	Hardwood	Full	Carpet	15X14			16X19	29X24	13X14		COMBO	Den	Whirlpool	Combined w/ LivRm		04/13/2009	04/15/2009	04/15/2009	07/07/2009	
AT	401	N	Wabash	AVE	58B	Chicago	Illinois	60611	8008	Cook	Trump Tower Chicago	299	299	486	Condo		2008	07199036	CLSD		558000	530000	530000	558000	Cash	N/A	95%	95%	25	25	17101350381833				NEW		2007	632	No		No			58		923					N (North), E (East), W (West), City, Lake/Water	3	1	1	0	1	1	1.1		1	Attached	None		Va..Va..Va..Voom! What could be more exciting than living in Trump Tower? Beautiful 1br,1.1 bath that includes the deeded garage space! Incredible unobstructed north, east, west and city views!  Snaidero, Miele, Wolf and Sub Zero, washer/dryer.  Cherry kit cabinets, light granite, marble & limestone baths, hrdwd flrs. Indoor pool, spa, state of the art gym, restaurant, & room service..isn't that what everyone wants!	Assignment of contract.   Deeded garage included in the price.  Agent owned.		Central Air	Electric, Zoned		Hardwood Floors, Laundry Hook-Up in Unit		Oven/Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer, Disposal		Bike Room/Bike Trails, Door Person, Elevator, Exercise Room, Storage, Health Club, On Site Manager/Engineer, Pool-Indoors, Receiving Room, Restaurant, Sauna, Security Door Locks, Service Elevator, Valet/Cleaner, Whirlpool	Heat, Water, Common Insurance, Security, Doorman, Exercise Facilities, Pool, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal					Yes								Fire Sprinklers, CO Detectors		Hardwood	Hardwood	Full					12X12	17X14	9X9				Whirlpool, Separate Shower		Storms/Screens	04/27/2009	05/21/2009	05/21/2009	06/05/2009	
AT	401	N	WABASH	AVE	2018	Chicago	Illinois	60611	8008	Cook	TRUMP TOWER CHICAGO	299	299	333	Condo, Studio		2007	07203984	CLSD		469770	350000	350000	350000	Cash	S	100%	75%	244	244	17304000110000	No			NEW	None	2007	1100	Yes		No			20	KINGSTUDIO	604					N (North), W (West)	1	0	0	0	1		1	0			None	None	Least Expensive hotel room in the building. Ultra luxury defines Trump Chicago, w/floor to ceiling  windows, unprecedented views of Lake Michigan, Chicago River & City Skyline. Exquisite Furnishings, flat screen TVs, fully equipped kit w/Granite, Snaidero cabs, Sub-Zero & Miele SS appls.World Class Amen. & Srvcs, State of the Art Health Club & Spa, 75ft Indoor Pool, The "16" Rest, rebar cocktail lounge & much more.	CC: Pursuant to Short Sale. 		Central Air	Electric		Elevator		Oven/Range, Microwave, Dishwasher, Refrigerator-Bar		Bike Room/Bike Trails, Door Person, Elevator, Exercise Room, Health Club, On Site Manager/Engineer, Pool-Indoors, Restaurant, Sauna, Security Door Locks, Service Elevator, Valet/Cleaner, Curbs/Gutters, Sidewalks, Street Lights, Street Paved	Air Conditioning, Water, Common Insurance, Security, Doorman, TV/Cable, Exercise Facilities, Pool, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal	Trump	Adora	(312) 588-8081													Carpet	Full						15X23							Hot Tub	05/01/2009	12/30/2009	12/30/2009	01/29/2010	
