TYP	Street #	CP	Str Name	Sfx	Unit #	City	State	Zip	Area	County	Subdivision	GS Dist	HS Dist	Tot # Units	Type DE/AT	# Stories	Yr Blt	MLS #	Stat	Contingency	Orig List Pr	LP/SP	Sold Pr	List Price	FIN	Short Sale/Foreclosed/Court Approved	SP:LP	SP:OLP	MT	LMT	PIN	Mult PINs	Addl Tax Info	% Common	Taxes	Tax Exemps	Tax Year	As/Asc Dues	MAF	Master Association Fee($)	Spec Assess	Special Service Area	Special Service Area Fee	Unit Fl No	Model	ASF	SF Source	Total SF	Main SF	Aprx Total Fin SF	Exposure	# Rms	Beds	All Beds	Bsmt. Beds	# Full Baths	# Half Baths	Baths	# Interior Fireplaces	#GSp	Garage Type	Bsmt	Basement Description	Remarks	Agent Remarks	# Parking Spaces	Air	Heat/Fuel	AAG	Interior Property Features	Is Parking Included in Price?	Appliances	Amen	Com Ar Amen	Asses Incl	Management Company	Management Contact Name	Management Phone	% Own Occ	Can Owner Rent	Parking Fee/Lease $	2nd Bdr Flr	3rd Bdr Flr	4th Bdr Flr	Deeded Garage Cost	Deeded Parking Cost	Din Flr	Equipment	Fam Rm Flr	Kit Flr	Liv Rm Flr	Mast Bd Bth	Mast Bd Flr	2nd Bdr Sz	3rd Bdr Sz	4th Bdr Sz	Mast Br Sz	Liv Rm Sz	Kit Sz	Fam Rm Sz	Din Sz	Additional Rooms	Bth Amen	Din Rm	Exterior Property Features	List Date	Contract Date	Off Mkt Dt	Closed Date	Acreage
AT	545	N	DEARBORN	ST	1810	Chicago	Illinois	60610	8008	Cook		299	299	283	Condo		2003	07131785	CLSD		375000	340000	340000	355000	Conventional	N/A	96%	91%	123	123	17092410361106	No			4329	Homeowner	2007	501	No		No			28		1000					S (South), E (East), City, Lake/Water	3	1	1	0	1		1		1	Attached	None		LARGEST 1 BED IN THE BUILDING.  GREAT VIEWS OF THE CITY AND OVER LOOKS OUTDOOR POOL AND SUNDECK AREA.  NO BUILDINGS WILL EVER TAKE AWAY YOUR SOUTHERN LIGHT.  SKYLINE VIEWS FROM EVERY ROOM.  LARGE COHESIVE SPACE - GREAT DINNING ROOM AREA, OVERSIZED DECK, MASSIVE MASTER CLOSET, STORAGE ROOM IN THE UNIT, W/D. KITCHEN IS OPEN TO DINING AND LIVING ROO. JEWEL, POOL, LARGE SUNDECK AND GYM IN THE BUILDING. FEES PAY BILLS	GREAT AS AN IN-TOWN.  POOL, GREAT GYM, DOMINICS.  BY ALL THE SHOPPING.  BULDING HAS 50,000 SQFT OF COMMON SPACE.		Central Air	Forced Air				Oven/Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer		Bike Room/Bike Trails, Door Person, Elevator, Exercise Room, Storage, Health Club, On Site Manager/Engineer, Park/Playground, Party Room, Sundeck, Pool-Outdoors, Receiving Room, Sauna, Security Door Locks, Steam Room	Heat, Air Conditioning, Water, Common Insurance, Security, Doorman, TV/Cable, Clubhouse, Exercise Facilities, Pool, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal, Other															Ceramic Tile	Carpet	Y	Carpet				16X13	22X14	10X9		COMBO			Combined w/ LivRm		02/10/2009	06/12/2009	06/12/2009	07/01/2009	
AT	545	N	DEARBORN	ST	2810	Chicago	Illinois	60610	8008	Cook		299	299	283	Condo		2003	07174476	CLSD		369900	347000	347000	369000	Conventional	N/A	94%	94%	43	43	17092410330000				5605		2007	595	Yes		No			28		900					S (South)	3	1	1	0	1		1				None		UNIQUE BUYERS OPPORTUNITY!... LARGEST ONE BEDROOM WITH MAGNIFICENT CITY VIEW FROM OVERSIZED BALCONY. OPEN KITCHEN, BREAKFAST BAR, IN UNIT WASHER/DRYER. CLUB FLOOR WITH POOL, DECK, TRACK, BUSINESS CENTER & MEDIA ROOM. PRICED FOR IMMEDIATE SALE WITH THE INCENTIVE OF A FLAT SCREEN T.V.  THIS UNIT IS BELOW DEVELOPER PRICING!  SHORT NOTICE OK.PARKING AVAILABLE FOR PURCHASE OR RENT IN BLDG.	BELOW DEVELOPER PRICING FOR SAME UNIT.  THIS IS A GREAT VALUE FOR YOUR BUYER.		Central Air	Forced Air				Oven/Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer		Bike Room/Bike Trails, Door Person, Elevator, Exercise Room, Storage, Sundeck, Pool-Outdoors, Receiving Room	Heat, Doorman, Exercise Facilities, Pool, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal															Ceramic Tile	Carpet	Y	Carpet				16X13	22X14	10X9					Combined w/ LivRm		03/30/2009	05/11/2009	05/11/2009	06/19/2009	
AT	545	N	DEARBORN	ST	3303	Chicago	Illinois	60610	8008	Cook	Grand Plaza	299	299	283	Condo		2003	07178651	CLSD		505900	319860	319860	319860	FHA	N/A	100%	63%	97	97	17092410351261	Yes			NEW		2007	721	No		No			33	1BR	965					N (North), W (West), City	3	1	1	0	1		1	1	1	Attached	None	None	ONE BEDROOM PENTHOUSE! Unique corner home with floor to ceiling windows and spectacular city views. Granite counters, stainless steel appliances and gas fireplace compliment this one of a kind residence. Includes 50,000 sq. ft. club floor with outdoor running track, State of the art fitness center, 3 astro turf golf greens, basketball court, library, café, business center and indoor/outdoor pool.	EARN AN ADDITIONAL 1.5% COMMISSION FOR CONTRACTS WRITTEN ON OR BEFORE SEPTEMBER 15, 2009! BANK APPROVED PRICE REDUCTION FOR FINAL CLOSEOUT!! LAST OF DEVELOPER INVENTORY!		Central Air	Gas		Laundry Hook-Up in Unit		Oven/Range, Microwave, Dishwasher, Refrigerator, Freezer, Washer, Dryer		Door Person, Elevator, Exercise Room, Health Club, On Site Manager/Engineer, Party Room, Sundeck, Pool-Indoors, Pool-Outdoors, Receiving Room, Sauna, Service Elevator, Valet/Cleaner, Whirlpool	Heat, Air Conditioning, Water, Gas, Common Insurance, Doorman, TV/Cable, Exercise Facilities, Pool, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal												Carpet	TV-Cable, Fire Sprinklers		Ceramic Tile	Carpet	None,Full					11X16	20X18			14X13			Combined w/ LivRm	Balcony, Storms/Screens, Grill-Outdoors	04/03/2009	07/08/2009	07/08/2009	08/28/2009	
AT	545	N	DEARBORN	ST	3003	Chicago	Illinois	60610	8008	Cook		299	299	283	Condo		2003	07181586	CLSD		380900	259828	259828	259828	Conventional	N/A	100%	68%	88	88	17092410351231	Yes			4957	None	2007	543	No		No			30	1BR	818					N (North), W (West), City	3	1	1	0	1		1	0	1	Attached	None	None	Great 1BR home. Large balcony with N view.  Washer/Dryer in unit.  Resort style living all within a 50,000 square foot club floor.  Amenities include outdoor pool and running track / putting greens / BBQ pits / full fitness center / business center / billards room / steam-sauna room / basketball court.  Broker must accompany on 1st visit.	EARN AN ADDITIONAL 1.5% COMMISSION FOR CONTRACTS WRITTEN ON OR BEFORE SEPTEMBER 15, 2009! BANK APPROVED PRICE REDUCTION FOR FINAL CLOSEOUT!! LAST OF DEVELOPER INVENTORY!!		Central Air	Gas		Laundry Hook-Up in Unit		Oven/Range, Microwave, Dishwasher, Refrigerator, Freezer, Washer, Dryer		Door Person, Elevator, Exercise Room, Health Club, On Site Manager/Engineer, Party Room, Sundeck, Pool-Indoors, Pool-Outdoors, Receiving Room, Sauna, Service Elevator, Valet/Cleaner, Whirlpool	Heat, Air Conditioning, Water, Gas, Common Insurance, Doorman, TV/Cable, Exercise Facilities, Pool, Scavenger, Snow Removal													TV-Cable, Fire Sprinklers		Ceramic Tile	Carpet	None,Full	Carpet				11X16	14X18			COMBO			Combined w/ LivRm	Balcony, Storms/Screens, Grill-Outdoors	04/07/2009	07/03/2009	07/03/2009	08/21/2009	
AT	545	N	DEARBORN	ST	3203	Chicago	Illinois	60610	8008	Cook		299	299	283	Condo		2003	07181659	CLSD		500600	384793	384793	470600	Cash	N/A	82%	77%	81	81	17092410361253	Yes			6362	None	2007	697	No		No			32	1BR	950					N (North), W (West), City	3	1	1	0	1		1	1	1	Attached	None	None	ONE BEDROOM PENTHOUSE! Unique corner home with floor to ceiling windows and spectacular city views including a huge blacony. Granite counters, stainless steel appliances and gas fireplace compliment this one of a kind residence. Includes 50,000 sq. ft. club floor with outdoor running track, State of the art fitness center, 3 astro turf golf greens, basketball court, library, café, business center and outdoor pool	BANK APPROVED PRICE REDUCTION FOR FINAL CLOSEOUT!! LAST OF DEVELOPER INVENTORY!		Central Air	Gas		Laundry Hook-Up in Unit		Oven/Range, Microwave, Dishwasher, Refrigerator, Freezer, Washer, Dryer		Door Person, Elevator, Exercise Room, Health Club, On Site Manager/Engineer, Party Room, Sundeck, Pool-Indoors, Pool-Outdoors, Receiving Room, Sauna, Service Elevator, Valet/Cleaner, Whirlpool	Heat, Air Conditioning, Water, Gas, Common Insurance, Doorman, TV/Cable, Exercise Facilities, Pool, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal												Carpet	TV-Cable, Fire Sprinklers		Ceramic Tile	Carpet	None,Full					11X16	20X13			14X13			Combined w/ LivRm	Balcony, Storms/Screens, Grill-Outdoors	04/07/2009	06/26/2009	06/26/2009	08/13/2009	
AT	545	N	DEARBORN	ST	3101	Chicago	Illinois	60610	8008	Cook		299	299	283	Condo		2003	07198443	CLSD		521900	440000	440000	439898	Conventional	N/A	100%	84%	68	68	17092410361240	Yes			7319	None	2007	801	No		No			31	2BR	1310					N (North), W (West), City	3	2	2	0	2		2	1	1	Attached	None	None	Corner unit w/great views/2 large balconies/lrg closets/Enjoy resort like amenities: 50,000 Sq. Ft. club flr/w-outdoor pool/running track/putting greens/bb pit/business ctr/media room/winter atrium garden/steam&sauna/basketball ct/fitness ctr/ & more. Broker must accmpny client on 1st initial visit	EARN AN ADDITIONAL 1.5% COMMISSION FOR CONTRACTS WRITTEN ON OR BEFORE SEPTEMBER 15, 2009! BANK APPROVED PRICE REDUCTION FOR FINAL CLOSEOUT!! LAST OF DEVELOPER INVENTORY!		Central Air	Gas		Laundry Hook-Up in Unit		Oven/Range, Microwave, Dishwasher, Refrigerator, Freezer, Washer, Dryer		Door Person, Elevator, Exercise Room, Health Club, On Site Manager/Engineer, Party Room, Sundeck, Pool-Indoors, Pool-Outdoors, Receiving Room, Sauna, Service Elevator, Valet/Cleaner, Whirlpool	Heat, Air Conditioning, Water, Gas, Common Insurance, Doorman, TV/Cable, Exercise Facilities, Pool, Scavenger, Snow Removal							Carpet						TV-Cable, Fire Sprinklers		Ceramic Tile	Hardwood	Full	Carpet	14X10			12X13	13X21			COMBO			Combined w/ LivRm	Balcony, Storms/Screens, Grill-Outdoors	04/26/2009	07/02/2009	07/02/2009	09/16/2009	
AT	545	N	DEARBORN	ST	3102	Chicago	Illinois	60610	8008	Cook		299	299	283	Condo		2003	07198440	CLSD		363900	265820	265820	265820	Conventional	N/A	100%	73%	69	69	17092410361241	Yes			5058	None	2007	555	No		No			31	1BR	826					N (North), W (West), City	3	1	1	0	1		1	0	1	Attached	None	None	Great 1BR home. Large balcony with N view.  Resort style living all within a 50,000 square foot club floor.  Amenities include outdoor pool and running track / putting greens / BBQ pits / full fitness center / business center / billards room / steam-sauna room / basketball court.  Broker must accompany on 1st visit.	EARN AN ADDITIONAL 1.5% COMMISSION FOR CONTRACTS WRITTEN ON OR BEFORE SEPTEMBER 15, 2009! BANK APPROVED PRICE REDUCTION FOR FINAL CLOSEOUT!! LAST OF DEVELOPER INVENTORY!		Central Air	Gas		Laundry Hook-Up in Unit		Oven/Range, Microwave, Dishwasher, Refrigerator, Freezer, Washer, Dryer		Door Person, Elevator, Exercise Room, Health Club, On Site Manager/Engineer, Party Room, Sundeck, Pool-Indoors, Pool-Outdoors, Receiving Room, Sauna, Service Elevator, Valet/Cleaner, Whirlpool	Heat, Air Conditioning, Water, Gas, Common Insurance, Doorman, TV/Cable, Exercise Facilities, Pool, Scavenger, Snow Removal													TV-Cable, Fire Sprinklers		Ceramic Tile	Carpet	None,Full	Carpet				11X16	14X18			COMBO			Combined w/ LivRm	Balcony, Storms/Screens, Grill-Outdoors	04/26/2009	07/03/2009	07/03/2009	08/19/2009	
AT	545	N	DEARBORN		1209	Chicago	Illinois	60610	8008	Cook		299	299	283	Condo		2003	07225636	CLSD		345000	310000	310000	330000	Conventional	N/A	94%	90%	308	308	17092410351039	No			4050		2008	434	No		No			12	1BR	818					S (South)	3	1	1	0	1		1		1	Attached	None		SOUTH FACING HIGHLY UPGRADED 1 BD W/ BREATHTAKING CITY VIEWS! UNIT FEATURES: HARDWOOD FLRS, OPEN KITCHEN W/ STAINLESS APPLS & GRANITE COUNTERS, VESSEL SINK IN BATH, PRVT BALCONY, IN-UNIT W/D, WALK-IN BDRM CLOSET & MUCH MORE. ASSESMENTS INCL HEAT, AIR, GAS, CABLE & INTERNET! BLDG AMENITIES INCL: 24 HR DOORMAN, OUTDR POOL & SUNDECK, FITNESS CENTER, JACUZZI, TRACK, MEDIA CENTER & BUS CENTER.  A MUST SEE!	This was an in town unit for my client.   Reasonable seller understands that market has changed. Furnishings for Sale		Central Air	Gas			No	Oven/Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer		Door Person, Elevator, Exercise Room, Health Club, On Site Manager/Engineer, Party Room, Sundeck, Pool-Indoors, Pool-Outdoors, Sauna, Steam Room, Whirlpool	Heat, Air Conditioning, Water, Gas, Doorman, TV/Cable, Exercise Facilities, Pool, Scavenger, Snow Removal, Other				80											Hardwood	Hardwood	None	Carpet				11X16	14X18	11X8					Combined w/ LivRm		05/26/2009	03/29/2010	03/29/2010	04/23/2010	
AT	545	N	DEARBORN	ST	1007	Chicago	Illinois	60610	8008	Cook		299	299	283	Condo, High Rise (7+ Stories)		2003	07237832	CLSD		429000	385000	385000	429000	Conventional	N/A	90%	90%	91	19	17092410361015	No			6200		2007	611	No		No			10	2 BR	1198					N (North), W (West)	4	2	2	0	2		2	0			None	None	TWO BED TWO BATH UNIT WITH SOUTH CITY SKYLINE VIEW.  HOTEL LIKE  AMENTIES.  RIGHT OFF MAG MILE. 50,000 SQFT CLUB FLOOR WITH OUTDR RUN TRACK, SPACIOUS SUNDCK W/PL, FITNESS CNTR, PRTY RM, BSNS CNTR WINTER ATRIUM GARDEN & STM RM/SAUNA, AND MORE.	Financing available. Perfect opportunity for a first time buyer.		Central Air	Gas, Forced Air		Laundry Hook-Up in Unit		Oven/Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer		Bike Room/Bike Trails, Door Person, Elevator, Exercise Room, Health Club, On Site Manager/Engineer, Party Room, Sundeck, Pool-Indoors, Pool-Outdoors, Receiving Room, Sauna, Service Elevator, Steam Room, Valet/Cleaner, Whirlpool	Heat, Air Conditioning, Water, Gas, Common Insurance, Security, Doorman, TV/Cable, Exercise Facilities, Pool, Exterior Maintenance, Scavenger, Snow Removal							Carpet						Fire Sprinklers		Ceramic Tile	Carpet	Full	Carpet	14X10			13X12	13X22	11X8						Balcony	06/07/2009	06/25/2009	06/25/2009	07/15/2009	
AT	545	N	DEARBORN	ST	2510	Chicago	Illinois	60654	8008	Cook		299	299	283	Condo		2003	07248962	CLSD		364900	340000	340000	364900	Conventional	N/A	93%	93%	75	75	17092410361183				4937.12		2007	551	Yes		No			25		1000					S (South)	4	1	1	0	1		1		1		None		LARGEST 1BR IN THE BLDG W/MOST DESIRABLE FLRPLN. GREAT UNOBSTRUCTED VIEW W/SOUTHERN EXPOSURE & VIEW OF POOL. EXPANSIVE FLRPLN W/ROOM FOR DINING AND OFFICE! WHITE KITCHEN WITH BRKFST BAR THAT OPENS TO LIVING RM. LRG PANTRY & W/D. HUGE MSTR W/LRG CLOSET. HRD WOOD FLRS. FRESH PAINT AND IN GREAT CONDITION! ASSM INCLUDE ALL AMENITIES & MOST UTILITIES! EXCELLENT LOCATION WITH JEWEL IN BLDG. SHOPPING, RESTAURANTS & LAKE.	ONLY UNIT W/THIS FLOOR PLAN. ALL OTHER UNDER CONTRACT.		Central Air	Gas				Oven/Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer		Door Person, Elevator, Exercise Room, Storage, Party Room, Sundeck, Pool-Outdoors	Heat, Air Conditioning, Water, Gas, TV/Cable, Exercise Facilities, Pool, Scavenger												Wood Laminate			Wood Laminate	Wood Laminate	None	Wood Laminate				16X13	22X14	10X9		COMBO			Combined w/ LivRm		06/18/2009	08/31/2009	08/31/2009	08/31/2009	
