TYP	Street #	CP	Str Name	Sfx	Unit #	City	State	Zip	Area	County	Subdivision	GS Dist	HS Dist	Tot # Units	Type DE/AT	# Stories	Yr Blt	MLS #	Stat	Contingency	Orig List Pr	LP/SP	Sold Pr	List Price	FIN	Short Sale/Foreclosed/Court Approved	SP:LP	SP:OLP	MT	LMT	PIN	Mult PINs	Addl Tax Info	% Common	Taxes	Tax Exemps	Tax Year	As/Asc Dues	MAF	Master Association Fee($)	Spec Assess	Special Service Area	Special Service Area Fee	Unit Fl No	Model	ASF	SF Source	Total SF	Main SF	Aprx Total Fin SF	Exposure	# Rms	Beds	All Beds	Bsmt. Beds	# Full Baths	# Half Baths	Baths	# Interior Fireplaces	#GSp	Garage Type	Bsmt	Basement Description	Remarks	Agent Remarks	# Parking Spaces	Air	Heat/Fuel	AAG	Interior Property Features	Is Parking Included in Price?	Appliances	Amen	Com Ar Amen	Asses Incl	Management Company	Management Contact Name	Management Phone	% Own Occ	Can Owner Rent	Parking Fee/Lease $	2nd Bdr Flr	3rd Bdr Flr	4th Bdr Flr	Deeded Garage Cost	Deeded Parking Cost	Din Flr	Equipment	Fam Rm Flr	Kit Flr	Liv Rm Flr	Mast Bd Bth	Mast Bd Flr	2nd Bdr Sz	3rd Bdr Sz	4th Bdr Sz	Mast Br Sz	Liv Rm Sz	Kit Sz	Fam Rm Sz	Din Sz	Additional Rooms	Bth Amen	Din Rm	Exterior Property Features	List Date	Contract Date	Off Mkt Dt	Closed Date	Acreage
AT	655	W	Irving Park	RD	306	Chicago	Illinois	60613	8006	Cook	park Place Tower	299	299	901	Condo	56	1973	09393251	ACTV		215000	195000		195000					126	126	14211010541006				1765.25		2014	421	No		No	No		3		816	Other					4	1	1	0	1	0	1		1	Attached	None	None	Large, bright, spacious one bedroom unit with open living room and dining room, twin size bedroom, and generous closets.  This is a wonderful building with a doorman, 24 hour fitness center, outdoor pool, sundeck with grills and basketball court, party room, dog run, convenience store, cleaners, and hair salon. Assessments inc. heat and air and cable.  This price includes one deeded parking space.	Bike room fee is $20.00 per year, 2 pets allowed per unit.  Dog fee of $100.00 per year and cat fee of $25.00 per year.  This price includes one deeded parking space and the assessment for that is $67.70 per month ( that is in addition to the regular assessment fee).  This is a wonderful building to live in with all its ammenities and full time doorman.		Central Air	Gas, Hot Water/Steam			No	Oven/Range, Dishwasher, Refrigerator		Bike Room/Bike Trails, Door Person, Coin Laundry, Commissary, Elevator, Exercise Room, On Site Manager/Engineer, Party Room, Sundeck, Pool-Outdoors, Receiving Room, Service Elevator, Valet/Cleaner, Curbs/Gutters, Sidewalks, Street Lights, Street Paved	Heat, Air Conditioning, Water, Common Insurance, Doorman, TV/Cable, Exercise Facilities, Pool, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal, Wi-Fi, Internet Access	Lieberman Management	resident services	(847) 459-0000		Yes							Hardwood			Other	Hardwood	None					16X11	20X12	10X7		9X8	No additional rooms				11/21/2016				
AT	655	W	IRVING PARK	RD	3609	Chicago	Illinois	60613	8006	Cook		299	299	901	Condo, Studio	56	1975	09522537	ACTV		130000	130000		130000					21	21	14211010542341				2260.89	None	2015	421	No		No	No		36		550	Builder	0		0	S (South), E (East), City, Lake/Water, Park	2	0	0	0	1	0	1	0			None	None	Large, 540 square foot studio featuring killer lake & downtown views, an open kitchen, breakfast bar, granite counters, stainless steel appliances, hardwood floors, an upgraded bath,  and an incredible south view of the city, lake and park from the 36th floor.  The assessments include heat, a/c, basic cable, internet with wifi, 24 hour doorman, 24 hour fitness outdoor pool, sundeck, grills & basketball court.  The building has a theater & party room, market, dry cleaner, salon & yoga studio.			Central Air	Hot Water/Steam		Hardwood Floors		Oven/Range, Microwave, Dishwasher, Refrigerator, All Stainless Steel Kitchen Appliances		Bike Room/Bike Trails, Door Person, Coin Laundry, Elevator, Exercise Room, Party Room, Sundeck, Pool-Outdoors, Receiving Room, Service Elevator, Valet/Cleaner, Other	Heat, Air Conditioning, Water, Common Insurance, Security, Doorman, TV/Cable, Exercise Facilities, Pool, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal, Other, Wi-Fi, Internet Access	Leiberman	anyone	(773) 929-9200												Ceramic Tile	Hardwood	None						12X20	8X10			No additional rooms			Storms/Screens, Grill-Outdoors, Door Monitored By TV	03/06/2017				
AT	655	W	Irving Park	RD	5004	Chicago	Illinois	60613	8006	Cook		299	299	901	Condo	56	1974	09524591	ACTV		183000	183000		183000					19	19	14211010542574	No			3346.98	None	2015	602	No		No	No		50		840	Builder	0		0	N (North), E (East), Lake/Water, Park	4	1	1	0	1	0	1		1	Attached	None	None	Lovely high floor, 840 square feet featuring an open kitchen with breakfast bar, maple cabinets, upgraded bath, crown moldings in living, dining and bedroom and a walk-in closet.  Enjoy lake and park views from 50 floors above.  Assessments include heat, a/c, cable, internet, 24 hour doorman, outdoor pool, sundeck, grills, basketball court and a beautifully maintained building.  Park Place Towers also has a theater & party room, market, hair salon, yoga studio and cleaners.  Deeded self parking space B-127 $25,000 and must be purchased with unit.  Convenient to transportation & shopping.	Self Parking Space B-127 $25,000, assessments $73.13, taxes $427.54.  14-21-101-054-1608. Please text only one of the agents for a showing request.  Thank you.  Please request showings between noon and 2pm.  Please request 24 hours in advance.		Central Air	Hot Water/Steam			No	Oven/Range, Microwave, Dishwasher, Refrigerator		Bike Room/Bike Trails, Door Person, Coin Laundry, Commissary, Elevator, Exercise Room, On Site Manager/Engineer, Party Room, Sundeck, Pool-Outdoors, Service Elevator, Other	Heat, Air Conditioning, Water, Common Insurance, Doorman, TV/Cable, Exercise Facilities, Pool, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal, Other, Wi-Fi, Internet Access	Leiberman	anyone	(773) 929-9200		Yes					25000		Carpet				Carpet	None	Carpet				12X17	13X20	7X11		13X8	No additional rooms				03/08/2017				
AT	655	W	IRVING PARK	RD	412	Chicago	Illinois	60613	8006	Cook	PARK PLACE TOWER	299	299	901	Condo	56	1972	09494806	ACTV		205000	205000		205000					51	51	14211010541029				1958.88	None	2015	497	No		Yes	No		4		840	Landlord/Tenant/Seller	0		0	N (North), E (East), Lake/Water	4	1	1	0	1	0	1		1	Attached	None	None	RARELY AVAILABLE 1 BEDROOM + DEN. DEN IS A SEPARATE ROOM and can be used as NURSERY/SECOND BEDROOM/OFFICE. Park Place Tower!! Resort living in the city. The best full amenity building in Lakeview! Dramatic contemporary lobby. Building features include: 24 Hr doorman, business center, state of the art gym. Dry cleaners, hair salon, convenience store, BBQ area, video theater. Basketball ct. Lake and park close by!!! Steps away from Lake Michigan, residents can take full advantage of the Chicago lakeshore path and parks. Easy commute to Chicago downtown as well. Deeded Parking is included! TOTALLY REMODELED!! Cherrywood floors, new kitchen with cherry cabinets, granite counters & SS appliances as well as a huge master bedroom, updated bathroom, tons of closet space. MUST SEE!!! DEED PARKING SPACE INCLUDED IN PRICE!!	Separate Den is large enough to serve as a bedroom for a single size bed or perfect for a nursery! Deeded Parking Space C-33. Parking PIN#14-21-101-054-1758. RE Taxes 2015- $295.21. Unit assessment with cable is $446.90, Parking assessment is $50.51, Total $497.41. Dogs OK, Cats OK. Seller will pay off the special assessment.  No showings after 7 pm.		Central Air	Gas, Forced Air		Hardwood Floors	Yes			Door Person, Elevator, Health Club, Sundeck, Pool-Indoors, Valet/Cleaner	Heat, Air Conditioning, Water, Parking, Common Insurance, Doorman, TV/Cable, Exercise Facilities, Pool, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal	Park Place Condo Association/Liberman	Max	(773) 929-9200		Yes										Hardwood	Hardwood	None	Hardwood				12X16	13X20	10X7			Office			Storms/Screens	02/04/2017				
AT	655	W	Irving park	RD	2904	Chicago	Illinois	60613	8006	Cook	PARK PLACE TOWER	299	299	901	Condo, High Rise (7+ Stories)	56	UNK	09495099	ACTV		184800	184800		184800					51	51	14211010542217			0.1	2546.35	Homeowner	2015	553	No		No	No		29		840	Landlord/Tenant/Seller	0		0	N (North), E (East), City, Lake/Water, Park	4	1	1	0	1	0	1	0			None	None	Priced to sell with spectacular views above the rooftops at Park Place Towers!  Beautiful & expansive lake, park and city views. Many upgrades- hardwood floors, open kitchen with island/breakfast bar. Lots of sunlight. Large bedroom.   Great closet space.  Convenient location, close to lake, commuter bus, Wrigleyville, Truly a full amenity building- w/24-HR doorman, fitness, movie, & party rooms, pool/sun-deck w/cabanas & grills. On-site cleaners and market. Asmt incl heat, air, cable, Internet, gym, pool. Seller looking at refinishing floors.			Central Air	Gas, Forced Air		Hardwood Floors, Storage		Oven/Range, Dishwasher, Refrigerator		Bike Room/Bike Trails, Door Person, Coin Laundry, Commissary, Elevator, Exercise Room, Storage, Health Club, On Site Manager/Engineer, Party Room, Sundeck, Pool-Outdoors, Receiving Room, Security Door Locks, Service Elevator, Valet/Cleaner, Curbs/Gutters, Sidewalks, Street Lights, Street Paved	Heat, Air Conditioning, Water, Common Insurance, Doorman, TV/Cable, Clubhouse, Exercise Facilities, Pool, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal, Internet Access	Lieberman Management	Christina	(773) 929-9200		Yes							Hardwood	TV-Cable, Ceiling Fan		Ceramic Tile	Hardwood	None	Carpet				17X12	20X13	11X7		13X8	No additional rooms		Combined w/ LivRm	Storms/Screens, Cable Access	02/04/2017				
AT	655	W	Irving Park	RD	2317	Chicago	Illinois	60613	8006	Cook		299	299	901	Condo	57	1973	09499324	ACTV		215000	184500		184500					46	46	14211010541357	No			3146.12	None	2015	597	No		No	No		23		840	Other	0		0	S (South), E (East)	4	1	1	0	1	0	1		1	Attached	None	None	Priced AGGRESSIVELY for the SOUTH exposure & preferred side of the building.  Preferred Valet deeded parking +20k! NOTE: PARKING MUST BE PURCHASED WITH CONDO.  SW CORNER unit @ 840 sq ft 1BR flooded with NATURAL LIGHT!  Large LV-DR area. Kitchen with maple Cabs & granite counter. Large BR w/ample closets. Plenty of xtra closets too!      Pet friendly MAX 2 pets no weight limit. No rental cap.  Assessments include heat a/c & basic cable & Internet ( RCN) Tons of building amenities = outdoor pool sundeck BBQ grills GYM Basketball Court Theatre room party room biz center convenience store & dry cleaning 24 hr doorman Mgt on site. STEPS TO LAKE & BUSES. Easy commute to downtown!  GREAT VALUE FOR THIS FLOOR PLAN. TENANT OCCUPIED. Lease ends 4/30/17	Tenant lease ends 4/30/2017. Agents please tell your buyers this is tenant occupied and as such not the perfect show place but a really good price for the south side of the building and the floor plan. Photos of tenants furniture. Seller knows the carpet needs to be replaced.  Great value for this floor plan.    Assessment breakdown: $562.45 + 57.88 parking + 34.67 Cable/Internet.  Parking Taxes $372.10 YR.         20 mins free parking in the building garage. 15 mins flasher zone in front of the building. Garage is owned and managed by Standard Parking & is not part of the association.		Central Air	Electric			No	Oven/Range, Microwave, Dishwasher, Refrigerator		Bike Room/Bike Trails, Door Person, Coin Laundry, Commissary, Elevator, Exercise Room, Storage, Health Club, On Site Manager/Engineer, Party Room, Sundeck, Pool-Outdoors, Receiving Room, Valet/Cleaner	Heat, Air Conditioning, Water, Common Insurance, Doorman, TV/Cable, Exercise Facilities, Pool, Exterior Maintenance, Scavenger, Snow Removal, Internet Access	Lieberman Management services	Shaun Polk	(773) 929-9200							20000		Wood Laminate			Other	Wood Laminate	None					14X13	13X14	07X09		08X08	No additional rooms		Combined w/ LivRm		02/09/2017				
AT	655	W	Irving Park	RD	4001	Chicago	Illinois	60613	8006	Cook		299	299	900	Condo	57	1973	09508487	ACTV		355000	355000		355000					35	35	14211010542401				3572		2014	848	No		No	No		40		1200	Estimated	0		0		5	2	2	0	2	0	2		1	Attached	None	None	Rare opportunity SE corner 2br/2ba high floor unit with spectacular, unobstructed views views of lake, city, harbor, golf course and park. Unit was updated with new Brazilian cherry hardwood floor and new carpet in bedrooms. It comes with 4 large closets. Full amenity building. The building has 24 hour doorman, outdoor pool, BBQ grills, theater, party room ,sundeck, basketball court, fitness center, yoga studio, convenient store, cleaner and a salon. Assessments include heat,air,cable, internet, pool and exercise room. Bright and sunny. Elegant and well-maintained building. Close to Wrigley Field, lakefront,Golf Course, parks and public transportation. Parking options nearby.	extra $2000 for a buyer agent for closing before April 8th 2017		Central Air	Forced Air			No				Heat, Air Conditioning, Water, Common Insurance, Security, Security System, Doorman, TV/Cable, Clubhouse, Exercise Facilities, Pool, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal, Other, Wi-Fi, Internet Access	312-477-6806	Olga Kaminska	(312) 477-6806		Yes												None		14X10			17X12	21X15	9X8		10X8	No additional rooms				02/20/2017				
AT	655	W	Irving Park	RD	710	Chicago	Illinois	60613	8006	Cook		299	299	901	Condo	56	1976	09510937	ACTV		274800	269800		269800					33	33	14211010541078				3198.51	Homeowner	2015	715	No		No	No		7		1150	Estimated	0		0	N (North), E (East)	5	2	2	0	2	0	2		1	Attached	None	None	Spacious and sunny updated corner 2 bedroom 2 bath at Park Place Towers with parking space included.  Gorgeous views, hardwood floors throughout, maple cabinets, updated baths, great room sizes and closet space.  Assessments include heat, a/c, basic cable, internet with wifi, 24 hour doorman, outdoor pool, sundeck, basketball court grills, 24 hour fitness center, valet parking space and more.  The building also has a market, cleaners, salon, yoga studio, theater & party room. This will not last long.	Parking pin 14-21-101-054-1756, Parking taxes 2015 $295.21.  Assessments include cable and parking.		Central Air	Hot Water/Steam		Hardwood Floors	Yes	Oven/Range, Microwave, Dishwasher, Refrigerator			Heat, Air Conditioning, Water, Parking, Common Insurance, Doorman, TV/Cable, Exercise Facilities, Pool, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal, Wi-Fi	Leiberman	anyone	(773) 929-9200		Yes		Hardwood					Hardwood			Hardwood	Hardwood	Full	Hardwood	12X12			12X16	16X19	9X11		9X8	No additional rooms				02/22/2017				
AT	655	W	IRVING PARK	RD	2702	Chicago	Illinois	60613	8006	Cook	PARK PLACE TOWER	299	299	901	Condo, High Rise (7+ Stories)	55	1973	09516795	ACTV		279000	279000		279000					26	26	14211010541410	No			3887.68	Homeowner	2015	782	No		No	No		27		1150	Landlord/Tenant/Seller	0		0	N (North), E (East)	5	2	2	0	2	0	2				None	None	Sweeping lake, harbor, & golf course views from high floor corner unit. Great sight lines from every room. Kitchen has cherry cabinets, granite counters, mirror back-splash & black appliances. Hardwood floors & 7 ft doors throughout. Spacious master suite is closet organized and will easily accommodate a king size bed & oversized furniture. Master bath is marble w/jet tub/shower & separate vanity area + full-size linen closet. Perfectly priced for instant move-in or with some re-freshening, can be a designer showpiece. Assessments include: Heat/AC, Fitness (Newly Remodeled Gym), Pool (Awesome), Sundeck & 24/7 Doorman + Security. There is also a grocery market & dry cleaners on site. Close to Wrigley Field, Red Line, Express bus & LSD. Preferred indoor garage space available immediately (@$200/month Rental) w/May 1 or sooner close date. Other parking options always available in building. Flexible Close Date.	Text Geno 773-720-2634. 24 Hr (but Short Notice may be OK). Listing Office DOES NOT hold Earnest Money. Seller paid Special Assessment.		Central Air	Forced Air		Hardwood Floors		Oven/Range, Microwave, Dishwasher, Refrigerator		Bike Room/Bike Trails, Door Person, Coin Laundry, Commissary, Elevator, Exercise Room, On Site Manager/Engineer, Party Room, Sundeck, Pool-Outdoors, Receiving Room, Service Elevator, Valet/Cleaner	Heat, Air Conditioning, Water, Common Insurance, Security, Doorman, TV/Cable, Exercise Facilities, Pool, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal, Wi-Fi, Internet Access	Lieberman	Property Manager	(773) 929-9200		Yes		Hardwood					Hardwood	TV-Cable		Hardwood	Hardwood	Full	Hardwood	11X14			12X17	15X21	07X09		08X10	No additional rooms	Whirlpool	Separate	Dog Run &/or Invisible Fence, Pool In-Ground, Grill-Outdoors, End Unit, Door Monitored By TV, Cable Access	03/01/2017				
AT	655	W	IRVING PARK	RD	4101	Chicago	Illinois	60613	8006	Cook	PARK PLACE TOWER	299	299	901	Condo, High Rise (7+ Stories)	57	1973	09515050	ACTV		350000	350000		350000					28	28	14211010542418				4297	None	2015	852	No		No	No		41		1150	Estimated	0		0	S (South), E (East), City, Lake/Water, Park	5	2	2	0	2	0	2				None	None	Views of Forever! Southeast facing 2 bedroom, 2 bath 1,150 sq ft corner unit has unobstructed views of the lake,   spectacular sight line to the city, and everything in between. Walk into a foyer with coat closet and separate storage closet. The kitchen has not only been updated, but expanded and opened up. Large breakfast bar divides the kitchen from the living room. Separate dining area overlooks Lake Michigan. The living room is covered in ceramic tile and perched high over Lake Shore. Both bedrooms have oak hardwood floors and nice closet space. Master bathroom is all granite with separate shower. Deeded parking spot is included in the price. Park Place Tower has all the most sought after amenities.			Central Air	Forced Air				Oven/Range, Microwave, Dishwasher, Refrigerator, All Stainless Steel Kitchen Appliances		Bike Room/Bike Trails, Door Person, Coin Laundry, Commissary, Elevator, Exercise Room, Health Club, On Site Manager/Engineer, Party Room, Sundeck, Pool-Outdoors, Receiving Room, Service Elevator, Whirlpool	Heat, Air Conditioning, Water, Common Insurance, Security, Doorman, TV/Cable, Exercise Facilities, Pool, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal, Wi-Fi, Internet Access	Leiberman	NONE	(773) 929-9200				Hardwood					Ceramic Tile			Ceramic Tile	Ceramic Tile	Full	Hardwood	11X14			12X17	16X21	8X10		8X10	No additional rooms		L-shaped	Pool In-Ground, Grill-Outdoors	02/27/2017				
