TYP	Street #	CP	Str Name	Sfx	Unit #	City	State	Zip	Area	Subdivision	GS Dist	HS Dist	Tot # Units	Type DE/AT	# Stories	Yr Blt	MLS #	Stat	Contingency	Orig List Pr	LP/SP	Sold Pr	List Price	FIN	Short Sale/Foreclosed/Court Approved	SP:LP	SP:OLP	MT	LMT	PIN	Mult PINs	Addl Tax Info	% Common	Taxes	Tax Exemps	Tax Year	As/Asc Dues	MAF	Master Association Fee($)	Spec Assess	Special Service Area	Special Service Area Fee	Unit Fl No	Model	ASF	SF Source	Total SF	Main SF	Aprx Total Fin SF	Exposure	# Rms	Beds	All Beds	Bsmt. Beds	# Full Baths	# Half Baths	Baths	# Interior Fireplaces	#GSp	Garage Type	Bsmt	Basement Description	Remarks	Agent Remarks	# Parking Spaces	Air	Heat/Fuel	AAG	Interior Property Features	Is Parking Included in Price?	Appliances	Amen	Com Ar Amen	Asses Incl	Management Company	Management Contact Name	Management Phone	% Own Occ	Can Owner Rent	Parking Fee/Lease $	2nd Bdr Flr	3rd Bdr Flr	4th Bdr Flr	Deeded Garage Cost	Deeded Parking Cost	Din Flr	Equipment	Fam Rm Flr	Kit Flr	Liv Rm Flr	Mast Bd Bth	Mast Bd Flr	2nd Bdr Sz	3rd Bdr Sz	4th Bdr Sz	Mast Br Sz	Liv Rm Sz	Kit Sz	Fam Rm Sz	Din Sz	Additional Rooms	Bth Amen	Din Rm	Exterior Property Features	Acreage	County	List Date	Contract Date	Off Mkt Dt	Closed Date
AT	800	N	Michigan	AVE	3203	Chicago	Illinois	60611	8008	PARK TOWER	299	299	117	Condo	67	2000	09496748	ACTV		1695000	1695000		1695000					48	48	17032310181038				23637.11	Homeowner, F	2015	1140	No		No	No		32		2000	Estimated	0		0	N (North), W (West)	6	2	2	0	2	1	2.1	1	1	Attached	None	None	Sophisticated, One of a Kind 2000 sq. ft. Residence at the Iconic Park Tower.  This 2 Bed, 2 Bath plus Den was Custom Designed from Raw Space. The Spacial Details Were Intentionally Designed for Casual Living, Formal Entertaining and Privacy. Formal Entry, Limestone Floors Throughout Living Space, Cooks Kitchen with Freestanding Island and Family Room, Formal Living Room, Dining Room with Gas Fireplace. The Two Private Bedrooms are In Suite with Beautifully Appointed Bathrooms, Custom Closets and Abundant Light. Extraordinary Views From Every Window of the Lake, City & Breathtaking Sunsets.  One Self Park Space Included. Enjoy the Amenities of the Park Hyatt, 24/7 Room Service, Spa Memberships and Discounts. 2015 Parking Taxes $1,411.76.	Nomi Club Memberships $1200 per year, include, use of health club, pool, sauna, hot tub, discounts on spa services, discounts on all food and beverage at NoMi, NoMi Terrace, NoMi Lounge, Discounts on Hotel Rooms, Discounts on Banquets and Discounted Valet Parking Stickers. Assessment includes parking assessment-$120 and cable-$58.		Central Air, Zoned	Forced Air			Yes			Door Person, Elevator, Storage, Receiving Room	Heat, Water, Gas, Parking, Common Insurance, Security, Doorman, TV/Cable, Exterior Maintenance, Scavenger, Snow Removal, Wi-Fi	Sudler	Anne Hoffman	(312) 587-3280				Carpet						Humidifier, TV-Cable, Fire Sprinklers, CO Detectors		Stone	Stone	Full	Carpet	13X17			13X15	14X28	17X11		COMBO	Den, Foyer, Other	Whirlpool, Separate Shower, Double Sink				Cook	02/07/2017			
AT	800	N	Michigan	AVE	2203	Chicago	Illinois	60611	8008		299	299	117	Condo, High Rise (7+ Stories)	67	2000	09203973	ACTV		1999000	1625000		1625000					341	341	17032310181009				20077	Homeowner	2014	1040	No		No	No		22		0	Not Reported				N (North), W (West), City, Lake/Water	5	2	2	0	2	0	2	1	1	Attached	None	None	SPACIOUS CONTEMPORARY PARK TOWER CORNER UNIT, OPEN FLOOR PLAN WITH SPECTACULAR CITY AND LAKE VIEWS. GORGEOUS HARDWOOD FLOORS, GAS FIREPLACE, SUNNY OPEN KITCHEN, LIVING ROOM AND DINING ROOM, SPA LIKE LARGE MASTER SUITE WITH ATTACHED CLOSET/DRESSING AREA. FULL SERVICE PARK HYATT AMENITIES INCLUDING POOL, SPA, HEALTH CLUB AND DINING TERRACE. ONE PARKING SPACE INCLUDED*	Parking Space #167 & Monthly parking assessments $100		Central Air	Electric, Baseboard, Zoned		Hardwood Floors, Laundry Hook-Up in Unit	Yes	Oven/Range, Microwave, Dishwasher, Refrigerator, Freezer, Washer, Dryer, Disposal, All Stainless Steel Kitchen Appliances, Wine Cooler/Refrigerator		Bike Room/Bike Trails, Door Person, Elevator, Exercise Room, Storage, Health Club, On Site Manager/Engineer, Pool-Indoors, Receiving Room, Restaurant, Service Elevator	Water, Gas, Parking, Common Insurance, Doorman, TV/Cable, Exercise Facilities, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal	Suddler Management	Annne Hoffman	(312) 587-3280	92	Yes		Hardwood					Hardwood			Hardwood	Hardwood	Full	Hardwood	14X13			14X15	21X17	11X13		16X14	Foyer	Whirlpool, Double Sink, Bidet, Full Body Spray Shower	Combined w/ LivRm	End Unit		Cook	04/20/2016			
AT	800	N	Michigan	AVE	2801	Chicago	Illinois	60611	8008		299	299	110	Condo, High Rise (7+ Stories)	67	2000	09384591	ACTV		4495000	4395000		4395000					139	139	17032310181024				59064.72	None	2015	2550	No		No	No		28		4220	Estimated				S (South), E (East), W (West)	9	3	3	0	3	1	3.1	1	2	Attached	None	None	Experience the city as it was meant to be in the iconic Park Tower. With 3 beds, 3.5 baths & generous 4,200 sqft floor plan covering half of a floor, this is where masterful design meets modern luxury in your own unique, customized property. Your gourmet kitchen, complete with a large island and professional-grade appliances, is just steps away from a large dining room, living room, and master retreat where you'll gaze upon stunning westbound sunsets. Sliding glass doors in the kitchen area open to a large outdoor terrace with electric and gas hookups, from which you'll take in panoramic lake views to the east, a clear line of sight down Magnificent Mile to the south, all while enjoying the utmost level of personal privacy. Feel secure with the convenience of a private garage with 2 spots included and the 5-Star Hyatt Hotel offering room service and catering direct to your door. The deluxe sundeck, indoor pool & health club are enjoyed along with a 24/7 doorman & concierge service.	Please see Additional Information for Floor Plan. Listing agent will accompany all showings. Some notice preferred, showings are flexible. Please contact Chrissy Sullivan to set up showing.		Central Air, Zoned	Forced Air, Hot Water/Steam, Zoned		Hardwood Floors	Yes	Oven-Double, Dishwasher, High End Refrigerator, Washer, Dryer, Disposal, All Stainless Steel Kitchen Appliances		Bike Room/Bike Trails, Door Person, Elevator, Exercise Room, Storage, On Site Manager/Engineer, Sundeck, Pool-Indoors, Receiving Room, Restaurant, Security Door Locks, Service Elevator, Valet/Cleaner, Sidewalks, Street Lights, Street Paved	Water, Gas, Common Insurance, Security, Doorman, TV/Cable, Exterior Maintenance, Scavenger, Snow Removal	SUDLER MANAGEMENT	Anne Hoffman	(312) 587-3280				Carpet	Hardwood				Hardwood		Hardwood	Hardwood	Hardwood	Full	Carpet	14X13	13X12		27X15	23X16	18X17	32X16	23X14	Foyer, Balcony, Workroom, Breakfast Room, Pantry	Whirlpool, Separate Shower, Double Sink	Separate	Balcony		Cook	11/08/2016			
AT	800	N	Michigan	AVE	3301	Chicago	Illinois	60611	8008		299	299	117	Condo, High Rise (7+ Stories)	67	2000	09309979	ACTV		2169000	1995000		1995000					1086	231	17032310181120				31259	Homeowner	2015	1282	No		No	No		33		2270	Landlord/Tenant/Seller				E (East), City, Lake/Water, Park	5	2	2	0	2	1	2.1	1	1	Attached	None	None	Park Tower residence complimented by 5 star Park Hyatt hotel service.  Split 2BD/2.5BA approx 2270 sqft! All rooms are facing east towards the Lake and Lake Shore Park . Custom stone flooring, rain shower bath, and state of the art contemporary kitchen with SS appls, espresso machine, island w/cooktop, slab granite glass front cabinets.  Totally turn key.  Enjoy Park Hyatt amenities, restaurant, pool & much more!	Parking space P067 additional. Parking assessment: $120/month. Parking Taxes (2015): $1,412.		Central Air, Zoned	Electric, Baseboard, Indv Controls, Zoned			No	Oven-Double, Microwave, Dishwasher, Refrigerator, Freezer, Washer, Dryer, Disposal, All Stainless Steel Kitchen Appliances, Wine Cooler/Refrigerator		Bike Room/Bike Trails, Door Person, Elevator, Storage, Health Club, On Site Manager/Engineer, Pool-Indoors, Receiving Room, Restaurant, Service Elevator, Steam Room, Sidewalks, Street Lights, Other	Gas, Common Insurance, Security, Doorman, TV/Cable, Exterior Maintenance, Scavenger, Snow Removal	Sudler	Anne Hoffman	(312) 587-3280		Yes		Marble					Marble			Marble	Marble	Full	Marble	14X11			19X16	26X22	17X14		13X12	Foyer, Walk In Closet	Whirlpool, Separate Shower, Double Sink, Bidet, Garden Tub, Full Body Spray Shower	Separate	Storms/Screens, Master Antenna		Cook	08/08/2016			
AT	800	N	MICHIGAN	AVE	3202	Chicago	Illinois	60611	8008		299	299	117	Condo, High Rise (7+ Stories)		2000	07152496	CLSD		2950000	2700000	2700000	2950000	Conventional	N/A	92%	92%	55	55	17032310181037	No			20544.48	Homeowner	2007	1600	No		No			32		0	Not Reported				S (South), E (East), Lake/Water	6	3	3	0	2	1	2.1		2		None	None	Very rare at Park Tower:Stunning E facing unit was custom designed from raw space to create a truly elegant 2bd + den home. Fab terrace overlooking the lake as well as south with panoramic views. Designer custom millwork, european stonework,cast lighting, state of art sound and wndw treatments all 1 touch. The master suite is absolute oasis w/enormous w/i closets, sunken master bth with oversize steam shwr	Park Hyatt amenities including room service!  Two Parking spaces additional.		Central Air, Zoned	Electric		Hardwood Floors, Laundry Hook-Up in Unit, Storage		Oven/Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer		Bike Room/Bike Trails, Door Person, Elevator, Storage, Health Club, On Site Manager/Engineer, Pool-Indoors, Receiving Room, Restaurant, Sauna, Service Elevator, Steam Room, Whirlpool	Water, Gas, Parking, Tax, Common Insurance, Security, Doorman, TV/Cable, Exterior Maintenance, Scavenger, Snow Removal, Other							Carpet					Hardwood	Fire Sprinklers	Hardwood	Hardwood	Hardwood	Full		16X14	13X14		20X16	14X16	12X16	12X16	14X16	Gallery, Other	Whirlpool, Separate Shower, Double Sink	Combined w/ LivRm	Balcony, Master Antenna, Storms/Screens, Grill-Outdoors, End Unit		Cook	03/05/2009	04/28/2009	04/28/2009	06/15/2009
AT	800	N	MICHIGAN	AVE	5003	Chicago	Illinois	60611	8008		299	299	117	Condo, High Rise (7+ Stories)		2000	07178835	CLSD		1150000	1185000	1185000	1150000	Conventional	S	103%	103%	39	39	17032310181082				14459.48	None	2007	1023	Yes		No			50		2000					N (North), W (West), City, Lake/Water, Park	5	2	2	0	2	1	2.1	1	1		None	None	Rare foreclosure opp to own a fab unit $150K below market at Park Tower.  Entire unit is customized + views of lake and city. De Giulio kit boasts Miele DW, Sub-zero fridge, LaCornue stove and granite sink. Mahogany flrs,  LR built-in with flat screen, office w/computer screens  and leather top desk. Stone baths w/sep steam shower in the master. Built-in W/I closets and utility rm w/Miele w/d.	CC: Pursuant to Short Sale. Unit sold AS-IS, no disclosures, bank addendums req., commission paid on sales price-concessions. EM certified funds		Central Air	Electric		Hardwood Floors, Laundry Hook-Up in Unit		Oven/Range, Microwave, Refrigerator, Freezer, Washer, Dryer, Disposal		Bike Room/Bike Trails, Door Person, Elevator, Exercise Room, On Site Manager/Engineer, Sundeck, Pool-Indoors, Receiving Room, Restaurant, Security Door Locks, Service Elevator, Valet/Cleaner, Curbs/Gutters, Gated Entry, Sidewalks, Street Lights	Water, Gas, Parking, Common Insurance, Security, Doorman, TV/Cable, Exterior Maintenance, Scavenger, Snow Removal							Carpet					Hardwood	Humidifier, TV-Cable			Hardwood	Full	Carpet	14X13			15X14	20X12	13X09		14X11	Den, Foyer, Gallery, Office	Separate Shower, Steam Shower	Combined w/ LivRm	Storms/Screens, End Unit		Cook	04/03/2009	05/11/2009	05/11/2009	05/28/2009
AT	800	W	Michigan	AVE	2002	Chicago	Illinois	60611	8008		299	299	117	Condo, High Rise (7+ Stories)		UNK	07193829	CLSD		1299000	1200000	1200000	1299000	Conventional	N/A	92%	92%	17	17	17032310181002				13742.73		2007	1023	No		No			20		2052					S (South), W (West)	5	2	2	0	2	1	2.1		1	Attached	None		Chicago's Preimier Residence! Enjoy the good life in the only SW corner 2bd with terrace in prestigious Park Tower! Designer finishes include gourmet kitchen with Bosch,Sub-Zero and Thermador,custom cabinetry,4" oak floors,9.5 ft ceilings,surround sound,elegant stone baths,great floorplan for entertaining,Great Views! Luxuriate in the amenities of this 5 star Park Hyatt Hotel. Garage Included!	Great Living!!		Central Air	Gas, Forced Air						Door Person, Elevator, Exercise Room, Health Club, On Site Manager/Engineer, Pool-Indoors, Pool-Outdoors, Receiving Room, Restaurant, Sauna, Service Elevator	Water, Parking, Common Insurance, Security, Doorman, Exterior Maintenance																	Full		13X12			14X14	20X16	14X11		16X13	Terrace	Whirlpool, Separate Shower, Double Sink		Balcony		Cook	04/20/2009	05/06/2009	05/06/2009	10/19/2009
AT	800	N	Michigan	AVE	2801	Chicago	Illinois	60611	8008		299	299	117	Condo		2000	07219044	CLSD		4400000	4100000	4100000	4400000	Conventional	N/A	93%	93%	108	108	17032310181024				29378		2007	2172	No		No			28		4200					S (South), E (East), W (West)	8	3	3	0	3	1	3.1	1	2		None		Stunning home at Iconic Park Tower Residence. Enjoy breathtaking views from every window of lake, city/sunsets, custom designed, rarely avail 1/2 flr, 4200 sf condo. Spatial design thought out to maximize space/views make residence a home perfect for formal/casual living/entertaining. Dramatic entry, formal living, dining rm, cooks kit, huge Fam Rm, sizeable Mstr Suite, rich finishes, walnut flrs, custom millwork.	Residence has too many elements to list, call Listing Agent for details. Two premier parking spaces included in price. Assessment includes two parking spaces.		Central Air	Forced Air, Hot Water/Steam, Indv Controls, Zoned		Hardwood Floors, Laundry Hook-Up in Unit		Oven/Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer, Disposal		Door Person, Elevator, Storage, On Site Manager/Engineer, Receiving Room, Security Door Locks, Service Elevator	Heat, Air Conditioning, Water, Gas, Parking, Common Insurance, Doorman, TV/Cable							Carpet	Hardwood				Hardwood	Humidifier, TV-Dish, Fire Sprinklers, CO Detectors	Hardwood	Hardwood	Hardwood	Full	Carpet	13X14	12X13		31X16	22X16	18X17	32X16	22X14	Balcony, Breakfast Room, Den, Foyer	Whirlpool, Separate Shower, Double Sink	Separate	Balcony, Private Entrance, End Unit		Cook	05/18/2009	09/02/2009	09/02/2009	11/09/2009
AT	800	N	MICHIGAN	AVE	5301	Chicago	Illinois	60611	8008		299	299	117	Condo, High Rise (7+ Stories)		2000	07219079	CLSD		4975000	3175000	3175000	3775000	Conventional	N/A	84%	64%	786	786	17032310181094	No			33870	None	2009	2171	Yes	26052	No	No		53		4200	Estimated				S (South), E (East), W (West), City, Lake/Water, Park	8	3	3	0	2	1	2.1	1	2	Attached	None	None	Incredible views from this rarely avialable East,West,South corner residences that has been exquisitely finished.This highly customized home has been completely reconfigured from its original 3 bedroom floorplan allowing for generous living spaces,& an enormous master suite in addition to an office&exercise room.Open kitchen w/breakfast area&large private terrace.2-car heated prime parking spots included	This has been converted from a three bedroom to an enormous master suite w/exercise room and office. It is great open living spaces that has been beautifully finished with to die for views, and a large private terrace.Call for more info		Central Air	Electric, Baseboard		Bar-Wet, Hardwood Floors, Laundry Hook-Up in Unit	Yes	Oven-Double, Microwave, Dishwasher, Refrigerator, Refrigerator-Bar, Freezer, Washer, Dryer, Disposal		Storage, Health Club, On Site Manager/Engineer, Pool-Indoors, Receiving Room, Restaurant, Service Elevator, Other	Water, Gas, Common Insurance, Security, Doorman, Exterior Maintenance, Scavenger							Carpet	Hardwood				Hardwood	Humidifier, TV-Cable, Fire Sprinklers	Hardwood	Hardwood	Hardwood	Full	Carpet	17X14	12X12		27X16	29X23	17X18	15X30	COMBO	Breakfast Room, Foyer, Terrace	Whirlpool, Steam Shower	Combined w/ LivRm	Balcony, End Unit		Cook	05/18/2009	07/12/2011	07/12/2011	10/03/2011
AT	800	N	Michigan	AVE	2701	Chicago	Illinois	60611	8008	PARK TOWER	299	299	117	Condo		2000	07258143	CLSD		3375000	2700000	2700000	3375000	Cash	N/A	80%	80%	111	111	17032310181021				25842.45		2007	1673	No		Yes			27		0	Not Reported				S (South), E (East), City, Lake/Water	7	2	2	0	2	1	2.1	1	1	Attached	None		SPECTACULAR & UNIQUE PT RESIDENCE FEATURES HIGH-END, CUSTOM INTERIORS. RECONFIGURED FLOORPLAN MAXIMIZES SPACE THROUGHOUT. ELEGANT LR AS WELL AS MBR, DR, LIBRARY AND KIT HAVE PARK & LAKE VIEWS. CHEF'S KIT W/42" CHERRY CABS, 2 REFRIGS PLUS WINE COOLER. LARGE FAM RM ADJOINS KIT AND 2ND BR W/BA EN SUITE. STUNNING LIB. SUMPTUOUS MASTER BA W/JETTED TUB & SEP SHOWER. OVERSIZED MASTER CLOSET.	!!!Realtors: note co-op commision!!!		Central Air	Electric, Baseboard				Oven/Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer, Disposal		Door Person, Elevator, Health Club, On Site Manager/Engineer, Receiving Room, Service Elevator	Heat, Water, Common Insurance, Security, Doorman, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal							Carpet					Hardwood	TV-Cable, Fire Sprinklers, CO Detectors	Hardwood	Hardwood	Hardwood	Y	Carpet	12X13			20X15	28X22	18X14	17X16	22X15	Foyer, Library, Terrace		Separate			Cook	06/29/2009	10/17/2009	10/17/2009	11/16/2009
