TYP	Street #	CP	Str Name	Sfx	Unit #	City	State	Zip	Area	County	Subdivision	GS Dist	HS Dist	Tot # Units	Type DE/AT	# Stories	Yr Blt	MLS #	Stat	Contingency	Orig List Pr	LP/SP	Sold Pr	List Price	FIN	Short Sale/Foreclosed/Court Approved	SP:LP	SP:OLP	MT	LMT	PIN	Mult PINs	Addl Tax Info	% Common	Taxes	Tax Exemps	Tax Year	As/Asc Dues	MAF	Master Association Fee($)	Spec Assess	Special Service Area	Special Service Area Fee	Unit Fl No	Model	ASF	SF Source	Total SF	Main SF	Aprx Total Fin SF	Exposure	# Rms	Beds	All Beds	Bsmt. Beds	# Full Baths	# Half Baths	Baths	# Interior Fireplaces	#GSp	Garage Type	Bsmt	Basement Description	Remarks	Agent Remarks	# Parking Spaces	Air	Heat/Fuel	AAG	Interior Property Features	Is Parking Included in Price?	Appliances	Amen	Com Ar Amen	Asses Incl	Management Company	Management Contact Name	Management Phone	% Own Occ	Can Owner Rent	Parking Fee/Lease $	2nd Bdr Flr	3rd Bdr Flr	4th Bdr Flr	Deeded Garage Cost	Deeded Parking Cost	Din Flr	Equipment	Fam Rm Flr	Kit Flr	Liv Rm Flr	Mast Bd Bth	Mast Bd Flr	2nd Bdr Sz	3rd Bdr Sz	4th Bdr Sz	Mast Br Sz	Liv Rm Sz	Kit Sz	Fam Rm Sz	Din Sz	Additional Rooms	Bth Amen	Din Rm	Exterior Property Features	List Date	Contract Date	Off Mkt Dt	Closed Date	Acreage
AT	807		DAVIS	ST	1801	Evanston	Illinois	60201	201	Cook	SHERMAN PLAZA	65	202	250	Condo, High Rise (7+ Stories)		2006	07429375	CLSD		650000	620000	620000	650000	Cash	N/A	95%	95%	8	8	11183040451186	No			11137.92	Homeowner	2008	666	No		No			18	3 BEDROOM	1911					S (South), E (East), W (West), City, Lake/Water	6	3	3	0	2		2		1	Attached	None	None	Come entertain in THE 1st resale of (SW corner ) "01" tier! 29'*21" Great Room offers versatile/open layout w/South, East & West views! Wall of glass doors off GR lead to oversized 25'balcony. Split floor plan w/master suite's own entrance 2 south facing balcony! Kitchen opens to GR w/granite bar area, custom cabinetry. Master bath boasts; marble fl, sep. shower, soaker tub; dbl bowl vanity & closets (both baths).	HEART OF DOWNTOWN EVANSTON-24/7 DOORMAN, CONCIERGE, PARTY ROOM!!  http://www.theresidencesofshermanplaza.com/shermanplaza//outside_home.asp.  Floorplan under additional information.		Central Air	Electric, Radiant, Indv Controls		Hardwood Floors, Laundry Hook-Up in Unit, Storage	Yes	Oven/Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer, Disposal		Bike Room/Bike Trails, Door Person, Elevator, Storage, On Site Manager/Engineer, Party Room, Sundeck, Receiving Room, Security Door Locks, Service Elevator, Curbs/Gutters, Sidewalks, Street Lights, Street Paved	Air Conditioning, Water, Parking, Common Insurance, Security, Doorman, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal	BUILDING GROUP	ANGELA HELDMAN	(847) 425-9487				Carpet	Hardwood				Hardwood	TV-Cable, Fire Sprinklers, CO Detectors, Fan-Whole House		Hardwood	Hardwood	Full	Carpet	15X13	14X10		18X13	15X10	15X09		14X11	Balcony, Foyer, Gallery, Great Room, Utility Room-1st Floor, Walk In Closet	Separate Shower, Double Sink	Combined w/ LivRm	Balcony, Storms/Screens	01/31/2010	02/07/2010	02/07/2010	03/18/2010	
AT	807		Davis	ST	301	Evanston	Illinois	60201	201	Cook		65	202	252	Condo, High Rise (7+ Stories)		2005	07133463	CLSD		449000	354000	354000	385000	Conventional	N/A	92%	79%	253	139	11830200000000				NEW		2007	495	No		No			3		1500					S (South)	5	2	2	0	2		2		1	Attached	None	None	BEST PRICE/SQFT IN THE BLDG! BRIGHT AND SUNNY LARGE SOFT LOFT 2 BEDROOM/2 BATH SOUTH FACING UNIT WITH INCREDIBLE STORAGE. SPLIT BEDROOMS EACH WITH WALK -IN CLOSET. 9'6"CEILINGS. HARDWOOD FLOORS IN LIVING ROOM, DINING ROOM,KITCHEN & HALLWAYS. BEAUTIFUL KITCHEN WITH GRANITE AND STAINLESS STEEL. LAUNDRY ROOM W/FULL SIZE UNITS! GRG PARKING. BLDG HAS 24 HR DOORMAN; BIKE ROOM; PARTY ROOM; SUN DECK; ADD'L STORAGE	Add'l parking asm $41.59/mo. Pin numbers have not been assig		Central Air	Electric, Forced Air, Radiant				Oven/Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer, Disposal		Bike Room/Bike Trails, Door Person, Elevator, Storage, On Site Manager/Engineer, Party Room, Sundeck, Service Elevator	Heat, Air Conditioning, Water, Common Insurance, Security System, Doorman, Exterior Maintenance, Snow Removal							Carpet					Hardwood	Fire Sprinklers, CO Detectors		Hardwood	Hardwood	Full	Carpet	15X10			19X13	16X15	10X10		15X12	Utility Room-1st Floor		Combined w/ LivRm		02/11/2009	06/29/2009	06/29/2009	07/31/2009	
AT	807		Davis	ST	505	Evanston	Illinois	60201	201	Cook	Sherman Plaza	65	202	253	Condo		2006	07146952	CLSD		299900	285000	285000	299900	Conventional	N/A	95%	95%	19	19	11183040451035				5005	Homeowner	2007	323	No		No			5	LOFT	896					S (South)	3	1	1	0	1		1	0	1	Attached	None		Downtown Evanston at its best! Our sophisticated loft offers smart living! Enjoy southern sun and view of Fountain Square. Tasteful decor throughout, granite kitchen with breakfast bar, spacious bedroom with walk in closet,in unit laundry and more. Full service building, fitness center, green roof, storage and bike room, secured garage space. 1 block to train, 3 blocks to Northwestern University and Lake Michigan!	Parking Space #916, Bike room on 3rd floor.Storage on 5th floor. Floor plan and disclosures available under additional information.		Central Air	Electric, Forced Air, Indv Controls		Hardwood Floors, Laundry Hook-Up in Unit, Storage		Oven/Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer, Disposal		Bike Room/Bike Trails, Door Person, Elevator, Storage, Health Club, On Site Manager/Engineer, Party Room, Receiving Room, Security Door Locks, Service Elevator, Curbs/Gutters, Gated Entry, Sidewalks, Street Lights, Street Paved	Air Conditioning, Water, Parking, Common Insurance, Doorman, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal													TV-Cable, TV-Dish, Intercom, Fire Sprinklers, Ceiling Fan		Hardwood	Hardwood	None	Carpet				11X12	14X16	9X11					Combined w/ LivRm		02/27/2009	03/17/2009	03/17/2009	04/29/2009	
AT	807		DAVIS	ST	909	Evanston	Illinois	60201	201	Cook	SHERMAN PLAZA	65	202	253	Condo, High Rise (7+ Stories)		2006	07148905	CLSD		609000	475000	475000	495000	Conventional	N/A	96%	78%	283	283	11183040451090	No			9405.34	None	2008	551	No		No			9	TOWER	1622					N (North), E (East)	6	2	2	0	2		2		1	Detached	None	None	Lake views from each room in split BR floor plan plus library in downtown Evanston’s premiere luxury bldg. Flexible living & ideal space to entertain. Upgrades: gleaming oak hard wood floors, designer light fixtures, French doors to library w/ custom built-ins, cherry kitchen cabinets, granite counter tops & SS appliances. Master suite w/ luxe bath, shower, & double vanity.In-unit w/d. Pkg incl. Open SUN SEP 13th 2-4	EXCLUDE 2 WINE REFRIGERATORS & 2 FLAT SCREEN TV'S. PIANO FRIENDLY.  24 hour notice for showings please		Central Air	Electric, Forced Air, Indv Controls		Elevator, Hardwood Floors, Laundry Hook-Up in Unit, Storage		Oven/Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer		Door Person, Elevator, Storage, On Site Manager/Engineer, Party Room, Service Elevator, Curbs/Gutters, Sidewalks, Street Lights, Street Paved	Water, Common Insurance, Doorman, Exterior Maintenance, Scavenger, Snow Removal							Carpet					Hardwood	TV-Cable, Fire Sprinklers, CO Detectors		Ceramic Tile	Hardwood	Full	Hardwood	15X11			16X12	15X14	13X9		12X12	Den	Separate Shower, Double Sink	Combined w/ LivRm	Balcony, Storms/Screens	03/02/2009	12/09/2009	12/09/2009	12/30/2009	
AT	807		DAVIS	ST	901	Evanston	Illinois	60201	201	Cook		65	202	252	Condo		2006	07203691	CLSD		310000	290000	290000	299000	Conventional	N/A	97%	94%	89	89	11183040441082	No			5801.93	None	2007	346	Yes		No			9		0	Not Reported				S (South)	3	1	1	0	1		1		1	Attached	None	None	GREAT 1 BEDROOM IN THE BEST BUILDING IN DOWNTOWN EVANSTON. WONDERFUL KITCHEN W/LOTS OF UPGRADES, S.S. APPLIANCES, GRANITE COUNTER TOPS WITH BREAKFAST BAR. HAS A IN UNIT LAUNDRY AND ATTACHED GARAGE. WATCH THE SUN RISE OVER LAKE MICHIGAN FROM YOUR BEDROOM OR GRILL A STEAK ON YOUR BALCONY.	MUST HAVE 24 HOURS NOTICE. TENANT CURRENTLY THERE.		Central Air	Gas, Forced Air		Elevator, Laundry Hook-Up in Unit, Storage		Oven-Double, Oven/Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer, Disposal		Bike Room/Bike Trails, Door Person, Elevator, Storage, On Site Manager/Engineer, Party Room, Receiving Room	Heat, Air Conditioning, Water, Common Insurance, Doorman, Exterior Maintenance, Scavenger, Snow Removal													Fire Sprinklers		Ceramic Tile	Carpet	None	Carpet				13X13	21X13	8X14					Combined w/ LivRm	Balcony	05/01/2009	07/28/2009	07/28/2009	09/04/2009	
AT	807		DAVIS	ST	2208	Evanston	Illinois	60201	201	Cook	SHERMAN PLAZA	65	202	252	Condo, High Rise (7+ Stories)		2006	07430439	CLSD		375000	350000	350000	375000	Cash	N/A	93%	93%	43	43	11183040451236	No			6352	None	2008	429	No		Unknown			22		0	Not Reported				N (North), E (East)	5	2	2	0	1		1		2	Attached	None	None	Spacious open floorplan on highest non-penthouse floor. Bigger windows and higher ceilings maximize the view. Kitchen features granite counters, under-cab lighting, and granite backsplash. Other highlights include great lighting, deep walk-in, in-unit laundry and spacious balcony. Central location near Metra/EL, restaurants, shopping, nightlife. LA Fitness downstairs. Price includes 2 parking spaces.			Central Air	Electric, Forced Air, Indv Controls, Zoned		Laundry Hook-Up in Unit, Storage	No	Oven/Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer, Disposal		Bike Room/Bike Trails, Door Person, Elevator, Storage, Health Club, Party Room, Sundeck, Receiving Room, Security Door Locks, Service Elevator, Curbs/Gutters, Sidewalks	Water							Carpet					Carpet	TV-Cable, TV-Dish, Fire Sprinklers		Ceramic Tile	Carpet	None	Carpet	11X08			14X11	17X22	09X11		11X09			Combined w/ LivRm	Balcony	02/01/2010	03/15/2010	03/15/2010	04/05/2010	
AT	807		DAVIS	ST	1106	Evanston	Illinois	60201	201	Cook	SHERMAN PLAZA	65	202	255	Condo		2006	07283324	CLSD		650000	603000	603000	650000	Conventional	N/A	93%	93%	5	5	11183040451111	No			11260	Homeowner	2007	674	No		No			11	06	1885						6	2	2	0	2	1	2.1		2	Attached	None		SOUGHT AFTER "06" FLOOR PLAN! MAINTAINENCE FREE HIGH RISE LIVING AT IT'S BEST! OPEN FLR PLAN BOASTS 2 BALCONIES & WALLS OF WINDOWS TO ENJOY VIEWS! EVERY ROOM HIGHLY UPGRADED! KITCH HAS SS APPLIANCES, GRANITE COUNTERTOPS, & OPENS TO LR. UPGRADED BATH W/ VERTICAL SPA PKG! BONUS RM CAN BE DEN, STUDY, PLAYRM, OR BR 3! 2 PKG SPACES INCLUDED! FULL SERVICE LUXURY BLDG W/ 24 HOUR DOORMAN! IN THE HEART OF THRIVING DOWNTOWN!			Central Air	Electric, Radiant		Elevator, Laundry Hook-Up in Unit, Storage		Oven/Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer		Curbs/Gutters, Sidewalks, Street Lights, Street Paved	Water, Parking, Common Insurance, Doorman, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal	SHERMAN PLAZA	ANGELA HELDMAN	(847) 425-9487		Yes		Carpet					Carpet			Ceramic Tile	Carpet	Full	Carpet	13X13			20X13	21X17	15X12		11X10	Den, Great Room	Separate Shower, Double Sink	Separate	Balcony	07/28/2009	08/01/2009	08/01/2009	09/01/2009	
AT	807		Davis	ST	2010	Evanston	Illinois	60201	201	Cook		65	202	U	Condo		2006	07314802	CLSD		419000	377500	377500	419000	Conventional	N/A	90%	90%	1	1	11183040350000	No			NEW	Homeowner	2007	334	No		No			20		934						4	2	2	0	1		1				None	None	Unlock the door to elegance & sohistication! Stunning two bedroom condo at desirable Sherman Plaza! Breathtaking views, gourmet kitchen, stainless applcs, granite, walk-in closet, washer/dryer, balcony, hdwd flrs, 1 car indoor parking & storage. First class building amenities. Enjoy a New York City Lifestyle in the Heart of Evanston!	Real Estate taxes have not been assessed for 2007	1	Central Air	Electric				Oven/Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer, Disposal		Bike Room/Bike Trails, Door Person, Elevator, Storage, Street Lights, Street Paved	Water, Parking, Common Insurance, Security, Doorman, Exterior Maintenance, Scavenger, Snow Removal, Other					Yes		Hardwood								Hardwood	Hardwood	None	Carpet	15X8			14X13	20X15	13X11			Den, Utility Room-1st Floor		Combined w/ FamRm		09/02/2009	09/02/2009	09/02/2009	10/19/2009	
AT	807		DAVIS	ST	1104	Evanston	Illinois	60201	201	Cook	SHERMAN PLAZA	65	202	255	Condo		2006	07335175	CLSD		440000	432500	432500	440000	Conventional	N/A	98%	98%	6	6	11183040451109	No			8713	Homeowner	2008	499	No		No			11	04	1500					S (South)	6	2	2	0	2		2		1	Attached	None		SOUGHT AFTER 04 FLR PLN W/ GLEAMING HARDWD FLRS! MAINTAINENCE FREE HIGH RISE LIVING AT ITS BEST! EVERY RM HIGHLY UPGRADED! OPEN FLR PLAN BOASTS GRANITE KITCH W/ SS APPLIANCES OVERLKING LR, DR, & VIEWS! BONUS RM CAN BE DEN, OFFICE, PLAYRM OR BR 3! 1 PKG SPACE INCLUDED! ENJOY SOUTHERN UNOBSTRUCTED VIEWS FROM BALCONY & MOST RMS! EVANSTON'S PREMIER LUXURY BLDG W/ 24 HOUR DOORMAN IN THE HEART OF THRIVING DOWNTOWN!			Central Air	Electric, Radiant		Elevator, Hardwood Floors, Laundry Hook-Up in Unit, Storage		Oven/Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer, Disposal		Curbs/Gutters, Sidewalks, Street Lights, Street Paved	Water, Parking, Common Insurance, Doorman, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal	SHERMAN PLAZA	ANGELA HELDMAN	(847) 425-9487		Yes		Carpet					Hardwood			Hardwood	Hardwood	Y	Carpet	12X11			14X13	22X15	10X9		13X11	Den, Great Room, Office, Utility Room-1st Floor		L-shaped	Balcony	09/26/2009	10/01/2009	10/01/2009	11/12/2009	
AT	807		Davis	ST	605	Evanston	Illinois	60201	201	Cook		65	202	253	Condo		2006	07381890	CLSD		1100000	890000	890000	950000	Cash	N/A	94%	81%	153	145	11183040441049				14372		2008	833	No		No			6		3583					N (North), S (South), E (East), City, Park	7	3	3	0	3		3		2	Attached	None		SUN DRENCHED-GARDNER'S DREAM-ONE OF A KIND END UNIT WITH 1200SF PRIVATE LANDSCAPED TERRACES.THE INTERIOR HAS 2383SF WITH 3BR/3 FULL BTHS + FAMILY RM +10' CEILS, MAPLES FLOORS THRU-OUT. HIGH-END LARGE KITCHEN WITH S/S APPLS,CHERRY CABS,GRANITE COUNTERTOPS, BREAKFAST BAR AND TABLE AREA, HUGE  LIVING ROOM, SEPERATE DINING ROOM ALL OPENING TO HUGE TERRACE!! LAUNDRY RM AND 2 PARKING SPACES. PREMIER DOWNTOWN LOCATION!	MONTHLY ASSESMENT FOR PARKING IS EXTRA & ADDITIONAL TAX BILL FOR PARKING....ANOTHER SMALLER TERRACE Of MASTER BEDROOM FACING EAST AND NORTH.  LA FITNES INSIDE THE BUILDING!		Central Air	Electric, Forced Air			Yes			Bike Room/Bike Trails, Door Person, Elevator, Storage, Health Club, On Site Manager/Engineer, Party Room, Sundeck, Pool-Indoors, Receiving Room, Sauna, Security Door Locks, Service Elevator	Air Conditioning, Water, Parking, Common Insurance, Security, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal							Hardwood	Hardwood				Hardwood	Humidifier, TV-Cable, TV Antenna	Hardwood	Hardwood	Hardwood	Full	Hardwood	12X12	17X12		18X15	18X15	15X13	21X15	13X10	FAM	Whirlpool	Combined w/ LivRm		11/17/2009	04/10/2010	04/10/2010	05/27/2010	
