TYP	Street #	CP	Str Name	Sfx	Unit #	City	State	Zip	Area	County	Subdivision	GS Dist	HS Dist	Tot # Units	Type DE/AT	# Stories	Yr Blt	MLS #	Stat	Contingency	Orig List Pr	LP/SP	Sold Pr	List Price	FIN	Short Sale/Foreclosed/Court Approved	SP:LP	SP:OLP	MT	LMT	PIN	Mult PINs	Addl Tax Info	% Common	Taxes	Tax Exemps	Tax Year	As/Asc Dues	MAF	Master Association Fee($)	Spec Assess	Special Service Area	Special Service Area Fee	Unit Fl No	Model	ASF	SF Source	Total SF	Main SF	Aprx Total Fin SF	Exposure	# Rms	Beds	All Beds	Bsmt. Beds	# Full Baths	# Half Baths	Baths	# Interior Fireplaces	#GSp	Garage Type	Bsmt	Basement Description	Remarks	Agent Remarks	# Parking Spaces	Air	Heat/Fuel	AAG	Interior Property Features	Is Parking Included in Price?	Appliances	Amen	Com Ar Amen	Asses Incl	Management Company	Management Contact Name	Management Phone	% Own Occ	Can Owner Rent	Parking Fee/Lease $	2nd Bdr Flr	3rd Bdr Flr	4th Bdr Flr	Deeded Garage Cost	Deeded Parking Cost	Din Flr	Equipment	Fam Rm Flr	Kit Flr	Liv Rm Flr	Mast Bd Bth	Mast Bd Flr	2nd Bdr Sz	3rd Bdr Sz	4th Bdr Sz	Mast Br Sz	Liv Rm Sz	Kit Sz	Fam Rm Sz	Din Sz	Additional Rooms	Bth Amen	Din Rm	Exterior Property Features	List Date	Contract Date	Off Mkt Dt	Closed Date	Acreage
AT	840	N	LAKE SHORE	DR	303	Chicago	Illinois	60611	8008	Cook		299	299	66	Condo, High Rise (7+ Stories)		2003	07148424	CLSD		2495000	2175000	2175000	2495000	Conventional	N/A	87%	87%	339	156	17032280334205	No			17488	Homeowner	2007	1891	No		No			3		3918					S (South), City, Lake/Water, Park	9	4	4	0	4	1	4.1	1	2	Attached	None		40' WIDE EXPANSIVE, SUN-DRENCHED LIV RM/DIN RM W/ LOVELY TREETOP PARK VIEWS. PRIVATE BALCONY W/LAKE VIEWS. FOUR BDRMS, EACH W/DELUXE PRIV BATH. GORGEOUS UPGRADED EAT-IN KIT. THIS FAB 3900 SQ FT  APT IS ONE OF A KIND W/SPLIT BEDROOM FLR PLN, FAM RM, CUSTOM-BUILT LIBRARY & HUGE STORAGE CLOSET. HIGH CEILINGS, BEAUTIFUL HDWD FLRS, CUSTOM MILLWORK, 15' X 9' MASTER BATH, FP. INCL STORAGE, WINE LOCKER & 2 DEEDED GAR SPACE	PLEASE VISIT MY WEBSITE AT WWW.JOANNESELLSCHICAGO.COM FOR PHOTOS		Central Air, Zoned	Gas, Forced Air, 2+ Sep Heating Systems, Zoned		Hardwood Floors, Laundry Hook-Up in Unit, Storage		Oven-Double, Oven/Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer, Disposal		Door Person, Elevator, Exercise Room, Storage, On Site Manager/Engineer, Security Door Locks, Service Elevator	Water, Parking, Common Insurance, Doorman, Exercise Facilities, Exterior Maintenance, Scavenger, Snow Removal													Humidifier, TV-Cable				Full		14X13	13X12	13X12	16X14	40X15	15X11	16X15	COMBO	Balcony, Library, Pantry, Storage	Whirlpool, Separate Shower, Double Sink	Combined w/ LivRm	Balcony, End Unit	03/02/2009	08/04/2009	08/04/2009	10/15/2009	
AT	840	N	LAKE SHORE	DR	603	Chicago	Illinois	60611	8008	Cook		299	299	70	Condo, High Rise (7+ Stories)		2003	07318549	CLSD		2395000	2000000	2000000	2249000	Cash	N/A	89%	84%	118	118	17032280334016				19808	None	2008	1985	No		No			6		3198					S (South), City, Lake/Water, Park	7	3	3	0	3	1	3.1	1	2	Attached	None		840 LSD, Chicago's premier address, located on the lakefront in the heart of Streeterville. Fabulous South exposure overlooking the lake, park & city. Approx 3200 sq ft home creates a great space for everyday living and entertaining. Full amenity building with exercise room, wine cellar, storage, valet parking. Two deeded parking spaces included.	Two deeded parking spaces included in price. #64 PIN # 17-03-228-033-4135 & #65 PIN # 17-03-228-033-4136. Taxes and assessments for both included above.		Central Air, Zoned	Electric, Forced Air, Baseboard, Indv Controls		Elevator, Hardwood Floors, Laundry Hook-Up in Unit	Yes	Oven-Double, Microwave, Dishwasher, Refrigerator, Freezer, Washer, Dryer, Disposal		Door Person, Elevator, Exercise Room, Storage, On Site Manager/Engineer, Receiving Room, Service Elevator	Air Conditioning, Water, Gas, Parking, Common Insurance, Doorman, TV/Cable, Exercise Facilities, Exterior Maintenance, Scavenger, Snow Removal	Draper & Kramer	Reon Valdiser	(312) 642-0750				Carpet	Carpet				Hardwood	Humidifier, TV-Cable, Fire Sprinklers, CO Detectors	Hardwood	Hardwood	Hardwood	Full	Carpet	13X12	13X12		17X14	29X14	15X11	17X15	16X11		Separate Shower, Double Sink		Balcony, Storms/Screens, End Unit	09/08/2009	01/03/2010	01/03/2010	03/26/2010	
AT	840	N	LAKE SHORE	DR	2303	Chicago	Illinois	60610	8008	Cook		299	299	11	Condo, High Rise (7+ Stories)		UNK	07477684	CLSD		2900000	2800000	2800000	2900000	Cash	N/A	97%	97%	1	1	17032280334207				17718.74	Homeowner	2008	2137	No		No			23		0	Not Reported				N (North), S (South), W (West), Lake/Water	9	3	3	0	3	1	3.1	1	2	Attached	None		SOLD BEFORE PRINT. Stunning highly upgraded developer’s unit in top building. Herringbone floors, smashing fabulous upgraded kitchen, Viking, Subzero, cappuccino maker, marble, granite. Open floorplan, views from south, west, and north. Elegant baths. Gorgeous throughout. Huge extra large storage. 2 parking spaces.			Central Air	Zoned		Bar-Wet, Hardwood Floors, Laundry Hook-Up in Unit, Storage	No	Microwave, Dishwasher, Refrigerator, Freezer, Washer, Dryer, Disposal		Door Person, Elevator, Exercise Room, Storage, On Site Manager/Engineer, Sundeck, Receiving Room, Service Elevator, Valet/Cleaner	Air Conditioning, Water, Gas, Parking, Common Insurance, Security, Doorman, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal				80			Hardwood	Hardwood				Hardwood	Humidifier	Hardwood	Hardwood	Hardwood	Full	Hardwood	12X15	12X15		14X15	15X18	16X17	14X13	14X18	Balcony, FAM, Gallery, Library	Separate Shower, Double Sink	Separate	Balcony, Storms/Screens, End Unit	03/22/2010	03/22/2010	03/22/2010	03/29/2010	
AT	840	N	LAKE SHORE	DR	2103	Chicago	Illinois	60611	8008	Cook		299	299	70	Condo, High Rise (7+ Stories)		2004	07495991	CLSD		2550000	2275000	2275000	2400000	Cash	N/A	95%	89%	50	50	17032280334060				18678.82		2008	1919	No		No			21		2909					N (North), S (South), W (West), City, Lake/Water, Park	8	3	3	0	3	1	3.1	1	2	Attached	None		Panoramic views seen from high floor, wraparound residence that clears surrounding buildings! Refined and sophisticated, top line finishes throughout. Perfect floor plan with floor to ceiling windows. Wonderful Eat-in Chef’s Kitchen.  True Master Suite with 2 additional En-suite Bedrooms. Lake, park, Navy Pier, city skyline seen from lovely Terrace. 2 deeded parking spaces. Intimate, service-oriented bldg. Exquisite!	Sleek and sophisticated! Clears all nearby buildings to south, north, west. Price/mo. assmt. incl. 2 deeded pkg. spaces #24, #25. Private wine cellar. View pictures & floor plans at www.RealtorJanetOwen.com. Commission paid upon closing.		Central Air, Zoned	Electric, Forced Air, Baseboard, Indv Controls, Zoned		Hardwood Floors, Laundry Hook-Up in Unit, Storage	Yes	Oven/Range, Dishwasher, Refrigerator, Washer, Dryer, Disposal		Bike Room/Bike Trails, Door Person, Elevator, Exercise Room, Storage, On Site Manager/Engineer, Receiving Room, Service Elevator	Air Conditioning, Water, Gas, Parking, Common Insurance, Security, Doorman, TV/Cable, Clubhouse, Exercise Facilities, Lawn Care, Scavenger, Snow Removal							Hardwood	Carpet				Hardwood			Hardwood	Hardwood	Y	Hardwood	13X13	12X13		14X17	20X14	17X15		10X15	Den, Foyer, Gallery	Steam Shower	Separate	Balcony	04/09/2010	05/28/2010	05/28/2010	06/28/2010	
AT	840	N	Lake Shore	DR	1102	Chicago	Illinois	60611	8008	Cook		299	299	70	Condo, High Rise (7+ Stories)		2004	07637596	CLSD		1895000	1470000	1470000	1695000	Cash	N/A	87%	78%	76	76	17032280334030				6853.70	Homeowner	2009	1375	No		No	No		1		2158	Builder				S (South), E (East), City, Lake/Water, Park	5	2	2	0	2	0	2	1	1	Attached	None	None	Stunning custom 2158 SF 2bd/2ba by iconic LR Development Co. Luxury French moderne residence from the rift and quarter sawn white oak flooring patterns to the hand-scraped cherry countertop in butler's pantry. Every detail demonstrates impeccable quality. Calacatta marble in kitchen/baths,48" Viking,36" Subzero, island w/storage.French doors in LR & DR. Bluestone terrace. 2nd BD as library w/millwork/fpl/AV system.	Glorious views from all rooms! Light and bright SOUTH views capture essence of Chicago;Navy Pier, Ferris Wheel,shimmering lake,park,MCA skyline!Prime deeded parking space,large storage,wine storage,blue chip building services.Very special.		Central Air, Zoned	Electric, Baseboard, Indv Controls		Hardwood Floors, Laundry Hook-Up in Unit	YES	Oven/Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer, Disposal		Bike Room/Bike Trails, Door Person, Elevator, Exercise Room, Storage, On Site Manager/Engineer, Receiving Room, Service Elevator, Curbs/Gutters, Sidewalks, Street Lights, Street Paved, Other	Water, Gas, Common Insurance, Security, Doorman, TV/Cable, Exercise Facilities, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal, Other	Draper And Kramer	Reon Valdiserra	(312) 642-0750	90	Yes		Hardwood					Hardwood	Humidifier, Fire Sprinklers		Hardwood	Hardwood	Full	Hardwood	17X12			18X14	19X13	13X13		14X13	Foyer, Gallery, Other	Separate Shower	Separate	Balcony, Storms/Screens	09/20/2010	12/04/2010	12/04/2010	12/23/2010	
AT	840	N	Lake Shore	DR	702	Chicago	Illinois	60611	8008	Cook		299	299	73	High Rise (7+ Stories)	26	2003	08240433	CLSD		1650000	1650000	1650000	1650000	Cash	N/A	100%	100%	1	1	17032280334018				11138.72	Homeowner	2010	1798	No		No	No		7		2540	Estimated				S (South)	6	2	2	0	2	1	2.1		2	Attached	None	None	SOLD BEFORE PRINT	Sold before print		Central Air	Gas, Forced Air		Hardwood Floors	Yes	Oven-Double, Microwave, Dishwasher, Refrigerator, Washer, Dryer, Disposal		Bike Room/Bike Trails, Door Person, Elevator, Exercise Room, On Site Manager/Engineer, Other	Heat, Air Conditioning, Water, Parking, Common Insurance, Doorman, TV/Cable, Exercise Facilities, Snow Removal	DRAPER AND KRAMER	Reon Valdiserri	(312) 642-0750				Carpet					Hardwood	Humidifier	Hardwood	Ceramic Tile	Hardwood	Full	Carpet	13X12			15X15	39X19	15X10	11X10	COMBO	No additional rooms		Combined w/ LivRm	Balcony	11/20/2012	11/20/2012	11/20/2012	12/21/2012	
AT	840	N	Lake Shore	DR	1302	Chicago	Illinois	60611	8008	Cook		299	299	70	Condo, High Rise (7+ Stories)	26	2004	08406940	CLSD		1699900	1625000	1625000	1699900	Conventional	N/A	96%	96%	9	9	17032280334036				9850	Homeowner	2012	1495	No		No	No		13		2100	Builder				S (South)	5	2	2	0	2	1	2.1	1	1	Attached	None	None	Luxe finishes throughout this 2100sf 2BED/2.1BA @ 840!  Dark oak flooring, full laundry rm, marble baths, stone fplc, cust lighting wind treats & prof org closets. Chef's kitchen w/ upgraded stainless appls, farm sink, full height backsplash & marble counters. Gracious rm sizes w/ formal living & dining leading to large balc w/fab views. Master suite w/spa bath-sep tub, shower, dbl vanities.  Gar park & storage incl!	Parking Space #99. Pin #17-03-228-033-4170.  Taxes $9850 (include parking taxes)  Assessments $1495 (including parking) $1495  Storage locker #32 Wine storage #13		Central Air, Zoned	Electric, Zoned		Hardwood Floors, Laundry Hook-Up in Unit	Yes	Oven-Double, Microwave, Dishwasher, Refrigerator, Washer, Dryer, Disposal, All Stainless Steel Kitchen Appliances		Door Person, Elevator, Exercise Room, Storage, On Site Manager/Engineer, Receiving Room, Security Door Locks, Service Elevator	Heat, Air Conditioning, Water, Gas, Common Insurance, Security, Doorman, TV/Cable, Exercise Facilities, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal	Draper & Kramer	Reon Valdiser	(312) 642-0750		No								Humidifier, TV-Cable				Full		12X13			14X15	14X22	13X14		14X17	No additional rooms	Whirlpool, Separate Shower, Double Sink	Separate	Balcony, Storms/Screens	07/29/2013	08/06/2013	08/06/2013	10/15/2013	
AT	840	N	Lake Shore	DR	1701	Chicago	Illinois	60611	8008	Cook		299	299	71	Condo, High Rise (7+ Stories)	1	2004	08445716	CLSD		4350000	4180000	4180000	4350000	Cash	N/A	96%	96%	36	36	17032280334046				19275.05	Homeowner	2012	3073	No		No	No		17		4300	Estimated				S (South), E (East), Lake/Water, Park	8	4	4	0	3	1	3.1	1	2	Attached	None	None	Pristine 4300sf 4BD/3.1BA @ 840 Lake Shore! Coveted tier w/unobstructed views of lake & city. Impeccable finishes; wide plank walnut floors, custom millwork, window trts, built ins, surround sound. Chef’s kitchen w/ every luxe finish & amenity-    custom cabs, SubZero, Bosch . Ideal plan w/large foyer, formal LR, rotunda DR, sep guest quarters, balc, sumptuous master & optional 4th bed/fam rm. 2 car parking included	Absolute perfection at 840-many recent updates, totally turnkey. 4th bed currently used as family room.  PS #19-#18, storage & wine storage included. Parking PINS 17-03-228-033-4089 & 4090, 2012 parking taxes $1377.95 per space. 2 pet max		Central Air, Zoned	Electric, Zoned		Hardwood Floors, 1st Floor Laundry, Storage	Yes	Oven/Range, Microwave, Dishwasher, High End Refrigerator, Washer, Dryer, Disposal, All Stainless Steel Kitchen Appliances, Wine Cooler/Refrigerator		Bike Room/Bike Trails, Door Person, Elevator, Exercise Room, Storage, On Site Manager/Engineer, Security Door Locks, Service Elevator	Water, Parking, Common Insurance, Doorman, Exercise Facilities, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal	Draper and Kramer	Reon Valdiserri	(312) 642-0750				Hardwood	Hardwood	Hardwood			Hardwood	Humidifier, Fire Sprinklers		Hardwood	Hardwood	Full	Hardwood	11X14	11X12	16X14	22X22	26X16	19X11		24X24	Balcony, Breakfast Room, Foyer, Walk In Closet, Other	Handicap Shower, Double Sink, Full Body Spray Shower, Double Shower	Separate		09/16/2013	10/21/2013	10/21/2013	12/06/2013	
AT	840	N	Lake Shore	DR	503	Chicago	Illinois	60611	8008	Cook		299	299	73	Condo, High Rise (7+ Stories)	27	2004	08512558	CLSD		2000000	1800000	1800000	1900000	Conventional	N/A	95%	90%	236	62	17032280334013				13539	None	2012	1905	No		No	No		5		3200	Other				N (North), S (South)	8	3	3	0	3	1	3.1		1	Attached	None	None	Expansive 3200sq ft luxury home in Chicago’s prestigious lakefront landmark building. Highest quality custom amenities and architectural finishes. Large rooms and closets. Sundrenched ceiling to floor windows and balcony enhance spectacular lake, city and park views. Full amenity building, 24 hr door man, private wine storage, exercise room and storage locker. Fantastic location just steps from the Lake and Mich Ave.	Purchased as raw space with over 700K build out. This is a custom designed home. 9’+ ceilings, custom mill work & doors, chefs kitchen, spa master bath. Parking 53K. See property notes in Additional Info tab		Central Air, Zoned	Electric, Forced Air, Baseboard, 2+ Sep Heating Systems, Zoned		Hardwood Floors, Laundry Hook-Up in Unit, Storage	Yes	Oven-Double, Microwave, Dishwasher, High End Refrigerator, Washer, Dryer, Disposal		Bike Room/Bike Trails, Door Person, Elevator, Exercise Room, Storage, On Site Manager/Engineer, Receiving Room, Service Elevator	Water, Gas, Parking, Common Insurance, Security, Doorman, TV/Cable, Exercise Facilities, Exterior Maintenance, Scavenger, Snow Removal, Internet Access	Draper & Kramer	Reon Valdeserri	(312) 642-0750	95			Hardwood	Hardwood				Hardwood		Hardwood	Ceramic Tile	Hardwood	Full	Hardwood	12X13	12X13		14X17	25X16	11X15	18X14	15X16	Balcony, Office	Separate Shower, Soaking Tub	Separate	Balcony, Door Monitored By TV, Cable Access	01/07/2014	03/09/2014	03/09/2014	07/16/2014	
AT	840	N	LAKE SHORE	DR	401	Chicago	Illinois	60611	8008	Cook		299	299	70	Condo, High Rise (7+ Stories)	30	2004	08748043	CLSD		2850000	2800000	2800000	2850000	Conventional	N/A	98%	98%	667	32	17032280334008				16688	None	2013	2748	No		No	No		4		3965	Estimated				S (South), E (East), City, Lake/Water, Park	8	3	3	0	3	1	3.1	2	2	Attached	None	None	Featured nationally on NBC's Real Estate Segment, this gorgeous  home in Lake Shore Drive's most iconic building is not to be missed. Never lived in and pristinely designed 4000 sq. ft. unit encompasses entire South East corner and includes famous curved windows with stunning lake and park views. Also available fully furnished. Opportunity to purchase adjacent unit to create over 6000 sq. ft. home!  2 c. gar, add'l	2 premium parking spaces 100k		Central Air, Zoned	Electric, Forced Air, Baseboard		Hardwood Floors, Laundry Hook-Up in Unit, Storage	Yes	Oven-Double, Oven/Range, Microwave, Dishwasher, Refrigerator, Refrigerator-Bar, Freezer, Washer, Dryer, Disposal		Door Person, Elevator, Exercise Room, Storage, On Site Manager/Engineer, Receiving Room, Service Elevator	Air Conditioning, Water, Gas, Parking, Common Insurance, Security, Doorman, TV/Cable, Exercise Facilities, Lawn Care, Scavenger, Snow Removal	Draper and Kramer	Reon Valdiserri	(000) 000-0000				Carpet	Carpet				Hardwood		Other	Other	Other	Full	Carpet	14X10	13X12		22X20	24X23	22X13	24X23	15X11	Breakfast Room, Foyer		Separate	Balcony, End Unit	10/08/2014	11/08/2014	11/08/2014	12/17/2014	
